,REGION,TECHNOLOGY,FUEL,YEAR,value,energy_MWh,DiscountFactor,EnergyDiscounted_MWh
18464,Cuba,PWRBIO,ELC01,2019,446.7635740799995,446763.5740799995,1.3400956406250002,598705.9180146517
18465,Cuba,PWRBIO,ELC01,2020,446.76357407999967,446763.5740799997,1.2762815625000004,570196.1123949067
18466,Cuba,PWRBIO,ELC01,2021,446.7635740799997,446763.5740799997,1.2155062500000002,543043.9165665777
18467,Cuba,PWRBIO,ELC01,2022,446.7635740799995,446763.5740799995,1.1576250000000001,517184.6824443595
18468,Cuba,PWRBIO,ELC01,2023,446.7635740799997,446763.5740799997,1.1025,492556.8404231997
18469,Cuba,PWRBIO,ELC01,2024,446.7635740799995,446763.5740799995,1.05,469101.75278399955
18470,Cuba,PWRBIO,ELC01,2025,1340.290722239999,1340290.722239999,1.0,1340290.722239999
18471,Cuba,PWRBIO,ELC01,2026,2233.8178703999984,2233817.8703999985,0.9523809523809523,2127445.590857141
18472,Cuba,PWRBIO,ELC01,2027,3127.3450185599972,3127345.0185599974,0.9070294784580498,2836594.1211428544
18473,Cuba,PWRBIO,ELC01,2028,4020.872166719998,4020872.166719998,0.863837598531476,3473380.5565014556
18474,Cuba,PWRBIO,ELC01,2029,4914.399314879994,4914399.314879994,0.8227024747918819,4043088.4784672996
18475,Cuba,PWRBIO,ELC01,2030,5807.9264630399975,5807926.463039998,0.7835261664684589,4550662.356716445
18476,Cuba,PWRBIO,ELC01,2031,6701.453611199997,6701453.611199996,0.7462153966366274,5000727.864523564
18477,Cuba,PWRBIO,ELC01,2032,7594.980759359988,7594980.759359988,0.7106813301301214,5397611.028374636
18478,Cuba,PWRBIO,ELC01,2033,7995.856500793075,7995856.500793074,0.676839362028687,5411910.412869714
18479,Cuba,PWRBIO,ELC01,2034,8186.840243073524,8186840.243073524,0.6446089162177971,5277310.216335871
18480,Cuba,PWRBIO,ELC01,2035,8611.179999999998,8611179.999999998,0.6139132535407591,5286517.530625112
18481,Cuba,PWRBIO,ELC01,2036,8611.179999999998,8611179.999999998,0.5846792890864373,5034778.600595346
18482,Cuba,PWRBIO,ELC01,2037,8611.179999999998,8611179.999999998,0.5568374181775593,4795027.238662234
18483,Cuba,PWRBIO,ELC01,2038,8611.179999999998,8611179.999999998,0.5303213506452945,4566692.608249746
18484,Cuba,PWRBIO,ELC01,2039,8611.179999999998,8611179.999999998,0.5050679529955185,4349231.055475948
18485,Cuba,PWRBIO,ELC01,2040,8462.079998507284,8462079.998507284,0.48101709809097,4070405.164695613
