REGION,TIMESLICE,FUEL,YEAR,value
Atlantis,ID,HF,2014,0.0
Atlantis,ID,HF,2015,0.0
Atlantis,ID,HF,2016,0.0
Atlantis,ID,HF,2017,0.0
Atlantis,ID,HF,2018,0.0
Atlantis,ID,HF,2019,0.0
Atlantis,ID,HF,2020,0.0
Atlantis,ID,HF,2021,0.0
Atlantis,ID,HF,2022,0.0
Atlantis,ID,HF,2023,0.0
Atlantis,ID,HF,2024,0.0
Atlantis,ID,HF,2025,0.0
Atlantis,ID,HF,2026,0.0
Atlantis,ID,HF,2027,0.0
Atlantis,ID,HF,2028,0.0
Atlantis,ID,HF,2029,0.0
Atlantis,ID,HF,2030,0.0
Atlantis,ID,HF,2031,0.0
Atlantis,ID,HF,2032,0.0
Atlantis,ID,HF,2033,0.0
Atlantis,ID,HF,2034,0.0
Atlantis,ID,HF,2035,0.0
Atlantis,ID,HF,2036,0.0
Atlantis,ID,HF,2037,0.0
Atlantis,ID,HF,2038,0.0
Atlantis,ID,HF,2039,0.0
Atlantis,ID,HF,2040,0.0
Atlantis,ID,DS,2014,0.0
Atlantis,ID,DS,2015,0.0
Atlantis,ID,DS,2016,0.0
Atlantis,ID,DS,2017,0.0
Atlantis,ID,DS,2018,0.0
Atlantis,ID,DS,2019,0.0
Atlantis,ID,DS,2020,0.0
Atlantis,ID,DS,2021,0.0
Atlantis,ID,DS,2022,0.0
Atlantis,ID,DS,2023,0.0
Atlantis,ID,DS,2024,0.0
Atlantis,ID,DS,2025,0.0
Atlantis,ID,DS,2026,0.0
Atlantis,ID,DS,2027,0.0
Atlantis,ID,DS,2028,0.0
Atlantis,ID,DS,2029,0.0
Atlantis,ID,DS,2030,0.0
Atlantis,ID,DS,2031,0.0
Atlantis,ID,DS,2032,0.0
Atlantis,ID,DS,2033,0.0
Atlantis,ID,DS,2034,0.0
Atlantis,ID,DS,2035,0.0
Atlantis,ID,DS,2036,0.0
Atlantis,ID,DS,2037,0.0
Atlantis,ID,DS,2038,0.0
Atlantis,ID,DS,2039,0.0
Atlantis,ID,DS,2040,0.0
Atlantis,ID,NG,2014,0.0
Atlantis,ID,NG,2015,0.0
Atlantis,ID,NG,2016,0.0
Atlantis,ID,NG,2017,0.0
Atlantis,ID,NG,2018,0.0
Atlantis,ID,NG,2019,0.0
Atlantis,ID,NG,2020,0.0
Atlantis,ID,NG,2021,0.0
Atlantis,ID,NG,2022,0.0
Atlantis,ID,NG,2023,0.0
Atlantis,ID,NG,2024,0.0
Atlantis,ID,NG,2025,0.0
Atlantis,ID,NG,2026,0.0
Atlantis,ID,NG,2027,0.0
Atlantis,ID,NG,2028,0.0
Atlantis,ID,NG,2029,0.0
Atlantis,ID,NG,2030,0.0
Atlantis,ID,NG,2031,0.0
Atlantis,ID,NG,2032,0.0
Atlantis,ID,NG,2033,0.0
Atlantis,ID,NG,2034,0.0
Atlantis,ID,NG,2035,0.0
Atlantis,ID,NG,2036,0.0
Atlantis,ID,NG,2037,0.0
Atlantis,ID,NG,2038,0.0
Atlantis,ID,NG,2039,0.0
Atlantis,ID,NG,2040,0.0
Atlantis,ID,CO,2014,0.0
Atlantis,ID,CO,2015,0.0
Atlantis,ID,CO,2016,0.0
Atlantis,ID,CO,2017,0.0
Atlantis,ID,CO,2018,0.0
Atlantis,ID,CO,2019,0.0
Atlantis,ID,CO,2020,0.0
Atlantis,ID,CO,2021,0.0
Atlantis,ID,CO,2022,0.0
Atlantis,ID,CO,2023,0.0
Atlantis,ID,CO,2024,0.0
Atlantis,ID,CO,2025,0.0
Atlantis,ID,CO,2026,0.0
Atlantis,ID,CO,2027,0.0
Atlantis,ID,CO,2028,0.0
Atlantis,ID,CO,2029,0.0
Atlantis,ID,CO,2030,0.0
Atlantis,ID,CO,2031,0.0
Atlantis,ID,CO,2032,0.0
Atlantis,ID,CO,2033,0.0
Atlantis,ID,CO,2034,0.0
Atlantis,ID,CO,2035,0.0
Atlantis,ID,CO,2036,0.0
Atlantis,ID,CO,2037,0.0
Atlantis,ID,CO,2038,0.0
Atlantis,ID,CO,2039,0.0
Atlantis,ID,CO,2040,0.0
Atlantis,ID,UR,2014,0.0
Atlantis,ID,UR,2015,0.0
Atlantis,ID,UR,2016,0.0
Atlantis,ID,UR,2017,0.0
Atlantis,ID,UR,2018,0.0
Atlantis,ID,UR,2019,0.0
Atlantis,ID,UR,2020,0.0
Atlantis,ID,UR,2021,0.0
Atlantis,ID,UR,2022,0.0
Atlantis,ID,UR,2023,0.0
Atlantis,ID,UR,2024,0.0
Atlantis,ID,UR,2025,0.0
Atlantis,ID,UR,2026,0.0
Atlantis,ID,UR,2027,0.0
Atlantis,ID,UR,2028,0.0
Atlantis,ID,UR,2029,0.0
Atlantis,ID,UR,2030,0.0
Atlantis,ID,UR,2031,0.0
Atlantis,ID,UR,2032,0.0
Atlantis,ID,UR,2033,0.0
Atlantis,ID,UR,2034,0.0
Atlantis,ID,UR,2035,0.0
Atlantis,ID,UR,2036,0.0
Atlantis,ID,UR,2037,0.0
Atlantis,ID,UR,2038,0.0
Atlantis,ID,UR,2039,0.0
Atlantis,ID,UR,2040,0.0
Atlantis,ID,EL_Transmission,2014,0.0
Atlantis,ID,EL_Transmission,2015,0.0
Atlantis,ID,EL_Transmission,2016,0.0
Atlantis,ID,EL_Transmission,2017,0.0
Atlantis,ID,EL_Transmission,2018,0.0
Atlantis,ID,EL_Transmission,2019,0.0
Atlantis,ID,EL_Transmission,2020,0.0
Atlantis,ID,EL_Transmission,2021,0.0
Atlantis,ID,EL_Transmission,2022,0.0
Atlantis,ID,EL_Transmission,2023,0.0
Atlantis,ID,EL_Transmission,2024,0.0
Atlantis,ID,EL_Transmission,2025,0.0
Atlantis,ID,EL_Transmission,2026,0.0
Atlantis,ID,EL_Transmission,2027,0.0
Atlantis,ID,EL_Transmission,2028,0.0
Atlantis,ID,EL_Transmission,2029,0.0
Atlantis,ID,EL_Transmission,2030,0.0
Atlantis,ID,EL_Transmission,2031,0.0
Atlantis,ID,EL_Transmission,2032,0.0
Atlantis,ID,EL_Transmission,2033,0.0
Atlantis,ID,EL_Transmission,2034,0.0
Atlantis,ID,EL_Transmission,2035,0.0
Atlantis,ID,EL_Transmission,2036,0.0
Atlantis,ID,EL_Transmission,2037,0.0
Atlantis,ID,EL_Transmission,2038,0.0
Atlantis,ID,EL_Transmission,2039,0.0
Atlantis,ID,EL_Transmission,2040,0.0
Atlantis,ID,EL_Distribution,2014,0.0
Atlantis,ID,EL_Distribution,2015,0.0
Atlantis,ID,EL_Distribution,2016,0.0
Atlantis,ID,EL_Distribution,2017,0.0
Atlantis,ID,EL_Distribution,2018,0.0
Atlantis,ID,EL_Distribution,2019,0.0
Atlantis,ID,EL_Distribution,2020,0.0
Atlantis,ID,EL_Distribution,2021,0.0
Atlantis,ID,EL_Distribution,2022,0.0
Atlantis,ID,EL_Distribution,2023,0.0
Atlantis,ID,EL_Distribution,2024,0.0
Atlantis,ID,EL_Distribution,2025,0.0
Atlantis,ID,EL_Distribution,2026,0.0
Atlantis,ID,EL_Distribution,2027,0.0
Atlantis,ID,EL_Distribution,2028,0.0
Atlantis,ID,EL_Distribution,2029,0.0
Atlantis,ID,EL_Distribution,2030,0.0
Atlantis,ID,EL_Distribution,2031,0.0
Atlantis,ID,EL_Distribution,2032,0.0
Atlantis,ID,EL_Distribution,2033,0.0
Atlantis,ID,EL_Distribution,2034,0.0
Atlantis,ID,EL_Distribution,2035,0.0
Atlantis,ID,EL_Distribution,2036,0.0
Atlantis,ID,EL_Distribution,2037,0.0
Atlantis,ID,EL_Distribution,2038,0.0
Atlantis,ID,EL_Distribution,2039,0.0
Atlantis,ID,EL_Distribution,2040,0.0
Atlantis,ID,EL_Industry,2014,0.359551
Atlantis,ID,EL_Industry,2015,0.36138800000000004
Atlantis,ID,EL_Industry,2016,0.369237
Atlantis,ID,EL_Industry,2017,0.38025900000000007
Atlantis,ID,EL_Industry,2018,0.393953
Atlantis,ID,EL_Industry,2019,0.40748
Atlantis,ID,EL_Industry,2020,0.420339
Atlantis,ID,EL_Industry,2021,0.43553600000000003
Atlantis,ID,EL_Industry,2022,0.451401
Atlantis,ID,EL_Industry,2023,0.468602
Atlantis,ID,EL_Industry,2024,0.4797910000000001
Atlantis,ID,EL_Industry,2025,0.48814100000000005
Atlantis,ID,EL_Industry,2026,0.49699200000000004
Atlantis,ID,EL_Industry,2027,0.506678
Atlantis,ID,EL_Industry,2028,0.5171990000000001
Atlantis,ID,EL_Industry,2029,0.528889
Atlantis,ID,EL_Industry,2030,0.5417480000000001
Atlantis,ID,EL_Industry,2031,0.555108
Atlantis,ID,EL_Industry,2032,0.568802
Atlantis,ID,EL_Industry,2033,0.582663
Atlantis,ID,EL_Industry,2034,0.596691
Atlantis,ID,EL_Industry,2035,0.611053
Atlantis,ID,EL_Industry,2036,0.625916
Atlantis,ID,EL_Industry,2037,0.641614
Atlantis,ID,EL_Industry,2038,0.658147
Atlantis,ID,EL_Industry,2039,0.6755150000000001
Atlantis,ID,EL_Industry,2040,0.6937180000000001
Atlantis,ID,EL_Residential,2014,0.26567999999999997
Atlantis,ID,EL_Residential,2015,0.267
Atlantis,ID,EL_Residential,2016,0.27288
Atlantis,ID,EL_Residential,2017,0.28104
Atlantis,ID,EL_Residential,2018,0.29112
Atlantis,ID,EL_Residential,2019,0.30107999999999996
Atlantis,ID,EL_Residential,2020,0.31068
Atlantis,ID,EL_Residential,2021,0.32195999999999997
Atlantis,ID,EL_Residential,2022,0.3335999999999999
Atlantis,ID,EL_Residential,2023,0.34632
Atlantis,ID,EL_Residential,2024,0.35459999999999997
Atlantis,ID,EL_Residential,2025,0.36072
Atlantis,ID,EL_Residential,2026,0.36732
Atlantis,ID,EL_Residential,2027,0.37451999999999996
Atlantis,ID,EL_Residential,2028,0.38231999999999994
Atlantis,ID,EL_Residential,2029,0.39096000000000003
