REGION,TECHNOLOGY,YEAR,value
Atlantis,HF_Imp,2014,9.22148955643035e-05
Atlantis,HF_Imp,2015,0.00019588361142857142
Atlantis,HF_Imp,2016,0.00018655582040816326
Atlantis,HF_Imp,2017,0.00017767220991253644
Atlantis,HF_Imp,2018,5.619586325216455e-06
Atlantis,HF_Imp,2019,0.0
Atlantis,HF_Imp,2020,0.0
Atlantis,HF_Imp,2021,0.0
Atlantis,HF_Imp,2022,0.0
Atlantis,HF_Imp,2023,0.0
Atlantis,HF_Imp,2024,0.0
Atlantis,HF_Imp,2025,0.0
Atlantis,HF_Imp,2026,0.0
Atlantis,HF_Imp,2027,0.0
Atlantis,HF_Imp,2028,0.0
Atlantis,HF_Imp,2029,0.0
Atlantis,HF_Imp,2030,0.0
Atlantis,HF_Imp,2031,0.0
Atlantis,HF_Imp,2032,0.0
Atlantis,HF_Imp,2033,0.0
Atlantis,HF_Imp,2034,0.0
Atlantis,HF_Imp,2035,0.0
Atlantis,HF_Imp,2036,0.0
Atlantis,HF_Imp,2037,0.0
Atlantis,HF_Imp,2038,0.0
Atlantis,HF_Imp,2039,0.0
Atlantis,HF_Imp,2040,0.0
Atlantis,DS_Imp,2014,0.0
Atlantis,DS_Imp,2015,0.0
Atlantis,DS_Imp,2016,0.0
Atlantis,DS_Imp,2017,0.0
Atlantis,DS_Imp,2018,0.0
Atlantis,DS_Imp,2019,0.0
Atlantis,DS_Imp,2020,0.0
Atlantis,DS_Imp,2021,0.0
Atlantis,DS_Imp,2022,0.0
Atlantis,DS_Imp,2023,0.0
Atlantis,DS_Imp,2024,0.0
Atlantis,DS_Imp,2025,0.0
Atlantis,DS_Imp,2026,0.0
Atlantis,DS_Imp,2027,0.0
Atlantis,DS_Imp,2028,0.0
Atlantis,DS_Imp,2029,0.0
Atlantis,DS_Imp,2030,0.0
Atlantis,DS_Imp,2031,0.0
Atlantis,DS_Imp,2032,0.0
Atlantis,DS_Imp,2033,0.0
Atlantis,DS_Imp,2034,0.0
Atlantis,DS_Imp,2035,0.0
Atlantis,DS_Imp,2036,0.0
Atlantis,DS_Imp,2037,0.0
Atlantis,DS_Imp,2038,0.0
Atlantis,DS_Imp,2039,0.0
Atlantis,DS_Imp,2040,0.0
Atlantis,NG_Imp,2014,0.0006855926400000002
Atlantis,NG_Imp,2015,0.0005533811686814431
Atlantis,NG_Imp,2016,0.0005629243434476302
Atlantis,NG_Imp,2017,0.0005838440557595007
Atlantis,NG_Imp,2018,0.0005640387616270999
Atlantis,NG_Imp,2019,0.0005386747408272934
Atlantis,NG_Imp,2020,0.0002523525840105777
Atlantis,NG_Imp,2021,0.00020173882305184602
Atlantis,NG_Imp,2022,0.0002085591920228213
Atlantis,NG_Imp,2023,0.00021790309344051607
Atlantis,NG_Imp,2024,0.00021606174375838754
Atlantis,NG_Imp,2025,0.00021813251248154213
Atlantis,NG_Imp,2026,0.0001931952206736645
Atlantis,NG_Imp,2027,0.00019017201327041426
Atlantis,NG_Imp,2028,0.00019036736163620708
Atlantis,NG_Imp,2029,0.00019573664432579702
Atlantis,NG_Imp,2030,0.00018641585173885433
Atlantis,NG_Imp,2031,0.00017753890641795646
Atlantis,NG_Imp,2032,0.00016908467277900615
Atlantis,NG_Imp,2033,0.00016907034098738238
Atlantis,NG_Imp,2034,0.00016497006841879706
Atlantis,NG_Imp,2035,0.00016087446302965756
Atlantis,NG_Imp,2036,0.00015694159157543766
Atlantis,NG_Imp,2037,0.00015320498685257448
Atlantis,NG_Imp,2038,0.00014968488734341272
