REGION,TECHNOLOGY,YEAR,value
Atlantis,HF_Imp,2014,1.02340541419293
Atlantis,HF_Imp,2015,10.413433620529572
Atlantis,HF_Imp,2016,12.542669849423346
Atlantis,HF_Imp,2017,15.226265894171615
Atlantis,HF_Imp,2018,0.05481961042837431
Atlantis,HF_Imp,2019,0.0
Atlantis,HF_Imp,2020,0.0
Atlantis,HF_Imp,2021,0.0
Atlantis,HF_Imp,2022,0.0
Atlantis,HF_Imp,2023,0.0
Atlantis,HF_Imp,2024,0.0
Atlantis,HF_Imp,2025,0.0
Atlantis,HF_Imp,2026,0.0
Atlantis,HF_Imp,2027,0.0
Atlantis,HF_Imp,2028,0.0
Atlantis,HF_Imp,2029,0.0
Atlantis,HF_Imp,2030,0.0
Atlantis,HF_Imp,2031,0.0
Atlantis,HF_Imp,2032,0.0
Atlantis,HF_Imp,2033,0.0
Atlantis,HF_Imp,2034,0.0
Atlantis,HF_Imp,2035,0.0
Atlantis,HF_Imp,2036,0.0
Atlantis,HF_Imp,2037,0.0
Atlantis,HF_Imp,2038,0.0
Atlantis,HF_Imp,2039,0.0
Atlantis,HF_Imp,2040,0.0
Atlantis,DS_Imp,2014,0.0
Atlantis,DS_Imp,2015,0.0
Atlantis,DS_Imp,2016,0.0
Atlantis,DS_Imp,2017,0.0
Atlantis,DS_Imp,2018,0.0
Atlantis,DS_Imp,2019,0.0
Atlantis,DS_Imp,2020,0.0
Atlantis,DS_Imp,2021,0.0
Atlantis,DS_Imp,2022,0.0
Atlantis,DS_Imp,2023,0.0
Atlantis,DS_Imp,2024,0.0
Atlantis,DS_Imp,2025,0.0
Atlantis,DS_Imp,2026,0.0
Atlantis,DS_Imp,2027,0.0
Atlantis,DS_Imp,2028,0.0
Atlantis,DS_Imp,2029,0.0
Atlantis,DS_Imp,2030,0.0
Atlantis,DS_Imp,2031,0.0
Atlantis,DS_Imp,2032,0.0
Atlantis,DS_Imp,2033,0.0
Atlantis,DS_Imp,2034,0.0
Atlantis,DS_Imp,2035,0.0
Atlantis,DS_Imp,2036,0.0
Atlantis,DS_Imp,2037,0.0
Atlantis,DS_Imp,2038,0.0
Atlantis,DS_Imp,2039,0.0
Atlantis,DS_Imp,2040,0.0
Atlantis,NG_Imp,2014,34.24093556223291
