REGION,TIMESLICE,FUEL,YEAR,value
Atlantis,ID,HF,2014,0.0
Atlantis,ID,HF,2015,0.34286487926399994
Atlantis,ID,HF,2016,0.34286487926399994
Atlantis,ID,HF,2017,0.34286487926399994
Atlantis,ID,HF,2018,0.0
Atlantis,ID,HF,2019,0.0
Atlantis,ID,HF,2020,0.0
Atlantis,ID,HF,2021,0.0
Atlantis,ID,HF,2022,0.0
Atlantis,ID,HF,2023,0.0
Atlantis,ID,HF,2024,0.0
Atlantis,ID,HF,2025,0.0
Atlantis,ID,HF,2026,0.0
Atlantis,ID,HF,2027,0.0
Atlantis,ID,HF,2028,0.0
Atlantis,ID,HF,2029,0.0
Atlantis,ID,HF,2030,0.0
Atlantis,ID,HF,2031,0.0
Atlantis,ID,HF,2032,0.0
Atlantis,ID,HF,2033,0.0
Atlantis,ID,HF,2034,0.0
Atlantis,ID,HF,2035,0.0
Atlantis,ID,HF,2036,0.0
Atlantis,ID,HF,2037,0.0
Atlantis,ID,HF,2038,0.0
Atlantis,ID,HF,2039,0.0
Atlantis,ID,HF,2040,0.0
Atlantis,ID,DS,2014,0.0
Atlantis,ID,DS,2015,0.0
Atlantis,ID,DS,2016,0.0
Atlantis,ID,DS,2017,0.0
Atlantis,ID,DS,2018,0.0
Atlantis,ID,DS,2019,0.0
Atlantis,ID,DS,2020,0.0
Atlantis,ID,DS,2021,0.0
Atlantis,ID,DS,2022,0.0
Atlantis,ID,DS,2023,0.0
Atlantis,ID,DS,2024,0.0
Atlantis,ID,DS,2025,0.0
Atlantis,ID,DS,2026,0.0
Atlantis,ID,DS,2027,0.0
Atlantis,ID,DS,2028,0.0
Atlantis,ID,DS,2029,0.0
Atlantis,ID,DS,2030,0.0
Atlantis,ID,DS,2031,0.0
Atlantis,ID,DS,2032,0.0
Atlantis,ID,DS,2033,0.0
Atlantis,ID,DS,2034,0.0
Atlantis,ID,DS,2035,0.0
Atlantis,ID,DS,2036,0.0
Atlantis,ID,DS,2037,0.0
Atlantis,ID,DS,2038,0.0
Atlantis,ID,DS,2039,0.0
Atlantis,ID,DS,2040,0.0
Atlantis,ID,NG,2014,0.8169952288618646
Atlantis,ID,NG,2015,0.4862153206244817
Atlantis,ID,NG,2016,0.542086352376281
Atlantis,ID,NG,2017,0.619432904632616
Atlantis,ID,NG,2018,0.6289447393532582
Atlantis,ID,NG,2019,0.6026314877216112
Atlantis,ID,NG,2020,0.0031806358372019274
Atlantis,ID,NG,2021,0.0
Atlantis,ID,NG,2022,0.0
Atlantis,ID,NG,2023,0.0
Atlantis,ID,NG,2024,0.0
Atlantis,ID,NG,2025,0.025270194904344234
Atlantis,ID,NG,2026,0.0
Atlantis,ID,NG,2027,0.0
Atlantis,ID,NG,2028,0.0
Atlantis,ID,NG,2029,0.03176847588100995
Atlantis,ID,NG,2030,0.016242064076065432
Atlantis,ID,NG,2031,0.0
Atlantis,ID,NG,2032,0.0
Atlantis,ID,NG,2033,0.0
Atlantis,ID,NG,2034,0.0
Atlantis,ID,NG,2035,0.0
Atlantis,ID,NG,2036,0.0
Atlantis,ID,NG,2037,0.0
Atlantis,ID,NG,2038,0.0
Atlantis,ID,NG,2039,0.0
Atlantis,ID,NG,2040,0.0
Atlantis,ID,CO,2014,0.328513129488
Atlantis,ID,CO,2015,0.328513129488
Atlantis,ID,CO,2016,0.328513129488
Atlantis,ID,CO,2017,0.328513129488
Atlantis,ID,CO,2018,0.328513129488
Atlantis,ID,CO,2019,0.328513129488
Atlantis,ID,CO,2020,0.328513129488
Atlantis,ID,CO,2021,0.328513129488
Atlantis,ID,CO,2022,0.328513129488
Atlantis,ID,CO,2023,0.328513129488
Atlantis,ID,CO,2024,0.328513129488
Atlantis,ID,CO,2025,0.328513129488
Atlantis,ID,CO,2026,0.328513129488
Atlantis,ID,CO,2027,0.328513129488
Atlantis,ID,CO,2028,0.328513129488
Atlantis,ID,CO,2029,0.328513129488
Atlantis,ID,CO,2030,0.328513129488
Atlantis,ID,CO,2031,0.328513129488
Atlantis,ID,CO,2032,0.3107107149555792
Atlantis,ID,CO,2033,0.328513129488
Atlantis,ID,CO,2034,0.328513129488
Atlantis,ID,CO,2035,0.328513129488
Atlantis,ID,CO,2036,0.328513129488
Atlantis,ID,CO,2037,0.328513129488
Atlantis,ID,CO,2038,0.328513129488
Atlantis,ID,CO,2039,0.328513129488
Atlantis,ID,CO,2040,0.328513129488
Atlantis,ID,UR,2014,0.0
Atlantis,ID,UR,2015,0.0
Atlantis,ID,UR,2016,0.0
Atlantis,ID,UR,2017,0.0
Atlantis,ID,UR,2018,0.6582308767523997
Atlantis,ID,UR,2019,0.6674730347899032
Atlantis,ID,UR,2020,1.6912967585697585
Atlantis,ID,UR,2021,1.6741091519973867
Atlantis,ID,UR,2022,1.7096275912799195
Atlantis,ID,UR,2023,1.7577820085169131
Atlantis,ID,UR,2024,1.7842266955481592
Atlantis,ID,UR,2025,1.8320178582685267
Atlantis,ID,UR,2026,1.7832588805012983
Atlantis,ID,UR,2027,1.795992317457568
Atlantis,ID,UR,2028,1.8253830594239548
Atlantis,ID,UR,2029,1.8977713810843466
Atlantis,ID,UR,2030,2.0615747168392353
Atlantis,ID,UR,2031,2.2331555431918324
Atlantis,ID,UR,2032,2.4076345524624214
Atlantis,ID,UR,2033,2.450659109646153
Atlantis,ID,UR,2034,2.478077836538263
Atlantis,ID,UR,2035,2.5064963525729613
Atlantis,ID,UR,2036,2.5358739806647357
Atlantis,ID,UR,2037,2.5669125633178385
Atlantis,ID,UR,2038,2.5995110468086273
Atlantis,ID,UR,2039,2.6337704848607455
Atlantis,ID,UR,2040,2.6699888241125267
Atlantis,ID,EL_Transmission,2014,1.128506494926226
Atlantis,ID,EL_Transmission,2015,1.134065359243897
Atlantis,ID,EL_Transmission,2016,1.1597650058638598
Atlantis,ID,EL_Transmission,2017,1.1953429967821374
Atlantis,ID,EL_Transmission,2018,1.2394759927685945
Atlantis,ID,EL_Transmission,2019,1.3128658544980858
Atlantis,ID,EL_Transmission,2020,1.3544644617197525
Atlantis,ID,EL_Transmission,2021,1.4033440582929146
Atlantis,ID,EL_Transmission,2022,1.4544568554051345
Atlantis,ID,EL_Transmission,2023,1.5098051775998902
Atlantis,ID,EL_Transmission,2024,1.5456843567492526
Atlantis,ID,EL_Transmission,2025,1.572707342595463
Atlantis,ID,EL_Transmission,2026,1.6013055323933296
Atlantis,ID,EL_Transmission,2027,1.6325640433220752
Atlantis,ID,EL_Transmission,2028,1.6664199092010885
Atlantis,ID,EL_Transmission,2029,1.7040841795708155
Atlantis,ID,EL_Transmission,2030,1.7454309220700328
Atlantis,ID,EL_Transmission,2031,1.7887516543314521
Atlantis,ID,EL_Transmission,2032,1.8325488306928397
Atlantis,ID,EL_Transmission,2033,1.8773818007253036
Atlantis,ID,EL_Transmission,2034,1.922452992807751
Atlantis,ID,EL_Transmission,2035,1.968483369708196
Atlantis,ID,EL_Transmission,2036,2.0164877363708444
Atlantis,ID,EL_Transmission,2037,2.0671524241643717
Atlantis,ID,EL_Transmission,2038,2.1204144669081657
Atlantis,ID,EL_Transmission,2039,2.176336830782839
Atlantis,ID,EL_Transmission,2040,2.235192369237713
Atlantis,ID,EL_Distribution,2014,1.1407926829233475
Atlantis,ID,EL_Distribution,2015,1.14626705250339
Atlantis,ID,EL_Distribution,2016,1.1715760644947295
Atlantis,ID,EL_Distribution,2017,1.206613269951049
Atlantis,ID,EL_Distribution,2018,1.250075444398512
Atlantis,ID,EL_Distribution,2019,1.292910293509715
Atlantis,ID,EL_Distribution,2020,1.3338766019016124
Atlantis,ID,EL_Distribution,2021,1.382013228606862
Atlantis,ID,EL_Distribution,2022,1.4323491112029765
Atlantis,ID,EL_Distribution,2023,1.486856138900372
Atlantis,ID,EL_Distribution,2024,1.522189954526664
Atlantis,ID,EL_Distribution,2025,1.5488021909880116
Atlantis,ID,EL_Distribution,2026,1.5769656883009509
Atlantis,ID,EL_Distribution,2027,1.60774906986358
Atlantis,ID,EL_Distribution,2028,1.6410903265812322
Atlantis,ID,EL_Distribution,2029,1.6781821000413393
