REGION,YEAR,value
Atlantis,2014,0.0
Atlantis,2015,0.0
Atlantis,2016,0.0
Atlantis,2017,0.0
Atlantis,2018,0.0
Atlantis,2019,0.0
Atlantis,2020,0.0
Atlantis,2021,0.0
Atlantis,2022,0.0
Atlantis,2023,0.0
Atlantis,2024,0.0
Atlantis,2025,0.0
Atlantis,2026,0.0
Atlantis,2027,0.0
Atlantis,2028,0.0
Atlantis,2029,0.0
Atlantis,2030,0.0
Atlantis,2031,0.0
Atlantis,2032,0.0
Atlantis,2033,0.0
Atlantis,2034,0.0
Atlantis,2035,0.0
Atlantis,2036,0.0
Atlantis,2037,0.0
Atlantis,2038,0.0
Atlantis,2039,0.0
Atlantis,2040,0.0
