REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,value
Atlantis,ID,HF_Imp,1,2014,0.0
Atlantis,ID,HF_Imp,1,2015,2.05677792
Atlantis,ID,HF_Imp,1,2016,2.05677792
Atlantis,ID,HF_Imp,1,2017,2.05677792
Atlantis,ID,HF_Imp,1,2018,0.0
Atlantis,ID,HF_Imp,1,2019,0.0
Atlantis,ID,HF_Imp,1,2020,0.0
Atlantis,ID,HF_Imp,1,2021,0.0
Atlantis,ID,HF_Imp,1,2022,0.0
Atlantis,ID,HF_Imp,1,2023,0.0
Atlantis,ID,HF_Imp,1,2024,0.0
Atlantis,ID,HF_Imp,1,2025,0.0
Atlantis,ID,HF_Imp,1,2026,0.0
Atlantis,ID,HF_Imp,1,2027,0.0
Atlantis,ID,HF_Imp,1,2028,0.0
Atlantis,ID,HF_Imp,1,2029,0.0
Atlantis,ID,HF_Imp,1,2030,0.0
Atlantis,ID,HF_Imp,1,2031,0.0
Atlantis,ID,HF_Imp,1,2032,0.0
Atlantis,ID,HF_Imp,1,2033,0.0
Atlantis,ID,HF_Imp,1,2034,0.0
Atlantis,ID,HF_Imp,1,2035,0.0
Atlantis,ID,HF_Imp,1,2036,0.0
Atlantis,ID,HF_Imp,1,2037,0.0
Atlantis,ID,HF_Imp,1,2038,0.0
Atlantis,ID,HF_Imp,1,2039,0.0
Atlantis,ID,HF_Imp,1,2040,0.0
Atlantis,ID,DS_Imp,1,2014,0.0
Atlantis,ID,DS_Imp,1,2015,0.0
Atlantis,ID,DS_Imp,1,2016,0.0
Atlantis,ID,DS_Imp,1,2017,0.0
Atlantis,ID,DS_Imp,1,2018,0.0
Atlantis,ID,DS_Imp,1,2019,0.0
Atlantis,ID,DS_Imp,1,2020,0.0
Atlantis,ID,DS_Imp,1,2021,0.0
Atlantis,ID,DS_Imp,1,2022,0.0
Atlantis,ID,DS_Imp,1,2023,0.0
Atlantis,ID,DS_Imp,1,2024,0.0
Atlantis,ID,DS_Imp,1,2025,0.0
Atlantis,ID,DS_Imp,1,2026,0.0
Atlantis,ID,DS_Imp,1,2027,0.0
Atlantis,ID,DS_Imp,1,2028,0.0
Atlantis,ID,DS_Imp,1,2029,0.0
Atlantis,ID,DS_Imp,1,2030,0.0
Atlantis,ID,DS_Imp,1,2031,0.0
Atlantis,ID,DS_Imp,1,2032,0.0
Atlantis,ID,DS_Imp,1,2033,0.0
Atlantis,ID,DS_Imp,1,2034,0.0
Atlantis,ID,DS_Imp,1,2035,0.0
Atlantis,ID,DS_Imp,1,2036,0.0
Atlantis,ID,DS_Imp,1,2037,0.0
Atlantis,ID,DS_Imp,1,2038,0.0
Atlantis,ID,DS_Imp,1,2039,0.0
Atlantis,ID,DS_Imp,1,2040,0.0
Atlantis,ID,NG_Imp,1,2014,4.900991174936201
Atlantis,ID,NG_Imp,1,2015,2.9167085820304846
Atlantis,ID,NG_Imp,1,2016,3.2518677407095447
Atlantis,ID,NG_Imp,1,2017,3.715854256944308
Atlantis,ID,NG_Imp,1,2018,3.77291385334888
Atlantis,ID,NG_Imp,1,2019,3.6150659131470384
Atlantis,ID,NG_Imp,1,2020,0.019079999023406884
Atlantis,ID,NG_Imp,1,2021,0.0
Atlantis,ID,NG_Imp,1,2022,0.0
Atlantis,ID,NG_Imp,1,2023,0.0
Atlantis,ID,NG_Imp,1,2024,0.0
Atlantis,ID,NG_Imp,1,2025,0.15159085125581426
Atlantis,ID,NG_Imp,1,2026,0.0
Atlantis,ID,NG_Imp,1,2027,0.0
Atlantis,ID,NG_Imp,1,2028,0.0
Atlantis,ID,NG_Imp,1,2029,0.19057274073791214
Atlantis,ID,NG_Imp,1,2030,0.09743289787681725
Atlantis,ID,NG_Imp,1,2031,0.0
Atlantis,ID,NG_Imp,1,2032,0.0
Atlantis,ID,NG_Imp,1,2033,0.0
Atlantis,ID,NG_Imp,1,2034,0.0
Atlantis,ID,NG_Imp,1,2035,0.0
Atlantis,ID,NG_Imp,1,2036,0.0
Atlantis,ID,NG_Imp,1,2037,0.0
Atlantis,ID,NG_Imp,1,2038,0.0
Atlantis,ID,NG_Imp,1,2039,0.0
Atlantis,ID,NG_Imp,1,2040,0.0
Atlantis,ID,CO_Imp,1,2014,1.9706846400000002
Atlantis,ID,CO_Imp,1,2015,1.9706846400000002
Atlantis,ID,CO_Imp,1,2016,1.9706846400000002
Atlantis,ID,CO_Imp,1,2017,1.9706846400000002
Atlantis,ID,CO_Imp,1,2018,1.9706846400000002
Atlantis,ID,CO_Imp,1,2019,1.9706846400000002
Atlantis,ID,CO_Imp,1,2020,1.9706846400000002
Atlantis,ID,CO_Imp,1,2021,1.9706846400000002
Atlantis,ID,CO_Imp,1,2022,1.9706846400000002
Atlantis,ID,CO_Imp,1,2023,1.9706846400000002
Atlantis,ID,CO_Imp,1,2024,1.9706846400000002
Atlantis,ID,CO_Imp,1,2025,1.9706846400000002
Atlantis,ID,CO_Imp,1,2026,1.9706846400000002
Atlantis,ID,CO_Imp,1,2027,1.9706846400000002
Atlantis,ID,CO_Imp,1,2028,1.9706846400000002
Atlantis,ID,CO_Imp,1,2029,1.9706846400000002
Atlantis,ID,CO_Imp,1,2030,1.9706846400000002
Atlantis,ID,CO_Imp,1,2031,1.9706846400000002
Atlantis,ID,CO_Imp,1,2032,1.8638915114311894
Atlantis,ID,CO_Imp,1,2033,1.9706846400000002
Atlantis,ID,CO_Imp,1,2034,1.9706846400000002
Atlantis,ID,CO_Imp,1,2035,1.9706846400000002
Atlantis,ID,CO_Imp,1,2036,1.9706846400000002
Atlantis,ID,CO_Imp,1,2037,1.9706846400000002
Atlantis,ID,CO_Imp,1,2038,1.9706846400000002
Atlantis,ID,CO_Imp,1,2039,1.9706846400000002
Atlantis,ID,CO_Imp,1,2040,1.9706846400000002
Atlantis,ID,UR_Imp,1,2014,0.0
Atlantis,ID,UR_Imp,1,2015,0.0
Atlantis,ID,UR_Imp,1,2016,0.0
Atlantis,ID,UR_Imp,1,2017,0.0
Atlantis,ID,UR_Imp,1,2018,3.9485955414061173
Atlantis,ID,UR_Imp,1,2019,4.0040374012591675
Atlantis,ID,UR_Imp,1,2020,10.145751401138325
Atlantis,ID,UR_Imp,1,2021,10.04264638270778
Atlantis,ID,UR_Imp,1,2022,10.255714404798558
Atlantis,ID,UR_Imp,1,2023,10.544583134474586
Atlantis,ID,UR_Imp,1,2024,10.70321952938308
Atlantis,ID,UR_Imp,1,2025,10.989909167777606
Atlantis,ID,UR_Imp,1,2026,10.697413800247741
Atlantis,ID,UR_Imp,1,2027,10.773799144916426
Atlantis,ID,UR_Imp,1,2028,10.950108334876756
Atlantis,ID,UR_Imp,1,2029,11.384351416222836
Atlantis,ID,UR_Imp,1,2030,12.366974906054203
Atlantis,ID,UR_Imp,1,2031,13.396254008349326
Atlantis,ID,UR_Imp,1,2032,14.442918731028325
Atlantis,ID,UR_Imp,1,2033,14.701014454985923
Atlantis,ID,UR_Imp,1,2034,14.865493920445491
Atlantis,ID,UR_Imp,1,2035,15.035970921253519
Atlantis,ID,UR_Imp,1,2036,15.212201443699676
Atlantis,ID,UR_Imp,1,2037,15.39839570076688
Atlantis,ID,UR_Imp,1,2038,15.593947491353495
Atlantis,ID,UR_Imp,1,2039,15.799463016561162
Atlantis,ID,UR_Imp,1,2040,16.01672959875541
Atlantis,ID,NGSC,1,2014,2.2543657658400185
Atlantis,ID,NGSC,1,2015,1.341632282442725
Atlantis,ID,NGSC,1,2016,1.4957993287532403
Atlantis,ID,NGSC,1,2017,1.709224589210813
Atlantis,ID,NGSC,1,2018,1.7354709537023367
Atlantis,ID,NGSC,1,2019,1.6540873570025902
Atlantis,ID,NGSC,1,2020,0.0
Atlantis,ID,NGSC,1,2021,0.0
Atlantis,ID,NGSC,1,2022,0.0
Atlantis,ID,NGSC,1,2023,0.0
Atlantis,ID,NGSC,1,2024,0.0
Atlantis,ID,NGSC,1,2025,0.0
Atlantis,ID,NGSC,1,2026,0.0
Atlantis,ID,NGSC,1,2027,0.0
Atlantis,ID,NGSC,1,2028,0.0
Atlantis,ID,NGSC,1,2029,0.0
Atlantis,ID,NGSC,1,2030,0.0
Atlantis,ID,NGSC,1,2031,0.0
Atlantis,ID,NGSC,1,2032,0.0
Atlantis,ID,NGSC,1,2033,0.0
Atlantis,ID,NGSC,1,2034,0.0
Atlantis,ID,NGSC,1,2035,0.0
Atlantis,ID,NGSC,1,2036,0.0
Atlantis,ID,NGSC,1,2037,0.0
Atlantis,ID,NGSC,1,2038,0.0
Atlantis,ID,NGSC,1,2039,0.0
Atlantis,ID,NGSC,1,2040,0.0
Atlantis,ID,DSGC,1,2014,0.0
Atlantis,ID,DSGC,1,2015,0.0
Atlantis,ID,DSGC,1,2016,0.0
Atlantis,ID,DSGC,1,2017,0.0
Atlantis,ID,DSGC,1,2018,0.0
Atlantis,ID,DSGC,1,2019,0.0
Atlantis,ID,DSGC,1,2020,0.0
Atlantis,ID,DSGC,1,2021,0.0
Atlantis,ID,DSGC,1,2022,0.0
Atlantis,ID,DSGC,1,2023,0.0
Atlantis,ID,DSGC,1,2024,0.0
Atlantis,ID,DSGC,1,2025,0.0
Atlantis,ID,DSGC,1,2026,0.0
Atlantis,ID,DSGC,1,2027,0.0
Atlantis,ID,DSGC,1,2028,0.0
Atlantis,ID,DSGC,1,2029,0.0
Atlantis,ID,DSGC,1,2030,0.0
Atlantis,ID,DSGC,1,2031,0.0
Atlantis,ID,DSGC,1,2032,0.0
Atlantis,ID,DSGC,1,2033,0.0
Atlantis,ID,DSGC,1,2034,0.0
Atlantis,ID,DSGC,1,2035,0.0
Atlantis,ID,DSGC,1,2036,0.0
Atlantis,ID,DSGC,1,2037,0.0
Atlantis,ID,DSGC,1,2038,0.0
Atlantis,ID,DSGC,1,2039,0.0
Atlantis,ID,DSGC,1,2040,0.0
Atlantis,ID,IGCC,1,2014,0.94608
Atlantis,ID,IGCC,1,2015,0.94608
Atlantis,ID,IGCC,1,2016,0.94608
Atlantis,ID,IGCC,1,2017,0.94608
Atlantis,ID,IGCC,1,2018,0.94608
Atlantis,ID,IGCC,1,2019,0.94608
Atlantis,ID,IGCC,1,2020,0.94608
Atlantis,ID,IGCC,1,2021,0.94608
Atlantis,ID,IGCC,1,2022,0.94608
Atlantis,ID,IGCC,1,2023,0.94608
Atlantis,ID,IGCC,1,2024,0.94608
Atlantis,ID,IGCC,1,2025,0.94608
Atlantis,ID,IGCC,1,2026,0.94608
Atlantis,ID,IGCC,1,2027,0.94608
Atlantis,ID,IGCC,1,2028,0.94608
Atlantis,ID,IGCC,1,2029,0.94608
Atlantis,ID,IGCC,1,2030,0.94608
Atlantis,ID,IGCC,1,2031,0.94608
Atlantis,ID,IGCC,1,2032,0.894811095262213
Atlantis,ID,IGCC,1,2033,0.94608
Atlantis,ID,IGCC,1,2034,0.94608
Atlantis,ID,IGCC,1,2035,0.94608
Atlantis,ID,IGCC,1,2036,0.94608
Atlantis,ID,IGCC,1,2037,0.94608
Atlantis,ID,IGCC,1,2038,0.94608
Atlantis,ID,IGCC,1,2039,0.94608
Atlantis,ID,IGCC,1,2040,0.94608
Atlantis,ID,HFSC,1,2014,0.0
Atlantis,ID,HFSC,1,2015,0.9460799999999998
Atlantis,ID,HFSC,1,2016,0.9460799999999998
Atlantis,ID,HFSC,1,2017,0.9460799999999998
Atlantis,ID,HFSC,1,2018,0.0
Atlantis,ID,HFSC,1,2019,0.0
Atlantis,ID,HFSC,1,2020,0.0
Atlantis,ID,HFSC,1,2021,0.0
Atlantis,ID,HFSC,1,2022,0.0
Atlantis,ID,HFSC,1,2023,0.0
Atlantis,ID,HFSC,1,2024,0.0
Atlantis,ID,HFSC,1,2025,0.0
Atlantis,ID,HFSC,1,2026,0.0
Atlantis,ID,HFSC,1,2027,0.0
Atlantis,ID,HFSC,1,2028,0.0
Atlantis,ID,HFSC,1,2029,0.0
Atlantis,ID,HFSC,1,2030,0.0
Atlantis,ID,HFSC,1,2031,0.0
Atlantis,ID,HFSC,1,2032,0.0
Atlantis,ID,HFSC,1,2033,0.0
Atlantis,ID,HFSC,1,2034,0.0
Atlantis,ID,HFSC,1,2035,0.0
Atlantis,ID,HFSC,1,2036,0.0
Atlantis,ID,HFSC,1,2037,0.0
Atlantis,ID,HFSC,1,2038,0.0
Atlantis,ID,HFSC,1,2039,0.0
Atlantis,ID,HFSC,1,2040,0.0
Atlantis,ID,HYDRO_DAM,1,2014,3.5692392667108277
Atlantis,ID,HYDRO_DAM,1,2015,3.5692392667108277
Atlantis,ID,HYDRO_DAM,1,2016,3.5692392667108277
Atlantis,ID,HYDRO_DAM,1,2017,3.5692392667108277
Atlantis,ID,HYDRO_DAM,1,2018,3.5692392667108277
Atlantis,ID,HYDRO_DAM,1,2019,3.0646632667108276
Atlantis,ID,HYDRO_DAM,1,2020,3.0646632667108276
Atlantis,ID,HYDRO_DAM,1,2021,3.0646632667108276
Atlantis,ID,HYDRO_DAM,1,2022,3.2022018117645965
Atlantis,ID,HYDRO_DAM,1,2023,3.44756472132463
Atlantis,ID,HYDRO_DAM,1,2024,3.615205831342558
Atlantis,ID,HYDRO_DAM,1,2025,3.615205831342558
Atlantis,ID,HYDRO_DAM,1,2026,3.615205831342558
Atlantis,ID,HYDRO_DAM,1,2027,3.615205831342558
Atlantis,ID,HYDRO_DAM,1,2028,3.7654076507132666
Atlantis,ID,HYDRO_DAM,1,2029,3.765407650713268
Atlantis,ID,HYDRO_DAM,1,2030,3.765407650713268
Atlantis,ID,HYDRO_DAM,1,2031,3.765407650713268
Atlantis,ID,HYDRO_DAM,1,2032,3.765407650713268
Atlantis,ID,HYDRO_DAM,1,2033,3.9056540601767065
Atlantis,ID,HYDRO_DAM,1,2034,4.1266832984179445
Atlantis,ID,HYDRO_DAM,1,2035,4.35166723417101
Atlantis,ID,HYDRO_DAM,1,2036,4.5867666836918
Atlantis,ID,HYDRO_DAM,1,2037,4.8348357478645445
Atlantis,ID,HYDRO_DAM,1,2038,5.095678565480364
Atlantis,ID,HYDRO_DAM,1,2039,5.369490997748139
Atlantis,ID,HYDRO_DAM,1,2040,5.657373641295467
Atlantis,ID,HYDRO_MIN,1,2014,0.17660160000000003
Atlantis,ID,HYDRO_MIN,1,2015,0.17660160000000003
Atlantis,ID,HYDRO_MIN,1,2016,0.17660160000000003
Atlantis,ID,HYDRO_MIN,1,2017,0.17660160000000003
Atlantis,ID,HYDRO_MIN,1,2018,0.17660160000000003
Atlantis,ID,HYDRO_MIN,1,2019,0.0
Atlantis,ID,HYDRO_MIN,1,2020,0.0
Atlantis,ID,HYDRO_MIN,1,2021,0.0
Atlantis,ID,HYDRO_MIN,1,2022,0.0
Atlantis,ID,HYDRO_MIN,1,2023,0.0
Atlantis,ID,HYDRO_MIN,1,2024,0.0
Atlantis,ID,HYDRO_MIN,1,2025,0.0
Atlantis,ID,HYDRO_MIN,1,2026,0.0
Atlantis,ID,HYDRO_MIN,1,2027,0.0
Atlantis,ID,HYDRO_MIN,1,2028,0.0
Atlantis,ID,HYDRO_MIN,1,2029,0.0
Atlantis,ID,HYDRO_MIN,1,2030,0.0
Atlantis,ID,HYDRO_MIN,1,2031,0.0
Atlantis,ID,HYDRO_MIN,1,2032,0.0
Atlantis,ID,HYDRO_MIN,1,2033,0.0
Atlantis,ID,HYDRO_MIN,1,2034,0.0
Atlantis,ID,HYDRO_MIN,1,2035,0.0
Atlantis,ID,HYDRO_MIN,1,2036,0.0
Atlantis,ID,HYDRO_MIN,1,2037,0.0
Atlantis,ID,HYDRO_MIN,1,2038,0.0
Atlantis,ID,HYDRO_MIN,1,2039,0.0
Atlantis,ID,HYDRO_MIN,1,2040,0.0
Atlantis,ID,DIESEL_GEN,1,2014,0.0
Atlantis,ID,DIESEL_GEN,1,2015,0.0
Atlantis,ID,DIESEL_GEN,1,2016,0.0
Atlantis,ID,DIESEL_GEN,1,2017,0.0
Atlantis,ID,DIESEL_GEN,1,2018,0.0
Atlantis,ID,DIESEL_GEN,1,2019,0.0
Atlantis,ID,DIESEL_GEN,1,2020,0.0
Atlantis,ID,DIESEL_GEN,1,2021,0.0
Atlantis,ID,DIESEL_GEN,1,2022,0.0
Atlantis,ID,DIESEL_GEN,1,2023,0.0
Atlantis,ID,DIESEL_GEN,1,2024,0.0
Atlantis,ID,DIESEL_GEN,1,2025,0.0
Atlantis,ID,DIESEL_GEN,1,2026,0.0
Atlantis,ID,DIESEL_GEN,1,2027,0.0
Atlantis,ID,DIESEL_GEN,1,2028,0.0
Atlantis,ID,DIESEL_GEN,1,2029,0.0
Atlantis,ID,DIESEL_GEN,1,2030,0.0
Atlantis,ID,DIESEL_GEN,1,2031,0.0
Atlantis,ID,DIESEL_GEN,1,2032,0.0
Atlantis,ID,DIESEL_GEN,1,2033,0.0
Atlantis,ID,DIESEL_GEN,1,2034,0.0
Atlantis,ID,DIESEL_GEN,1,2035,0.0
Atlantis,ID,DIESEL_GEN,1,2036,0.0
Atlantis,ID,DIESEL_GEN,1,2037,0.0
Atlantis,ID,DIESEL_GEN,1,2038,0.0
Atlantis,ID,DIESEL_GEN,1,2039,0.0
Atlantis,ID,DIESEL_GEN,1,2040,0.0
Atlantis,ID,CSP,1,2014,0.0
Atlantis,ID,CSP,1,2015,0.0
Atlantis,ID,CSP,1,2016,0.0
Atlantis,ID,CSP,1,2017,0.0
Atlantis,ID,CSP,1,2018,0.0
Atlantis,ID,CSP,1,2019,0.0
Atlantis,ID,CSP,1,2020,0.0
Atlantis,ID,CSP,1,2021,0.0
Atlantis,ID,CSP,1,2022,0.0
Atlantis,ID,CSP,1,2023,0.0
Atlantis,ID,CSP,1,2024,0.0
Atlantis,ID,CSP,1,2025,0.0
Atlantis,ID,CSP,1,2026,0.0
Atlantis,ID,CSP,1,2027,0.0
Atlantis,ID,CSP,1,2028,0.0
Atlantis,ID,CSP,1,2029,0.0
Atlantis,ID,CSP,1,2030,0.0
Atlantis,ID,CSP,1,2031,0.0
Atlantis,ID,CSP,1,2032,0.0
Atlantis,ID,CSP,1,2033,0.0
Atlantis,ID,CSP,1,2034,0.0
Atlantis,ID,CSP,1,2035,0.0
Atlantis,ID,CSP,1,2036,0.0
Atlantis,ID,CSP,1,2037,0.0
Atlantis,ID,CSP,1,2038,0.0
Atlantis,ID,CSP,1,2039,0.0
Atlantis,ID,CSP,1,2040,0.0
Atlantis,ID,PV_UTL,1,2014,0.0
Atlantis,ID,PV_UTL,1,2015,0.0
Atlantis,ID,PV_UTL,1,2016,0.0
Atlantis,ID,PV_UTL,1,2017,0.0
Atlantis,ID,PV_UTL,1,2018,0.0
Atlantis,ID,PV_UTL,1,2019,0.0
Atlantis,ID,PV_UTL,1,2020,0.0
Atlantis,ID,PV_UTL,1,2021,0.0
Atlantis,ID,PV_UTL,1,2022,0.0
Atlantis,ID,PV_UTL,1,2023,0.0
Atlantis,ID,PV_UTL,1,2024,0.0
Atlantis,ID,PV_UTL,1,2025,0.0
Atlantis,ID,PV_UTL,1,2026,0.0
Atlantis,ID,PV_UTL,1,2027,0.0
