REGION,TIMESLICE,FUEL,YEAR,value
Atlantis,ID,HF,2014,0.0
Atlantis,ID,HF,2015,2.05677792
Atlantis,ID,HF,2016,2.05677792
Atlantis,ID,HF,2017,2.05677792
Atlantis,ID,HF,2018,0.0
Atlantis,ID,HF,2019,0.0
Atlantis,ID,HF,2020,0.0
Atlantis,ID,HF,2021,0.0
Atlantis,ID,HF,2022,0.0
Atlantis,ID,HF,2023,0.0
Atlantis,ID,HF,2024,0.0
Atlantis,ID,HF,2025,0.0
Atlantis,ID,HF,2026,0.0
Atlantis,ID,HF,2027,0.0
Atlantis,ID,HF,2028,0.0
Atlantis,ID,HF,2029,0.0
Atlantis,ID,HF,2030,0.0
Atlantis,ID,HF,2031,0.0
Atlantis,ID,HF,2032,0.0
Atlantis,ID,HF,2033,0.0
Atlantis,ID,HF,2034,0.0
Atlantis,ID,HF,2035,0.0
Atlantis,ID,HF,2036,0.0
Atlantis,ID,HF,2037,0.0
Atlantis,ID,HF,2038,0.0
Atlantis,ID,HF,2039,0.0
Atlantis,ID,HF,2040,0.0
Atlantis,ID,DS,2014,0.0
Atlantis,ID,DS,2015,0.0
Atlantis,ID,DS,2016,0.0
Atlantis,ID,DS,2017,0.0
Atlantis,ID,DS,2018,0.0
Atlantis,ID,DS,2019,0.0
Atlantis,ID,DS,2020,0.0
Atlantis,ID,DS,2021,0.0
Atlantis,ID,DS,2022,0.0
Atlantis,ID,DS,2023,0.0
Atlantis,ID,DS,2024,0.0
Atlantis,ID,DS,2025,0.0
Atlantis,ID,DS,2026,0.0
Atlantis,ID,DS,2027,0.0
Atlantis,ID,DS,2028,0.0
Atlantis,ID,DS,2029,0.0
Atlantis,ID,DS,2030,0.0
Atlantis,ID,DS,2031,0.0
Atlantis,ID,DS,2032,0.0
Atlantis,ID,DS,2033,0.0
Atlantis,ID,DS,2034,0.0
Atlantis,ID,DS,2035,0.0
Atlantis,ID,DS,2036,0.0
Atlantis,ID,DS,2037,0.0
Atlantis,ID,DS,2038,0.0
Atlantis,ID,DS,2039,0.0
Atlantis,ID,DS,2040,0.0
Atlantis,ID,NG,2014,4.900991174936201
Atlantis,ID,NG,2015,2.9167085820304846
Atlantis,ID,NG,2016,3.2518677407095447
Atlantis,ID,NG,2017,3.715854256944308
Atlantis,ID,NG,2018,3.77291385334888
Atlantis,ID,NG,2019,3.6150659131470384
Atlantis,ID,NG,2020,0.019079999023406884
Atlantis,ID,NG,2021,0.0
Atlantis,ID,NG,2022,0.0
Atlantis,ID,NG,2023,0.0
Atlantis,ID,NG,2024,0.0
Atlantis,ID,NG,2025,0.15159085125581426
Atlantis,ID,NG,2026,0.0
Atlantis,ID,NG,2027,0.0
Atlantis,ID,NG,2028,0.0
Atlantis,ID,NG,2029,0.19057274073791214
Atlantis,ID,NG,2030,0.09743289787681725
Atlantis,ID,NG,2031,0.0
Atlantis,ID,NG,2032,0.0
Atlantis,ID,NG,2033,0.0
Atlantis,ID,NG,2034,0.0
Atlantis,ID,NG,2035,0.0
Atlantis,ID,NG,2036,0.0
Atlantis,ID,NG,2037,0.0
Atlantis,ID,NG,2038,0.0
Atlantis,ID,NG,2039,0.0
Atlantis,ID,NG,2040,0.0
Atlantis,ID,CO,2014,1.9706846400000002
Atlantis,ID,CO,2015,1.9706846400000002
Atlantis,ID,CO,2016,1.9706846400000002
Atlantis,ID,CO,2017,1.9706846400000002
Atlantis,ID,CO,2018,1.9706846400000002
Atlantis,ID,CO,2019,1.9706846400000002
Atlantis,ID,CO,2020,1.9706846400000002
Atlantis,ID,CO,2021,1.9706846400000002
Atlantis,ID,CO,2022,1.9706846400000002
Atlantis,ID,CO,2023,1.9706846400000002
Atlantis,ID,CO,2024,1.9706846400000002
Atlantis,ID,CO,2025,1.9706846400000002
Atlantis,ID,CO,2026,1.9706846400000002
Atlantis,ID,CO,2027,1.9706846400000002
Atlantis,ID,CO,2028,1.9706846400000002
Atlantis,ID,CO,2029,1.9706846400000002
Atlantis,ID,CO,2030,1.9706846400000002
Atlantis,ID,CO,2031,1.9706846400000002
Atlantis,ID,CO,2032,1.8638915114311894
Atlantis,ID,CO,2033,1.9706846400000002
Atlantis,ID,CO,2034,1.9706846400000002
Atlantis,ID,CO,2035,1.9706846400000002
Atlantis,ID,CO,2036,1.9706846400000002
Atlantis,ID,CO,2037,1.9706846400000002
Atlantis,ID,CO,2038,1.9706846400000002
Atlantis,ID,CO,2039,1.9706846400000002
Atlantis,ID,CO,2040,1.9706846400000002
Atlantis,ID,UR,2014,0.0
Atlantis,ID,UR,2015,0.0
Atlantis,ID,UR,2016,0.0
Atlantis,ID,UR,2017,0.0
Atlantis,ID,UR,2018,3.9485955414061173
Atlantis,ID,UR,2019,4.0040374012591675
Atlantis,ID,UR,2020,10.145751401138325
Atlantis,ID,UR,2021,10.04264638270778
Atlantis,ID,UR,2022,10.255714404798558
Atlantis,ID,UR,2023,10.544583134474586
Atlantis,ID,UR,2024,10.70321952938308
Atlantis,ID,UR,2025,10.989909167777606
Atlantis,ID,UR,2026,10.697413800247741
Atlantis,ID,UR,2027,10.773799144916426
Atlantis,ID,UR,2028,10.950108334876756
Atlantis,ID,UR,2029,11.384351416222836
Atlantis,ID,UR,2030,12.366974906054203
Atlantis,ID,UR,2031,13.396254008349326
Atlantis,ID,UR,2032,14.442918731028325
Atlantis,ID,UR,2033,14.701014454985923
Atlantis,ID,UR,2034,14.865493920445491
Atlantis,ID,UR,2035,15.035970921253519
Atlantis,ID,UR,2036,15.212201443699676
Atlantis,ID,UR,2037,15.39839570076688
Atlantis,ID,UR,2038,15.593947491353495
Atlantis,ID,UR,2039,15.799463016561162
Atlantis,ID,UR,2040,16.01672959875541
