REGION,TECHNOLOGY,TIMESLICE,YEAR,value
Atlantis,HF_Imp,ID,2014,0.0
Atlantis,HF_Imp,ID,2015,2.05677792
Atlantis,HF_Imp,ID,2016,2.05677792
Atlantis,HF_Imp,ID,2017,2.05677792
Atlantis,HF_Imp,ID,2018,0.0
Atlantis,HF_Imp,ID,2019,0.0
Atlantis,HF_Imp,ID,2020,0.0
Atlantis,HF_Imp,ID,2021,0.0
Atlantis,HF_Imp,ID,2022,0.0
Atlantis,HF_Imp,ID,2023,0.0
Atlantis,HF_Imp,ID,2024,0.0
Atlantis,HF_Imp,ID,2025,0.0
Atlantis,HF_Imp,ID,2026,0.0
Atlantis,HF_Imp,ID,2027,0.0
Atlantis,HF_Imp,ID,2028,0.0
Atlantis,HF_Imp,ID,2029,0.0
Atlantis,HF_Imp,ID,2030,0.0
Atlantis,HF_Imp,ID,2031,0.0
Atlantis,HF_Imp,ID,2032,0.0
Atlantis,HF_Imp,ID,2033,0.0
Atlantis,HF_Imp,ID,2034,0.0
Atlantis,HF_Imp,ID,2035,0.0
Atlantis,HF_Imp,ID,2036,0.0
Atlantis,HF_Imp,ID,2037,0.0
Atlantis,HF_Imp,ID,2038,0.0
Atlantis,HF_Imp,ID,2039,0.0
Atlantis,HF_Imp,ID,2040,0.0
Atlantis,HF_Imp,IN,2014,0.9221489556430349
Atlantis,HF_Imp,IN,2015,2.05677792
Atlantis,HF_Imp,IN,2016,2.05677792
Atlantis,HF_Imp,IN,2017,2.0567779200000005
Atlantis,HF_Imp,IN,2018,0.06830642300715135
Atlantis,HF_Imp,IN,2019,0.0
Atlantis,HF_Imp,IN,2020,0.0
Atlantis,HF_Imp,IN,2021,0.0
Atlantis,HF_Imp,IN,2022,0.0
Atlantis,HF_Imp,IN,2023,0.0
Atlantis,HF_Imp,IN,2024,0.0
Atlantis,HF_Imp,IN,2025,0.0
Atlantis,HF_Imp,IN,2026,0.0
Atlantis,HF_Imp,IN,2027,0.0
Atlantis,HF_Imp,IN,2028,0.0
Atlantis,HF_Imp,IN,2029,0.0
Atlantis,HF_Imp,IN,2030,0.0
Atlantis,HF_Imp,IN,2031,0.0
Atlantis,HF_Imp,IN,2032,0.0
