REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,value
Atlantis,ID,HF_Imp,1,HF,2014,0.0
Atlantis,ID,HF_Imp,1,HF,2015,0.0
Atlantis,ID,HF_Imp,1,HF,2016,0.0
Atlantis,ID,HF_Imp,1,HF,2017,0.0
Atlantis,ID,HF_Imp,1,HF,2018,0.0
Atlantis,ID,HF_Imp,1,HF,2019,0.0
Atlantis,ID,HF_Imp,1,HF,2020,0.0
Atlantis,ID,HF_Imp,1,HF,2021,0.0
Atlantis,ID,HF_Imp,1,HF,2022,0.0
Atlantis,ID,HF_Imp,1,HF,2023,0.0
Atlantis,ID,HF_Imp,1,HF,2024,0.0
Atlantis,ID,HF_Imp,1,HF,2025,0.0
Atlantis,ID,HF_Imp,1,HF,2026,0.0
Atlantis,ID,HF_Imp,1,HF,2027,0.0
Atlantis,ID,HF_Imp,1,HF,2028,0.0
Atlantis,ID,HF_Imp,1,HF,2029,0.0
Atlantis,ID,HF_Imp,1,HF,2030,0.0
Atlantis,ID,HF_Imp,1,HF,2031,0.0
Atlantis,ID,HF_Imp,1,HF,2032,0.0
Atlantis,ID,HF_Imp,1,HF,2033,0.0
Atlantis,ID,HF_Imp,1,HF,2034,0.0
Atlantis,ID,HF_Imp,1,HF,2035,0.0
Atlantis,ID,HF_Imp,1,HF,2036,0.0
Atlantis,ID,HF_Imp,1,HF,2037,0.0
Atlantis,ID,HF_Imp,1,HF,2038,0.0
Atlantis,ID,HF_Imp,1,HF,2039,0.0
Atlantis,ID,HF_Imp,1,HF,2040,0.0
Atlantis,ID,HF_Imp,1,DS,2014,0.0
Atlantis,ID,HF_Imp,1,DS,2015,0.0
Atlantis,ID,HF_Imp,1,DS,2016,0.0
Atlantis,ID,HF_Imp,1,DS,2017,0.0
Atlantis,ID,HF_Imp,1,DS,2018,0.0
Atlantis,ID,HF_Imp,1,DS,2019,0.0
Atlantis,ID,HF_Imp,1,DS,2020,0.0
Atlantis,ID,HF_Imp,1,DS,2021,0.0
Atlantis,ID,HF_Imp,1,DS,2022,0.0
