REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,value
Atlantis,HF_Imp,1,2014,0.0768150080050648
Atlantis,HF_Imp,1,2015,1.3406873123712182
Atlantis,HF_Imp,1,2016,1.4804915135706973
Atlantis,HF_Imp,1,2017,1.6745400550612608
Atlantis,HF_Imp,1,2018,0.005689925036495708
Atlantis,HF_Imp,1,2019,0.0
Atlantis,HF_Imp,1,2020,0.0
Atlantis,HF_Imp,1,2021,0.0
Atlantis,HF_Imp,1,2022,0.0
Atlantis,HF_Imp,1,2023,0.0
Atlantis,HF_Imp,1,2024,0.0
Atlantis,HF_Imp,1,2025,0.0
Atlantis,HF_Imp,1,2026,0.0
Atlantis,HF_Imp,1,2027,0.0
Atlantis,HF_Imp,1,2028,0.0
Atlantis,HF_Imp,1,2029,0.0
Atlantis,HF_Imp,1,2030,0.0
Atlantis,HF_Imp,1,2031,0.0
Atlantis,HF_Imp,1,2032,0.0
Atlantis,HF_Imp,1,2033,0.0
Atlantis,HF_Imp,1,2034,0.0
Atlantis,HF_Imp,1,2035,0.0
Atlantis,HF_Imp,1,2036,0.0
Atlantis,HF_Imp,1,2037,0.0
Atlantis,HF_Imp,1,2038,0.0
Atlantis,HF_Imp,1,2039,0.0
Atlantis,HF_Imp,1,2040,0.0
Atlantis,DS_Imp,1,2014,0.0
Atlantis,DS_Imp,1,2015,0.0
Atlantis,DS_Imp,1,2016,0.0
Atlantis,DS_Imp,1,2017,0.0
Atlantis,DS_Imp,1,2018,0.0
Atlantis,DS_Imp,1,2019,0.0
Atlantis,DS_Imp,1,2020,0.0
Atlantis,DS_Imp,1,2021,0.0
Atlantis,DS_Imp,1,2022,0.0
Atlantis,DS_Imp,1,2023,0.0
Atlantis,DS_Imp,1,2024,0.0
Atlantis,DS_Imp,1,2025,0.0
Atlantis,DS_Imp,1,2026,0.0
Atlantis,DS_Imp,1,2027,0.0
Atlantis,DS_Imp,1,2028,0.0
Atlantis,DS_Imp,1,2029,0.0
Atlantis,DS_Imp,1,2030,0.0
Atlantis,DS_Imp,1,2031,0.0
Atlantis,DS_Imp,1,2032,0.0
Atlantis,DS_Imp,1,2033,0.0
Atlantis,DS_Imp,1,2034,0.0
Atlantis,DS_Imp,1,2035,0.0
Atlantis,DS_Imp,1,2036,0.0
Atlantis,DS_Imp,1,2037,0.0
Atlantis,DS_Imp,1,2038,0.0
Atlantis,DS_Imp,1,2039,0.0
Atlantis,DS_Imp,1,2040,0.0
Atlantis,NG_Imp,1,2014,3.1578182061614237
Atlantis,NG_Imp,1,2015,1.9624403325807618
Atlantis,NG_Imp,1,2016,2.1331311371427106
Atlantis,NG_Imp,1,2017,2.3705824516449785
Atlantis,NG_Imp,1,2018,2.399671802496039
Atlantis,NG_Imp,1,2019,2.263218758253338
Atlantis,NG_Imp,1,2020,0.4617836783227316
Atlantis,NG_Imp,1,2021,0.303045233319453
Atlantis,NG_Imp,1,2022,0.36254118608901464
Atlantis,NG_Imp,1,2023,0.4460437905038607
Atlantis,NG_Imp,1,2024,0.48244470705015235
Atlantis,NG_Imp,1,2025,0.7815967994489293
Atlantis,NG_Imp,1,2026,0.431444434231209
Atlantis,NG_Imp,1,2027,0.4508273203284791
Atlantis,NG_Imp,1,2028,0.501995236463755
Atlantis,NG_Imp,1,2029,0.9203900636251777
Atlantis,NG_Imp,1,2030,1.3785338627491235
Atlantis,NG_Imp,1,2031,0.5262684489114071
Atlantis,NG_Imp,1,2032,0.49877003580840246
Atlantis,NG_Imp,1,2033,0.549153591185378
Atlantis,NG_Imp,1,2034,0.5724040532078323
Atlantis,NG_Imp,1,2035,0.5954577214488372
Atlantis,NG_Imp,1,2036,0.6196059618649759
Atlantis,NG_Imp,1,2037,0.6449457307882344
Atlantis,NG_Imp,1,2038,0.6719013290581656
Atlantis,NG_Imp,1,2039,0.7000484557174738
Atlantis,NG_Imp,1,2040,0.7290933608882088
Atlantis,CO_Imp,1,2014,1.9706846399999998
Atlantis,CO_Imp,1,2015,1.9706846399999998
Atlantis,CO_Imp,1,2016,1.97068464
Atlantis,CO_Imp,1,2017,1.97068464
Atlantis,CO_Imp,1,2018,1.97068464
Atlantis,CO_Imp,1,2019,1.97068464
Atlantis,CO_Imp,1,2020,1.97068464
Atlantis,CO_Imp,1,2021,1.97068464
Atlantis,CO_Imp,1,2022,1.97068464
Atlantis,CO_Imp,1,2023,1.97068464
Atlantis,CO_Imp,1,2024,1.9706846400000007
Atlantis,CO_Imp,1,2025,1.97068464
Atlantis,CO_Imp,1,2026,1.9706846400000002
Atlantis,CO_Imp,1,2027,1.97068464
