REGION,YEAR,value
Atlantis,2014,957.0330977092354
Atlantis,2015,80.92557240238904
Atlantis,2016,81.55681304562242
Atlantis,2017,83.41862265333955
Atlantis,2018,141.5851299871886
Atlantis,2019,217.44341698097185
Atlantis,2020,151.72099548297447
Atlantis,2021,122.00558109735448
Atlantis,2022,81.06816122651124
Atlantis,2023,82.81156692819135
Atlantis,2024,67.63994112962396
Atlantis,2025,47.740558831203025
Atlantis,2026,64.76770902018006
Atlantis,2027,48.945188198462105
Atlantis,2028,50.880024389284905
Atlantis,2029,41.55470593791994
Atlantis,2030,44.053260098456406
Atlantis,2031,40.25355869201218
Atlantis,2032,39.25316428005488
Atlantis,2033,42.30887469782478
Atlantis,2034,42.95045734933768
Atlantis,2035,40.49710084003369
Atlantis,2036,38.28908380176824
Atlantis,2037,36.14021080362012
Atlantis,2038,33.93887992672107
Atlantis,2039,31.695191991589624
Atlantis,2040,29.416507942265678
