REGION,TECHNOLOGY,YEAR,value
Atlantis,HF_Imp,2014,0.0768150080050648
Atlantis,HF_Imp,2015,1.3406873123712182
Atlantis,HF_Imp,2016,1.4804915135706975
Atlantis,HF_Imp,2017,1.6745400550612612
Atlantis,HF_Imp,2018,0.005689925036495708
Atlantis,HF_Imp,2019,0.0
Atlantis,HF_Imp,2020,0.0
Atlantis,HF_Imp,2021,0.0
Atlantis,HF_Imp,2022,0.0
Atlantis,HF_Imp,2023,0.0
Atlantis,HF_Imp,2024,0.0
Atlantis,HF_Imp,2025,0.0
Atlantis,HF_Imp,2026,0.0
Atlantis,HF_Imp,2027,0.0
Atlantis,HF_Imp,2028,0.0
Atlantis,HF_Imp,2029,0.0
Atlantis,HF_Imp,2030,0.0
Atlantis,HF_Imp,2031,0.0
Atlantis,HF_Imp,2032,0.0
Atlantis,HF_Imp,2033,0.0
Atlantis,HF_Imp,2034,0.0
Atlantis,HF_Imp,2035,0.0
Atlantis,HF_Imp,2036,0.0
Atlantis,HF_Imp,2037,0.0
Atlantis,HF_Imp,2038,0.0
Atlantis,HF_Imp,2039,0.0
Atlantis,HF_Imp,2040,0.0
Atlantis,DS_Imp,2014,0.0
Atlantis,DS_Imp,2015,0.0
Atlantis,DS_Imp,2016,0.0
Atlantis,DS_Imp,2017,0.0
Atlantis,DS_Imp,2018,0.0
Atlantis,DS_Imp,2019,0.0
Atlantis,DS_Imp,2020,0.0
Atlantis,DS_Imp,2021,0.0
Atlantis,DS_Imp,2022,0.0
Atlantis,DS_Imp,2023,0.0
Atlantis,DS_Imp,2024,0.0
Atlantis,DS_Imp,2025,0.0
Atlantis,DS_Imp,2026,0.0
Atlantis,DS_Imp,2027,0.0
Atlantis,DS_Imp,2028,0.0
Atlantis,DS_Imp,2029,0.0
Atlantis,DS_Imp,2030,0.0
Atlantis,DS_Imp,2031,0.0
Atlantis,DS_Imp,2032,0.0
Atlantis,DS_Imp,2033,0.0
Atlantis,DS_Imp,2034,0.0
Atlantis,DS_Imp,2035,0.0
Atlantis,DS_Imp,2036,0.0
Atlantis,DS_Imp,2037,0.0
Atlantis,DS_Imp,2038,0.0
Atlantis,DS_Imp,2039,0.0
Atlantis,DS_Imp,2040,0.0
Atlantis,NG_Imp,2014,3.1578182061614237
Atlantis,NG_Imp,2015,1.9624403325807616
Atlantis,NG_Imp,2016,2.1331311371427106
Atlantis,NG_Imp,2017,2.370582451644979
Atlantis,NG_Imp,2018,2.399671802496039
Atlantis,NG_Imp,2019,2.263218758253339
Atlantis,NG_Imp,2020,0.4617836783227315
Atlantis,NG_Imp,2021,0.30304523331945293
Atlantis,NG_Imp,2022,0.3625411860890146
Atlantis,NG_Imp,2023,0.44604379050386067
Atlantis,NG_Imp,2024,0.4824447070501523
Atlantis,NG_Imp,2025,0.7815967994489295
Atlantis,NG_Imp,2026,0.431444434231209
Atlantis,NG_Imp,2027,0.45082732032847905
Atlantis,NG_Imp,2028,0.5019952364637549
Atlantis,NG_Imp,2029,0.9203900636251776
Atlantis,NG_Imp,2030,1.3785338627491235
Atlantis,NG_Imp,2031,0.5262684489114072
Atlantis,NG_Imp,2032,0.4987700358084025
Atlantis,NG_Imp,2033,0.5491535911853779
Atlantis,NG_Imp,2034,0.5724040532078323
Atlantis,NG_Imp,2035,0.5954577214488372
Atlantis,NG_Imp,2036,0.6196059618649757
Atlantis,NG_Imp,2037,0.6449457307882344
Atlantis,NG_Imp,2038,0.6719013290581656
Atlantis,NG_Imp,2039,0.7000484557174738
Atlantis,NG_Imp,2040,0.7290933608882089
Atlantis,CO_Imp,2014,1.97068464
Atlantis,CO_Imp,2015,1.97068464
Atlantis,CO_Imp,2016,1.97068464
Atlantis,CO_Imp,2017,1.97068464
Atlantis,CO_Imp,2018,1.97068464
Atlantis,CO_Imp,2019,1.97068464
Atlantis,CO_Imp,2020,1.97068464
Atlantis,CO_Imp,2021,1.97068464
Atlantis,CO_Imp,2022,1.97068464
Atlantis,CO_Imp,2023,1.97068464
Atlantis,CO_Imp,2024,1.97068464
Atlantis,CO_Imp,2025,1.97068464
Atlantis,CO_Imp,2026,1.97068464
Atlantis,CO_Imp,2027,1.97068464
Atlantis,CO_Imp,2028,1.97068464
Atlantis,CO_Imp,2029,1.97068464
Atlantis,CO_Imp,2030,1.97068464
Atlantis,CO_Imp,2031,1.281993763133491
Atlantis,CO_Imp,2032,1.8204388025016294
Atlantis,CO_Imp,2033,1.97068464
Atlantis,CO_Imp,2034,1.97068464
Atlantis,CO_Imp,2035,1.97068464
Atlantis,CO_Imp,2036,1.97068464
Atlantis,CO_Imp,2037,1.97068464
Atlantis,CO_Imp,2038,1.97068464
Atlantis,CO_Imp,2039,1.97068464
Atlantis,CO_Imp,2040,1.97068464
Atlantis,UR_Imp,2014,0.0
Atlantis,UR_Imp,2015,0.0
Atlantis,UR_Imp,2016,0.0
Atlantis,UR_Imp,2017,0.0
Atlantis,UR_Imp,2018,3.33333333333333
Atlantis,UR_Imp,2019,3.3333333333333295
Atlantis,UR_Imp,2020,6.666666666666661
Atlantis,UR_Imp,2021,6.66666666666666
Atlantis,UR_Imp,2022,6.666666666666656
Atlantis,UR_Imp,2023,6.6666666666666625
Atlantis,UR_Imp,2024,6.666666666666657
Atlantis,UR_Imp,2025,6.66666666666666
Atlantis,UR_Imp,2026,6.666666666666657
Atlantis,UR_Imp,2027,6.66666666666666
Atlantis,UR_Imp,2028,6.666666666666661
Atlantis,UR_Imp,2029,6.666666666666659
Atlantis,UR_Imp,2030,6.666666666666661
Atlantis,UR_Imp,2031,10.0
Atlantis,UR_Imp,2032,10.0
