REGION,TECHNOLOGY,YEAR,value
Cuba,PWRCRUD001,2019,0.09
Cuba,PWRCRUD001,2020,0.09
Cuba,PWRCRUD001,2021,0.09
Cuba,PWRCRUD001,2022,0.09
Cuba,PWRCRUD001,2023,0.09
Cuba,PWRCRUD001,2024,0.09
Cuba,PWRCRUD002,2019,0.06
Cuba,PWRCRUD002,2020,0.06
Cuba,PWRCRUD002,2021,0.06
Cuba,PWRCRUD002,2022,0.06
Cuba,PWRCRUD002,2023,0.06
Cuba,PWRCRUD002,2024,0.06
Cuba,PWRCRUD002,2025,0.06
Cuba,PWRCRUD003,2019,0.1
Cuba,PWRCRUD003,2020,0.1
Cuba,PWRCRUD003,2021,0.1
Cuba,PWRCRUD003,2022,0.1
Cuba,PWRCRUD003,2023,0.1
Cuba,PWRCRUD003,2024,0.1
Cuba,PWRCRUD003,2025,0.1
Cuba,PWRCRUD003,2026,0.1
Cuba,PWRCRUD004,2019,0.317
Cuba,PWRCRUD004,2020,0.317
Cuba,PWRCRUD004,2021,0.317
Cuba,PWRCRUD004,2022,0.317
Cuba,PWRCRUD004,2023,0.317
Cuba,PWRCRUD004,2024,0.317
Cuba,PWRCRUD004,2025,0.317
Cuba,PWRCRUD004,2026,0.317
Cuba,PWRCRUD004,2027,0.317
Cuba,PWRHFO01,2019,0.158
Cuba,PWRHFO01,2020,0.158
Cuba,PWRHFO01,2021,0.158
Cuba,PWRHFO01,2022,0.158
Cuba,PWRHFO01,2023,0.158
Cuba,PWRHFO01,2024,0.158
Cuba,PWRHFO01,2025,0.158
Cuba,PWRHFO01,2026,0.158
Cuba,PWRHFO01,2027,0.158
Cuba,PWRHFO01,2028,0.158
Cuba,PWRCRUD005,2019,0.12
Cuba,PWRCRUD005,2020,0.12
Cuba,PWRCRUD005,2021,0.12
Cuba,PWRCRUD005,2022,0.12
Cuba,PWRCRUD005,2023,0.12
Cuba,PWRCRUD005,2024,0.12
Cuba,PWRCRUD005,2025,0.12
Cuba,PWRCRUD005,2026,0.12
Cuba,PWRCRUD005,2027,0.12
Cuba,PWRCRUD005,2028,0.12
Cuba,PWRCRUD005,2029,0.12
Cuba,PWRCRUD006,2019,0.25
Cuba,PWRCRUD006,2020,0.25
Cuba,PWRCRUD006,2021,0.25
Cuba,PWRCRUD006,2022,0.25
Cuba,PWRCRUD006,2023,0.25
Cuba,PWRCRUD006,2024,0.25
Cuba,PWRCRUD006,2025,0.25
Cuba,PWRCRUD006,2026,0.25
Cuba,PWRCRUD006,2027,0.25
Cuba,PWRCRUD006,2028,0.25
Cuba,PWRCRUD006,2029,0.25
Cuba,PWRCRUD006,2030,0.25
Cuba,PWRCRUD007,2019,0.095
Cuba,PWRCRUD007,2020,0.095
Cuba,PWRCRUD007,2021,0.095
Cuba,PWRCRUD007,2022,0.095
Cuba,PWRCRUD007,2023,0.095
Cuba,PWRCRUD007,2024,0.095
Cuba,PWRCRUD007,2025,0.095
Cuba,PWRCRUD007,2026,0.095
Cuba,PWRCRUD007,2027,0.095
Cuba,PWRCRUD007,2028,0.095
Cuba,PWRCRUD007,2029,0.095
Cuba,PWRCRUD007,2030,0.095
Cuba,PWRCRUD007,2031,0.095
Cuba,PWRCRUD008,2019,0.2
Cuba,PWRCRUD008,2020,0.2
Cuba,PWRCRUD008,2021,0.2
Cuba,PWRCRUD008,2022,0.2
Cuba,PWRCRUD008,2023,0.2
Cuba,PWRCRUD008,2024,0.2
Cuba,PWRCRUD008,2025,0.2
Cuba,PWRCRUD008,2026,0.2
Cuba,PWRCRUD008,2027,0.2
Cuba,PWRCRUD008,2028,0.2
Cuba,PWRCRUD008,2029,0.2
Cuba,PWRCRUD008,2030,0.2
Cuba,PWRCRUD008,2031,0.2
Cuba,PWRCRUD008,2032,0.2
Cuba,PWRCRUD008,2033,0.2
Cuba,PWRCRUD008,2034,0.2
Cuba,PWRCRUD008,2035,0.2
Cuba,PWRCRUD008,2036,0.2
Cuba,PWRCRUD008,2037,0.2
Cuba,PWRCRUD008,2038,0.2
Cuba,PWRCRUD008,2039,0.2
Cuba,PWRCRUD008,2040,0.2
Cuba,PWRCRUD008,2041,0.2
Cuba,PWRCRUD008,2042,0.2
Cuba,PWRCRUD008,2043,0.2
Cuba,PWRCRUD008,2044,0.2
Cuba,PWRCRUD008,2045,0.2
Cuba,PWRCRUD008,2046,0.2
Cuba,PWRCRUD008,2047,0.2
Cuba,PWRCRUD008,2048,0.2
Cuba,PWRCRUD008,2049,0.2
Cuba,PWRCRUD008,2050,0.2
