TIMESLICE,DAILYTIMEBRACKET,value
111,1,1.0
112,2,1.0
113,3,1.0
114,4,1.0
115,5,1.0
116,6,1.0
117,7,1.0
118,8,1.0
121,1,1.0
122,2,1.0
123,3,1.0
124,4,1.0
125,5,1.0
126,6,1.0
127,7,1.0
128,8,1.0
211,1,1.0
212,2,1.0
213,3,1.0
214,4,1.0
215,5,1.0
216,6,1.0
217,7,1.0
218,8,1.0
221,1,1.0
222,2,1.0
223,3,1.0
224,4,1.0
225,5,1.0
226,6,1.0
227,7,1.0
228,8,1.0
311,1,1.0
312,2,1.0
313,3,1.0
314,4,1.0
315,5,1.0
316,6,1.0
317,7,1.0
318,8,1.0
321,1,1.0
322,2,1.0
323,3,1.0
324,4,1.0
325,5,1.0
326,6,1.0
327,7,1.0
328,8,1.0
411,1,1.0
412,2,1.0
413,3,1.0
414,4,1.0
415,5,1.0
416,6,1.0
417,7,1.0
418,8,1.0
421,1,1.0
422,2,1.0
423,3,1.0
424,4,1.0
425,5,1.0
426,6,1.0
427,7,1.0
428,8,1.0
