REGION,TECHNOLOGY,YEAR,value
Cuba,PWRCRUD001,2019,3.0
Cuba,PWRCRUD001,2020,3.0
Cuba,PWRCRUD001,2021,3.0
Cuba,PWRCRUD001,2022,3.0
Cuba,PWRCRUD001,2023,3.0
Cuba,PWRCRUD001,2024,3.0
Cuba,PWRCRUD002,2019,1.0
Cuba,PWRCRUD002,2020,1.0
Cuba,PWRCRUD002,2021,1.0
Cuba,PWRCRUD002,2022,1.0
Cuba,PWRCRUD002,2023,1.0
Cuba,PWRCRUD002,2024,1.0
Cuba,PWRCRUD002,2025,1.0
Cuba,PWRCRUD003,2019,3.0
Cuba,PWRCRUD003,2020,3.0
Cuba,PWRCRUD003,2021,3.0
Cuba,PWRCRUD003,2022,3.0
Cuba,PWRCRUD003,2023,3.0
Cuba,PWRCRUD003,2024,3.0
Cuba,PWRCRUD003,2025,3.0
Cuba,PWRCRUD003,2026,3.0
Cuba,PWRCRUD004,2019,1.0
Cuba,PWRCRUD004,2020,1.0
Cuba,PWRCRUD004,2021,1.0
Cuba,PWRCRUD004,2022,1.0
Cuba,PWRCRUD004,2023,1.0
Cuba,PWRCRUD004,2024,1.0
Cuba,PWRCRUD004,2025,1.0
Cuba,PWRCRUD004,2026,1.0
Cuba,PWRCRUD004,2027,1.0
Cuba,PWRHFO01,2019,2.0
Cuba,PWRHFO01,2020,2.0
Cuba,PWRHFO01,2021,2.0
Cuba,PWRHFO01,2022,2.0
Cuba,PWRHFO01,2023,2.0
Cuba,PWRHFO01,2024,2.0
Cuba,PWRHFO01,2025,2.0
Cuba,PWRHFO01,2026,2.0
Cuba,PWRHFO01,2027,2.0
Cuba,PWRHFO01,2028,2.0
Cuba,PWRCRUD005,2019,3.0
Cuba,PWRCRUD005,2020,3.0
Cuba,PWRCRUD005,2021,3.0
Cuba,PWRCRUD005,2022,3.0
Cuba,PWRCRUD005,2023,3.0
Cuba,PWRCRUD005,2024,3.0
Cuba,PWRCRUD005,2025,3.0
Cuba,PWRCRUD005,2026,3.0
Cuba,PWRCRUD005,2027,3.0
Cuba,PWRCRUD005,2028,3.0
Cuba,PWRCRUD005,2029,3.0
Cuba,PWRCRUD006,2019,2.0
Cuba,PWRCRUD006,2020,2.0
Cuba,PWRCRUD006,2021,2.0
Cuba,PWRCRUD006,2022,2.0
Cuba,PWRCRUD006,2023,2.0
Cuba,PWRCRUD006,2024,2.0
Cuba,PWRCRUD006,2025,2.0
Cuba,PWRCRUD006,2026,2.0
Cuba,PWRCRUD006,2027,2.0
Cuba,PWRCRUD006,2028,2.0
Cuba,PWRCRUD006,2029,2.0
Cuba,PWRCRUD006,2030,2.0
Cuba,PWRCRUD007,2019,4.0
Cuba,PWRCRUD007,2020,4.0
Cuba,PWRCRUD007,2021,4.0
Cuba,PWRCRUD007,2022,4.0
Cuba,PWRCRUD007,2023,4.0
Cuba,PWRCRUD007,2024,4.0
Cuba,PWRCRUD007,2025,4.0
Cuba,PWRCRUD007,2026,4.0
Cuba,PWRCRUD007,2027,4.0
Cuba,PWRCRUD007,2028,4.0
Cuba,PWRCRUD007,2029,4.0
Cuba,PWRCRUD007,2030,4.0
Cuba,PWRCRUD007,2031,4.0
