REGION,TECHNOLOGY,YEAR,value
Cuba,PWRBIO,2025,1.0
Cuba,PWRBIO,2026,1.0
Cuba,PWRBIO,2027,1.0
Cuba,PWRBIO,2028,1.0
Cuba,PWRBIO,2029,1.0
Cuba,PWRBIO,2030,1.0
Cuba,PWRBIO,2031,1.0
Cuba,PWRBIO,2032,1.0
Cuba,PWRBIO,2033,1.0
Cuba,PWRBIO,2034,1.0
Cuba,PWRBIO,2035,1.0
Cuba,PWRBIO,2036,1.0
Cuba,PWRBIO,2037,1.0
Cuba,PWRBIO,2038,1.0
Cuba,PWRBIO,2039,1.0
Cuba,PWRBIO,2040,1.0
Cuba,PWRBIO,2041,1.0
Cuba,PWRBIO,2042,1.0
Cuba,PWRBIO,2043,1.0
Cuba,PWRBIO,2044,1.0
Cuba,PWRBIO,2045,1.0
Cuba,PWRBIO,2046,1.0
Cuba,PWRBIO,2047,1.0
Cuba,PWRBIO,2048,1.0
Cuba,PWRBIO,2049,1.0
Cuba,PWRBIO,2050,1.0
Cuba,PWRWND001,2025,1.0
Cuba,PWRWND001,2026,1.0
Cuba,PWRWND001,2027,1.0
Cuba,PWRWND001,2028,1.0
Cuba,PWRWND001,2029,1.0
Cuba,PWRWND001,2030,1.0
Cuba,PWRWND001,2031,1.0
Cuba,PWRWND001,2032,1.0
Cuba,PWRWND001,2033,1.0
Cuba,PWRWND001,2034,1.0
Cuba,PWRWND001,2035,1.0
Cuba,PWRWND001,2036,1.0
Cuba,PWRWND001,2037,1.0
Cuba,PWRWND001,2038,1.0
Cuba,PWRWND001,2039,1.0
Cuba,PWRWND001,2040,1.0
Cuba,PWRWND001,2041,1.0
Cuba,PWRWND001,2042,1.0
Cuba,PWRWND001,2043,1.0
Cuba,PWRWND001,2044,1.0
Cuba,PWRWND001,2045,1.0
Cuba,PWRWND001,2046,1.0
Cuba,PWRWND001,2047,1.0
Cuba,PWRWND001,2048,1.0
Cuba,PWRWND001,2049,1.0
Cuba,PWRWND001,2050,1.0
Cuba,PWRPV01,2025,1.0
Cuba,PWRPV01,2026,1.0
Cuba,PWRPV01,2027,1.0
Cuba,PWRPV01,2028,1.0
Cuba,PWRPV01,2029,1.0
Cuba,PWRPV01,2030,1.0
Cuba,PWRPV01,2031,1.0
Cuba,PWRPV01,2032,1.0
Cuba,PWRPV01,2033,1.0
Cuba,PWRPV01,2034,1.0
Cuba,PWRPV01,2035,1.0
Cuba,PWRPV01,2036,1.0
Cuba,PWRPV01,2037,1.0
Cuba,PWRPV01,2038,1.0
Cuba,PWRPV01,2039,1.0
Cuba,PWRPV01,2040,1.0
Cuba,PWRPV01,2041,1.0
Cuba,PWRPV01,2042,1.0
Cuba,PWRPV01,2043,1.0
Cuba,PWRPV01,2044,1.0
Cuba,PWRPV01,2045,1.0
Cuba,PWRPV01,2046,1.0
Cuba,PWRPV01,2047,1.0
Cuba,PWRPV01,2048,1.0
Cuba,PWRPV01,2049,1.0
Cuba,PWRPV01,2050,1.0
Cuba,PWRHYD01,2025,1.0
Cuba,PWRHYD01,2026,1.0
Cuba,PWRHYD01,2027,1.0
Cuba,PWRHYD01,2028,1.0
Cuba,PWRHYD01,2029,1.0
Cuba,PWRHYD01,2030,1.0
Cuba,PWRHYD01,2031,1.0
Cuba,PWRHYD01,2032,1.0
Cuba,PWRHYD01,2033,1.0
Cuba,PWRHYD01,2034,1.0
Cuba,PWRHYD01,2035,1.0
Cuba,PWRHYD01,2036,1.0
Cuba,PWRHYD01,2037,1.0
Cuba,PWRHYD01,2038,1.0
Cuba,PWRHYD01,2039,1.0
Cuba,PWRHYD01,2040,1.0
Cuba,PWRHYD01,2041,1.0
Cuba,PWRHYD01,2042,1.0
Cuba,PWRHYD01,2043,1.0
Cuba,PWRHYD01,2044,1.0
Cuba,PWRHYD01,2045,1.0
Cuba,PWRHYD01,2046,1.0
Cuba,PWRHYD01,2047,1.0
Cuba,PWRHYD01,2048,1.0
Cuba,PWRHYD01,2049,1.0
Cuba,PWRHYD01,2050,1.0
