REGION,TECHNOLOGY,YEAR,value
Cuba,PWRCRUD008,2019,2000.0
Cuba,PWRCRUD008,2020,2000.0
Cuba,PWRCRUD008,2021,2000.0
Cuba,PWRCRUD008,2022,2000.0
Cuba,PWRCRUD008,2023,2000.0
Cuba,PWRCRUD008,2024,2000.0
Cuba,PWRCRUD008,2025,2000.0
Cuba,PWRCRUD008,2026,2000.0
Cuba,PWRCRUD008,2027,2000.0
Cuba,PWRCRUD008,2028,2000.0
Cuba,PWRCRUD008,2029,2000.0
Cuba,PWRCRUD008,2030,2000.0
Cuba,PWRCRUD008,2031,2000.0
Cuba,PWRCRUD008,2032,2000.0
Cuba,PWRCRUD008,2033,2000.0
Cuba,PWRCRUD008,2034,2000.0
Cuba,PWRCRUD008,2035,2000.0
Cuba,PWRCRUD008,2036,2000.0
Cuba,PWRCRUD008,2037,2000.0
Cuba,PWRCRUD008,2038,2000.0
Cuba,PWRCRUD008,2039,2000.0
Cuba,PWRCRUD008,2040,2000.0
Cuba,PWRCRUD008,2041,2000.0
Cuba,PWRCRUD008,2042,2000.0
Cuba,PWRCRUD008,2043,2000.0
Cuba,PWRCRUD008,2044,2000.0
Cuba,PWRCRUD008,2045,2000.0
Cuba,PWRCRUD008,2046,2000.0
Cuba,PWRCRUD008,2047,2000.0
Cuba,PWRCRUD008,2048,2000.0
Cuba,PWRCRUD008,2049,2000.0
Cuba,PWRCRUD008,2050,2000.0
Cuba,PWRNG01,2019,1600.0
Cuba,PWRNG01,2020,1600.0
Cuba,PWRNG01,2021,1600.0
Cuba,PWRNG01,2022,1600.0
Cuba,PWRNG01,2023,1600.0
Cuba,PWRNG01,2024,1600.0
Cuba,PWRNG01,2025,1600.0
Cuba,PWRNG01,2026,1600.0
Cuba,PWRNG01,2027,1600.0
Cuba,PWRNG01,2028,1600.0
Cuba,PWRNG01,2029,1600.0
Cuba,PWRNG01,2030,1600.0
Cuba,PWRNG01,2031,1600.0
Cuba,PWRNG01,2032,1600.0
Cuba,PWRNG01,2033,1600.0
Cuba,PWRNG01,2034,1600.0
Cuba,PWRNG01,2035,1600.0
Cuba,PWRNG01,2036,1600.0
Cuba,PWRNG01,2037,1600.0
Cuba,PWRNG01,2038,1600.0
Cuba,PWRNG01,2039,1600.0
Cuba,PWRNG01,2040,1600.0
Cuba,PWRNG01,2041,1600.0
Cuba,PWRNG01,2042,1600.0
Cuba,PWRNG01,2043,1600.0
Cuba,PWRNG01,2044,1600.0
Cuba,PWRNG01,2045,1600.0
Cuba,PWRNG01,2046,1600.0
Cuba,PWRNG01,2047,1600.0
Cuba,PWRNG01,2048,1600.0
Cuba,PWRNG01,2049,1600.0
Cuba,PWRNG01,2050,1600.0
Cuba,PWRNG02,2019,1600.0
Cuba,PWRNG02,2020,1600.0
Cuba,PWRNG02,2021,1600.0
Cuba,PWRNG02,2022,1600.0
Cuba,PWRNG02,2023,1600.0
Cuba,PWRNG02,2024,1600.0
Cuba,PWRNG02,2025,1600.0
Cuba,PWRNG02,2026,1600.0
Cuba,PWRNG02,2027,1600.0
Cuba,PWRNG02,2028,1600.0
Cuba,PWRNG02,2029,1600.0
Cuba,PWRNG02,2030,1600.0
Cuba,PWRNG02,2031,1600.0
Cuba,PWRNG02,2032,1600.0
Cuba,PWRNG02,2033,1600.0
Cuba,PWRNG02,2034,1600.0
Cuba,PWRNG02,2035,1600.0
Cuba,PWRNG02,2036,1600.0
Cuba,PWRNG02,2037,1600.0
Cuba,PWRNG02,2038,1600.0
Cuba,PWRNG02,2039,1600.0
Cuba,PWRNG02,2040,1600.0
Cuba,PWRNG02,2041,1600.0
Cuba,PWRNG02,2042,1600.0
Cuba,PWRNG02,2043,1600.0
Cuba,PWRNG02,2044,1600.0
Cuba,PWRNG02,2045,1600.0
Cuba,PWRNG02,2046,1600.0
Cuba,PWRNG02,2047,1600.0
Cuba,PWRNG02,2048,1600.0
Cuba,PWRNG02,2049,1600.0
Cuba,PWRNG02,2050,1600.0
Cuba,PWRBIO,2019,2700.0
Cuba,PWRBIO,2020,2700.0
Cuba,PWRBIO,2021,2700.0
Cuba,PWRBIO,2022,2700.0
Cuba,PWRBIO,2023,2700.0
Cuba,PWRBIO,2024,2700.0
Cuba,PWRBIO,2025,2700.0
Cuba,PWRBIO,2026,2700.0
Cuba,PWRBIO,2027,2700.0
Cuba,PWRBIO,2028,2700.0
Cuba,PWRBIO,2029,2700.0
Cuba,PWRBIO,2030,2700.0
Cuba,PWRBIO,2031,2700.0
Cuba,PWRBIO,2032,2700.0
Cuba,PWRBIO,2033,2700.0
Cuba,PWRBIO,2034,2700.0
Cuba,PWRBIO,2035,2700.0
Cuba,PWRBIO,2036,2700.0
Cuba,PWRBIO,2037,2700.0
Cuba,PWRBIO,2038,2700.0
Cuba,PWRBIO,2039,2700.0
Cuba,PWRBIO,2040,2700.0
Cuba,PWRBIO,2041,2700.0
Cuba,PWRBIO,2042,2700.0
Cuba,PWRBIO,2043,2700.0
Cuba,PWRBIO,2044,2700.0
Cuba,PWRBIO,2045,2700.0
Cuba,PWRBIO,2046,2700.0
Cuba,PWRBIO,2047,2700.0
Cuba,PWRBIO,2048,2700.0
Cuba,PWRBIO,2049,2700.0
Cuba,PWRBIO,2050,2700.0
Cuba,PWRWND001,2019,1588.0
Cuba,PWRWND001,2020,1581.0
