REGION,STORAGE,YEAR,value
Cuba,Batt01,2019,38.0
Cuba,Batt01,2020,38.0
Cuba,Batt01,2021,38.0
Cuba,Batt01,2022,38.0
Cuba,Batt01,2023,38.0
Cuba,Batt01,2024,38.0
Cuba,Batt01,2025,38.0
Cuba,Batt01,2026,38.0
Cuba,Batt01,2027,38.0
Cuba,Batt01,2028,38.0
Cuba,Batt01,2029,38.0
Cuba,Batt01,2030,38.0
Cuba,Batt01,2031,38.0
Cuba,Batt01,2032,38.0
Cuba,Batt01,2033,38.0
Cuba,Batt01,2034,38.0
Cuba,Batt01,2035,38.0
Cuba,Batt01,2036,38.0
Cuba,Batt01,2037,38.0
Cuba,Batt01,2038,38.0
Cuba,Batt01,2039,38.0
Cuba,Batt01,2040,38.0
Cuba,Batt01,2041,38.0
Cuba,Batt01,2042,38.0
Cuba,Batt01,2043,38.0
Cuba,Batt01,2044,38.0
Cuba,Batt01,2045,38.0
Cuba,Batt01,2046,38.0
Cuba,Batt01,2047,38.0
Cuba,Batt01,2048,38.0
Cuba,Batt01,2049,38.0
Cuba,Batt01,2050,38.0
