TIMESLICE,DAYTYPE,value
111,1,1.0
112,1,1.0
113,1,1.0
114,1,1.0
115,1,1.0
116,1,1.0
117,1,1.0
118,1,1.0
121,2,1.0
122,2,1.0
123,2,1.0
124,2,1.0
125,2,1.0
126,2,1.0
127,2,1.0
128,2,1.0
211,1,1.0
212,1,1.0
213,1,1.0
214,1,1.0
215,1,1.0
216,1,1.0
217,1,1.0
218,1,1.0
221,2,1.0
222,2,1.0
223,2,1.0
224,2,1.0
225,2,1.0
226,2,1.0
227,2,1.0
228,2,1.0
311,1,1.0
312,1,1.0
313,1,1.0
314,1,1.0
315,1,1.0
316,1,1.0
317,1,1.0
318,1,1.0
321,2,1.0
322,2,1.0
323,2,1.0
324,2,1.0
325,2,1.0
326,2,1.0
327,2,1.0
328,2,1.0
411,1,1.0
412,1,1.0
413,1,1.0
414,1,1.0
415,1,1.0
416,1,1.0
417,1,1.0
418,1,1.0
421,2,1.0
422,2,1.0
423,2,1.0
424,2,1.0
425,2,1.0
426,2,1.0
427,2,1.0
428,2,1.0
