REGION,FUEL,YEAR,value
Cuba,RESELEC,2025,1.0
Cuba,RESELEC,2026,1.0
Cuba,RESELEC,2027,1.0
Cuba,RESELEC,2028,1.0
Cuba,RESELEC,2029,1.0
Cuba,RESELEC,2030,1.0
Cuba,RESELEC,2031,1.0
Cuba,RESELEC,2032,1.0
Cuba,RESELEC,2033,1.0
Cuba,RESELEC,2034,1.0
Cuba,RESELEC,2035,1.0
Cuba,RESELEC,2036,1.0
Cuba,RESELEC,2037,1.0
Cuba,RESELEC,2038,1.0
Cuba,RESELEC,2039,1.0
Cuba,RESELEC,2040,1.0
Cuba,RESELEC,2041,1.0
Cuba,RESELEC,2042,1.0
Cuba,RESELEC,2043,1.0
Cuba,RESELEC,2044,1.0
Cuba,RESELEC,2045,1.0
Cuba,RESELEC,2046,1.0
Cuba,RESELEC,2047,1.0
Cuba,RESELEC,2048,1.0
Cuba,RESELEC,2049,1.0
Cuba,RESELEC,2050,1.0
