REGION,FUEL,TIMESLICE,YEAR,value
Cuba,RESELC,111,2019,0.032
Cuba,RESELC,111,2020,0.032
Cuba,RESELC,111,2021,0.032
Cuba,RESELC,111,2022,0.032
Cuba,RESELC,111,2023,0.032
Cuba,RESELC,111,2024,0.032
Cuba,RESELC,111,2025,0.032
Cuba,RESELC,111,2026,0.032
Cuba,RESELC,111,2027,0.032
Cuba,RESELC,111,2028,0.032
Cuba,RESELC,111,2029,0.032
Cuba,RESELC,111,2030,0.032
Cuba,RESELC,111,2031,0.032
Cuba,RESELC,111,2032,0.032
Cuba,RESELC,111,2033,0.032
Cuba,RESELC,111,2034,0.032
Cuba,RESELC,111,2035,0.032
Cuba,RESELC,111,2036,0.032
Cuba,RESELC,111,2037,0.032
Cuba,RESELC,111,2038,0.032
Cuba,RESELC,111,2039,0.032
Cuba,RESELC,111,2040,0.032
Cuba,RESELC,111,2041,0.032
Cuba,RESELC,111,2042,0.032
Cuba,RESELC,111,2043,0.032
Cuba,RESELC,111,2044,0.032
Cuba,RESELC,111,2045,0.032
Cuba,RESELC,111,2046,0.032
Cuba,RESELC,111,2047,0.032
Cuba,RESELC,111,2048,0.032
Cuba,RESELC,111,2049,0.032
Cuba,RESELC,111,2050,0.032
Cuba,RESELC,111,2051,0.032
Cuba,RESELC,111,2052,0.032
Cuba,RESELC,111,2053,0.032
Cuba,RESELC,111,2054,0.032
Cuba,RESELC,111,2055,0.032
Cuba,RESELC,112,2019,0.025
Cuba,RESELC,112,2020,0.025
Cuba,RESELC,112,2021,0.025
Cuba,RESELC,112,2022,0.025
Cuba,RESELC,112,2023,0.025
Cuba,RESELC,112,2024,0.025
Cuba,RESELC,112,2025,0.025
Cuba,RESELC,112,2026,0.025
Cuba,RESELC,112,2027,0.025
Cuba,RESELC,112,2028,0.025
Cuba,RESELC,112,2029,0.025
Cuba,RESELC,112,2030,0.025
Cuba,RESELC,112,2031,0.025
Cuba,RESELC,112,2032,0.025
Cuba,RESELC,112,2033,0.025
Cuba,RESELC,112,2034,0.025
Cuba,RESELC,112,2035,0.025
Cuba,RESELC,112,2036,0.025
Cuba,RESELC,112,2037,0.025
Cuba,RESELC,112,2038,0.025
Cuba,RESELC,112,2039,0.025
Cuba,RESELC,112,2040,0.025
Cuba,RESELC,112,2041,0.025
Cuba,RESELC,112,2042,0.025
Cuba,RESELC,112,2043,0.025
Cuba,RESELC,112,2044,0.025
Cuba,RESELC,112,2045,0.025
Cuba,RESELC,112,2046,0.025
Cuba,RESELC,112,2047,0.025
Cuba,RESELC,112,2048,0.025
Cuba,RESELC,112,2049,0.025
Cuba,RESELC,112,2050,0.025
Cuba,RESELC,112,2051,0.025
Cuba,RESELC,112,2052,0.025
Cuba,RESELC,112,2053,0.025
Cuba,RESELC,112,2054,0.025
Cuba,RESELC,112,2055,0.025
Cuba,RESELC,113,2019,0.012
Cuba,RESELC,113,2020,0.012
