REGION,TECHNOLOGY,TIMESLICE,YEAR,value
Cuba,PWRBIO02,311,2019,0.0
Cuba,PWRBIO02,311,2020,0.0
Cuba,PWRBIO02,311,2021,0.0
Cuba,PWRBIO02,311,2022,0.0
Cuba,PWRBIO02,311,2023,0.0
Cuba,PWRBIO02,311,2024,0.0
Cuba,PWRBIO02,311,2025,0.0
Cuba,PWRBIO02,311,2026,0.0
Cuba,PWRBIO02,311,2027,0.0
Cuba,PWRBIO02,311,2028,0.0
Cuba,PWRBIO02,311,2029,0.0
Cuba,PWRBIO02,311,2030,0.0
Cuba,PWRBIO02,311,2031,0.0
Cuba,PWRBIO02,311,2032,0.0
Cuba,PWRBIO02,311,2033,0.0
Cuba,PWRBIO02,311,2034,0.0
Cuba,PWRBIO02,311,2035,0.0
Cuba,PWRBIO02,311,2036,0.0
Cuba,PWRBIO02,311,2037,0.0
Cuba,PWRBIO02,311,2038,0.0
Cuba,PWRBIO02,311,2039,0.0
Cuba,PWRBIO02,311,2040,0.0
Cuba,PWRBIO02,311,2041,0.0
Cuba,PWRBIO02,311,2042,0.0
Cuba,PWRBIO02,311,2043,0.0
Cuba,PWRBIO02,311,2044,0.0
Cuba,PWRBIO02,311,2045,0.0
Cuba,PWRBIO02,311,2046,0.0
Cuba,PWRBIO02,311,2047,0.0
Cuba,PWRBIO02,311,2048,0.0
Cuba,PWRBIO02,311,2049,0.0
Cuba,PWRBIO02,311,2050,0.0
Cuba,PWRBIO02,311,2051,0.0
Cuba,PWRBIO02,311,2052,0.0
Cuba,PWRBIO02,311,2053,0.0
Cuba,PWRBIO02,311,2054,0.0
Cuba,PWRBIO02,311,2055,0.0
Cuba,PWRBIO02,312,2019,0.0
Cuba,PWRBIO02,312,2020,0.0
Cuba,PWRBIO02,312,2021,0.0
Cuba,PWRBIO02,312,2022,0.0
Cuba,PWRBIO02,312,2023,0.0
Cuba,PWRBIO02,312,2024,0.0
Cuba,PWRBIO02,312,2025,0.0
Cuba,PWRBIO02,312,2026,0.0
Cuba,PWRBIO02,312,2027,0.0
Cuba,PWRBIO02,312,2028,0.0
Cuba,PWRBIO02,312,2029,0.0
Cuba,PWRBIO02,312,2030,0.0
Cuba,PWRBIO02,312,2031,0.0
Cuba,PWRBIO02,312,2032,0.0
Cuba,PWRBIO02,312,2033,0.0
Cuba,PWRBIO02,312,2034,0.0
Cuba,PWRBIO02,312,2035,0.0
Cuba,PWRBIO02,312,2036,0.0
Cuba,PWRBIO02,312,2037,0.0
Cuba,PWRBIO02,312,2038,0.0
Cuba,PWRBIO02,312,2039,0.0
Cuba,PWRBIO02,312,2040,0.0
Cuba,PWRBIO02,312,2041,0.0
Cuba,PWRBIO02,312,2042,0.0
Cuba,PWRBIO02,312,2043,0.0
Cuba,PWRBIO02,312,2044,0.0
Cuba,PWRBIO02,312,2045,0.0
Cuba,PWRBIO02,312,2046,0.0
Cuba,PWRBIO02,312,2047,0.0
Cuba,PWRBIO02,312,2048,0.0
Cuba,PWRBIO02,312,2049,0.0
Cuba,PWRBIO02,312,2050,0.0
Cuba,PWRBIO02,312,2051,0.0
Cuba,PWRBIO02,312,2052,0.0
Cuba,PWRBIO02,312,2053,0.0
Cuba,PWRBIO02,312,2054,0.0
Cuba,PWRBIO02,312,2055,0.0
Cuba,PWRBIO02,313,2019,0.0
Cuba,PWRBIO02,313,2020,0.0
Cuba,PWRBIO02,313,2021,0.0
Cuba,PWRBIO02,313,2022,0.0
Cuba,PWRBIO02,313,2023,0.0
Cuba,PWRBIO02,313,2024,0.0
Cuba,PWRBIO02,313,2025,0.0
Cuba,PWRBIO02,313,2026,0.0
Cuba,PWRBIO02,313,2027,0.0
Cuba,PWRBIO02,313,2028,0.0
Cuba,PWRBIO02,313,2029,0.0
Cuba,PWRBIO02,313,2030,0.0
Cuba,PWRBIO02,313,2031,0.0
Cuba,PWRBIO02,313,2032,0.0
Cuba,PWRBIO02,313,2033,0.0
Cuba,PWRBIO02,313,2034,0.0
Cuba,PWRBIO02,313,2035,0.0
Cuba,PWRBIO02,313,2036,0.0
Cuba,PWRBIO02,313,2037,0.0
Cuba,PWRBIO02,313,2038,0.0
Cuba,PWRBIO02,313,2039,0.0
Cuba,PWRBIO02,313,2040,0.0
Cuba,PWRBIO02,313,2041,0.0
Cuba,PWRBIO02,313,2042,0.0
Cuba,PWRBIO02,313,2043,0.0
Cuba,PWRBIO02,313,2044,0.0
Cuba,PWRBIO02,313,2045,0.0
Cuba,PWRBIO02,313,2046,0.0
Cuba,PWRBIO02,313,2047,0.0
Cuba,PWRBIO02,313,2048,0.0
Cuba,PWRBIO02,313,2049,0.0
Cuba,PWRBIO02,313,2050,0.0
Cuba,PWRBIO02,313,2051,0.0
Cuba,PWRBIO02,313,2052,0.0
Cuba,PWRBIO02,313,2053,0.0
Cuba,PWRBIO02,313,2054,0.0
Cuba,PWRBIO02,313,2055,0.0
Cuba,PWRBIO02,314,2019,0.0
Cuba,PWRBIO02,314,2020,0.0
Cuba,PWRBIO02,314,2021,0.0
Cuba,PWRBIO02,314,2022,0.0
Cuba,PWRBIO02,314,2023,0.0
Cuba,PWRBIO02,314,2024,0.0
Cuba,PWRBIO02,314,2025,0.0
Cuba,PWRBIO02,314,2026,0.0
Cuba,PWRBIO02,314,2027,0.0
Cuba,PWRBIO02,314,2028,0.0
Cuba,PWRBIO02,314,2029,0.0
Cuba,PWRBIO02,314,2030,0.0
Cuba,PWRBIO02,314,2031,0.0
Cuba,PWRBIO02,314,2032,0.0
Cuba,PWRBIO02,314,2033,0.0
Cuba,PWRBIO02,314,2034,0.0
Cuba,PWRBIO02,314,2035,0.0
Cuba,PWRBIO02,314,2036,0.0
Cuba,PWRBIO02,314,2037,0.0
Cuba,PWRBIO02,314,2038,0.0
Cuba,PWRBIO02,314,2039,0.0
Cuba,PWRBIO02,314,2040,0.0
Cuba,PWRBIO02,314,2041,0.0
Cuba,PWRBIO02,314,2042,0.0
Cuba,PWRBIO02,314,2043,0.0
Cuba,PWRBIO02,314,2044,0.0
Cuba,PWRBIO02,314,2045,0.0
Cuba,PWRBIO02,314,2046,0.0
Cuba,PWRBIO02,314,2047,0.0
Cuba,PWRBIO02,314,2048,0.0
Cuba,PWRBIO02,314,2049,0.0
Cuba,PWRBIO02,314,2050,0.0
Cuba,PWRBIO02,314,2051,0.0
Cuba,PWRBIO02,314,2052,0.0
Cuba,PWRBIO02,314,2053,0.0
Cuba,PWRBIO02,314,2054,0.0
