REGION,TECHNOLOGY,YEAR,value
Cuba,PWRCRUD009,2019,2000.0
Cuba,PWRCRUD009,2020,2000.0
Cuba,PWRCRUD009,2021,2000.0
Cuba,PWRCRUD009,2022,2000.0
Cuba,PWRCRUD009,2023,2000.0
Cuba,PWRCRUD009,2024,2000.0
Cuba,PWRCRUD009,2025,2000.0
Cuba,PWRCRUD009,2026,2000.0
Cuba,PWRCRUD009,2027,2000.0
Cuba,PWRCRUD009,2028,2000.0
Cuba,PWRCRUD009,2029,2000.0
Cuba,PWRCRUD009,2030,2000.0
Cuba,PWRCRUD009,2031,2000.0
Cuba,PWRCRUD009,2032,2000.0
Cuba,PWRCRUD009,2033,2000.0
Cuba,PWRCRUD009,2034,2000.0
Cuba,PWRCRUD009,2035,2000.0
Cuba,PWRCRUD009,2036,2000.0
Cuba,PWRCRUD009,2037,2000.0
Cuba,PWRCRUD009,2038,2000.0
Cuba,PWRCRUD009,2039,2000.0
Cuba,PWRCRUD009,2040,2000.0
Cuba,PWRCRUD009,2041,2000.0
Cuba,PWRCRUD009,2042,2000.0
Cuba,PWRCRUD009,2043,2000.0
Cuba,PWRCRUD009,2044,2000.0
Cuba,PWRCRUD009,2045,2000.0
Cuba,PWRCRUD009,2046,2000.0
Cuba,PWRCRUD009,2047,2000.0
Cuba,PWRCRUD009,2048,2000.0
Cuba,PWRCRUD009,2049,2000.0
Cuba,PWRCRUD009,2050,2000.0
Cuba,PWRCRUD009,2051,2000.0
Cuba,PWRCRUD009,2052,2000.0
Cuba,PWRCRUD009,2053,2000.0
Cuba,PWRCRUD009,2054,2000.0
Cuba,PWRCRUD009,2055,2000.0
Cuba,PWRNG01,2019,1600.0
Cuba,PWRNG01,2020,1600.0
Cuba,PWRNG01,2021,1600.0
Cuba,PWRNG01,2022,1600.0
Cuba,PWRNG01,2023,1600.0
Cuba,PWRNG01,2024,1600.0
Cuba,PWRNG01,2025,1600.0
Cuba,PWRNG01,2026,1600.0
Cuba,PWRNG01,2027,1600.0
Cuba,PWRNG01,2028,1600.0
Cuba,PWRNG01,2029,1600.0
Cuba,PWRNG01,2030,1600.0
Cuba,PWRNG01,2031,1600.0
Cuba,PWRNG01,2032,1600.0
Cuba,PWRNG01,2033,1600.0
Cuba,PWRNG01,2034,1600.0
Cuba,PWRNG01,2035,1600.0
Cuba,PWRNG01,2036,1600.0
Cuba,PWRNG01,2037,1600.0
Cuba,PWRNG01,2038,1600.0
Cuba,PWRNG01,2039,1600.0
Cuba,PWRNG01,2040,1600.0
Cuba,PWRNG01,2041,1600.0
Cuba,PWRNG01,2042,1600.0
Cuba,PWRNG01,2043,1600.0
Cuba,PWRNG01,2044,1600.0
Cuba,PWRNG01,2045,1600.0
Cuba,PWRNG01,2046,1600.0
Cuba,PWRNG01,2047,1600.0
Cuba,PWRNG01,2048,1600.0
Cuba,PWRNG01,2049,1600.0
Cuba,PWRNG01,2050,1600.0
Cuba,PWRNG01,2051,1600.0
Cuba,PWRNG01,2052,1600.0
Cuba,PWRNG01,2053,1600.0
Cuba,PWRNG01,2054,1600.0
Cuba,PWRNG01,2055,1600.0
Cuba,PWRNG02,2019,1600.0
Cuba,PWRNG02,2020,1600.0
Cuba,PWRNG02,2021,1600.0
Cuba,PWRNG02,2022,1600.0
Cuba,PWRNG02,2023,1600.0
Cuba,PWRNG02,2024,1600.0
Cuba,PWRNG02,2025,1600.0
Cuba,PWRNG02,2026,1600.0
Cuba,PWRNG02,2027,1600.0
Cuba,PWRNG02,2028,1600.0
Cuba,PWRNG02,2029,1600.0
Cuba,PWRNG02,2030,1600.0
Cuba,PWRNG02,2031,1600.0
Cuba,PWRNG02,2032,1600.0
Cuba,PWRNG02,2033,1600.0
Cuba,PWRNG02,2034,1600.0
Cuba,PWRNG02,2035,1600.0
Cuba,PWRNG02,2036,1600.0
Cuba,PWRNG02,2037,1600.0
Cuba,PWRNG02,2038,1600.0
Cuba,PWRNG02,2039,1600.0
Cuba,PWRNG02,2040,1600.0
Cuba,PWRNG02,2041,1600.0
Cuba,PWRNG02,2042,1600.0
Cuba,PWRNG02,2043,1600.0
Cuba,PWRNG02,2044,1600.0
Cuba,PWRNG02,2045,1600.0
Cuba,PWRNG02,2046,1600.0
Cuba,PWRNG02,2047,1600.0
Cuba,PWRNG02,2048,1600.0
Cuba,PWRNG02,2049,1600.0
Cuba,PWRNG02,2050,1600.0
Cuba,PWRNG02,2051,1600.0
Cuba,PWRNG02,2052,1600.0
Cuba,PWRNG02,2053,1600.0
Cuba,PWRNG02,2054,1600.0
Cuba,PWRNG02,2055,1600.0
Cuba,PWRBIO01,2019,2700.0
Cuba,PWRBIO01,2020,2700.0
Cuba,PWRBIO01,2021,2700.0
Cuba,PWRBIO01,2022,2700.0
Cuba,PWRBIO01,2023,2700.0
Cuba,PWRBIO01,2024,2700.0
Cuba,PWRBIO01,2025,2700.0
Cuba,PWRBIO01,2026,2700.0
Cuba,PWRBIO01,2027,2700.0
Cuba,PWRBIO01,2028,2700.0
Cuba,PWRBIO01,2029,2700.0
Cuba,PWRBIO01,2030,2700.0
Cuba,PWRBIO01,2031,2700.0
Cuba,PWRBIO01,2032,2700.0
Cuba,PWRBIO01,2033,2700.0
Cuba,PWRBIO01,2034,2700.0
Cuba,PWRBIO01,2035,2700.0
Cuba,PWRBIO01,2036,2700.0
Cuba,PWRBIO01,2037,2700.0
Cuba,PWRBIO01,2038,2700.0
Cuba,PWRBIO01,2039,2700.0
Cuba,PWRBIO01,2040,2700.0
Cuba,PWRBIO01,2041,2700.0
Cuba,PWRBIO01,2042,2700.0
Cuba,PWRBIO01,2043,2700.0
Cuba,PWRBIO01,2044,2700.0
Cuba,PWRBIO01,2045,2700.0
Cuba,PWRBIO01,2046,2700.0
Cuba,PWRBIO01,2047,2700.0
Cuba,PWRBIO01,2048,2700.0
Cuba,PWRBIO01,2049,2700.0
Cuba,PWRBIO01,2050,2700.0
Cuba,PWRBIO01,2051,2700.0
Cuba,PWRBIO01,2052,2700.0
Cuba,PWRBIO01,2053,2700.0
Cuba,PWRBIO01,2054,2700.0
Cuba,PWRBIO01,2055,2700.0
Cuba,PWRBIO02,2019,2500.0
Cuba,PWRBIO02,2020,2500.0
Cuba,PWRBIO02,2021,2500.0
Cuba,PWRBIO02,2022,2500.0
Cuba,PWRBIO02,2023,2500.0
Cuba,PWRBIO02,2024,2500.0
Cuba,PWRBIO02,2025,2500.0
Cuba,PWRBIO02,2026,2500.0
Cuba,PWRBIO02,2027,2500.0
Cuba,PWRBIO02,2028,2500.0
Cuba,PWRBIO02,2029,2500.0
Cuba,PWRBIO02,2030,2500.0
Cuba,PWRBIO02,2031,2500.0
Cuba,PWRBIO02,2032,2500.0
Cuba,PWRBIO02,2033,2500.0
Cuba,PWRBIO02,2034,2500.0
Cuba,PWRBIO02,2035,2500.0
Cuba,PWRBIO02,2036,2500.0
Cuba,PWRBIO02,2037,2500.0
Cuba,PWRBIO02,2038,2500.0
Cuba,PWRBIO02,2039,2500.0
Cuba,PWRBIO02,2040,2500.0
Cuba,PWRBIO02,2041,2500.0
Cuba,PWRBIO02,2042,2500.0
Cuba,PWRBIO02,2043,2500.0
Cuba,PWRBIO02,2044,2500.0
Cuba,PWRBIO02,2045,2500.0
Cuba,PWRBIO02,2046,2500.0
Cuba,PWRBIO02,2047,2500.0
Cuba,PWRBIO02,2048,2500.0
Cuba,PWRBIO02,2049,2500.0
Cuba,PWRBIO02,2050,2500.0
Cuba,PWRBIO02,2051,2500.0
Cuba,PWRBIO02,2052,2500.0
Cuba,PWRBIO02,2053,2500.0
Cuba,PWRBIO02,2054,2500.0
