REGION,TECHNOLOGY,YEAR,value
Cuba,PWRCRUD001,2028,0.4
Cuba,PWRCRUD001,2029,0.4
Cuba,PWRCRUD001,2030,0.4
Cuba,PWRCRUD001,2031,0.4
Cuba,PWRCRUD001,2032,0.4
Cuba,PWRCRUD001,2033,0.4
Cuba,PWRCRUD001,2034,0.4
Cuba,PWRCRUD001,2035,0.4
Cuba,PWRCRUD001,2036,0.4
Cuba,PWRCRUD001,2037,0.4
Cuba,PWRCRUD001,2038,0.4
Cuba,PWRCRUD001,2039,0.4
Cuba,PWRCRUD001,2040,0.4
Cuba,PWRCRUD001,2041,0.4
Cuba,PWRCRUD001,2042,0.4
Cuba,PWRCRUD001,2043,0.4
Cuba,PWRCRUD001,2044,0.4
Cuba,PWRCRUD001,2045,0.4
Cuba,PWRCRUD001,2046,0.4
Cuba,PWRCRUD001,2047,0.4
Cuba,PWRCRUD001,2048,0.4
Cuba,PWRCRUD001,2049,0.4
Cuba,PWRCRUD001,2050,0.4
Cuba,PWRCRUD001,2051,0.4
Cuba,PWRCRUD001,2052,0.4
Cuba,PWRCRUD001,2053,0.4
Cuba,PWRCRUD001,2054,0.4
Cuba,PWRCRUD001,2055,0.4
Cuba,PWRCRUD002,2028,0.4
Cuba,PWRCRUD002,2029,0.4
Cuba,PWRCRUD002,2030,0.4
Cuba,PWRCRUD002,2031,0.4
Cuba,PWRCRUD002,2032,0.4
Cuba,PWRCRUD002,2033,0.4
Cuba,PWRCRUD002,2034,0.4
Cuba,PWRCRUD002,2035,0.4
Cuba,PWRCRUD002,2036,0.4
Cuba,PWRCRUD002,2037,0.4
Cuba,PWRCRUD002,2038,0.4
Cuba,PWRCRUD002,2039,0.4
Cuba,PWRCRUD002,2040,0.4
Cuba,PWRCRUD002,2041,0.4
Cuba,PWRCRUD002,2042,0.4
Cuba,PWRCRUD002,2043,0.4
Cuba,PWRCRUD002,2044,0.4
Cuba,PWRCRUD002,2045,0.4
Cuba,PWRCRUD002,2046,0.4
Cuba,PWRCRUD002,2047,0.4
Cuba,PWRCRUD002,2048,0.4
Cuba,PWRCRUD002,2049,0.4
Cuba,PWRCRUD002,2050,0.4
Cuba,PWRCRUD002,2051,0.4
Cuba,PWRCRUD002,2052,0.4
Cuba,PWRCRUD002,2053,0.4
Cuba,PWRCRUD002,2054,0.4
Cuba,PWRCRUD002,2055,0.4
Cuba,PWRCRUD003,2028,0.4
Cuba,PWRCRUD003,2029,0.4
Cuba,PWRCRUD003,2030,0.4
Cuba,PWRCRUD003,2031,0.4
Cuba,PWRCRUD003,2032,0.4
Cuba,PWRCRUD003,2033,0.4
Cuba,PWRCRUD003,2034,0.4
Cuba,PWRCRUD003,2035,0.4
Cuba,PWRCRUD003,2036,0.4
Cuba,PWRCRUD003,2037,0.4
Cuba,PWRCRUD003,2038,0.4
Cuba,PWRCRUD003,2039,0.4
Cuba,PWRCRUD003,2040,0.4
Cuba,PWRCRUD003,2041,0.4
Cuba,PWRCRUD003,2042,0.4
Cuba,PWRCRUD003,2043,0.4
Cuba,PWRCRUD003,2044,0.4
Cuba,PWRCRUD003,2045,0.4
Cuba,PWRCRUD003,2046,0.4
Cuba,PWRCRUD003,2047,0.4
Cuba,PWRCRUD003,2048,0.4
Cuba,PWRCRUD003,2049,0.4
Cuba,PWRCRUD003,2050,0.4
Cuba,PWRCRUD003,2051,0.4
Cuba,PWRCRUD003,2052,0.4
Cuba,PWRCRUD003,2053,0.4
Cuba,PWRCRUD003,2054,0.4
Cuba,PWRCRUD003,2055,0.4
Cuba,PWRCRUD004,2028,0.4
Cuba,PWRCRUD004,2029,0.4
Cuba,PWRCRUD004,2030,0.4
Cuba,PWRCRUD004,2031,0.4
Cuba,PWRCRUD004,2032,0.4
Cuba,PWRCRUD004,2033,0.4
Cuba,PWRCRUD004,2034,0.4
Cuba,PWRCRUD004,2035,0.4
Cuba,PWRCRUD004,2036,0.4
Cuba,PWRCRUD004,2037,0.4
Cuba,PWRCRUD004,2038,0.4
Cuba,PWRCRUD004,2039,0.4
Cuba,PWRCRUD004,2040,0.4
Cuba,PWRCRUD004,2041,0.4
Cuba,PWRCRUD004,2042,0.4
Cuba,PWRCRUD004,2043,0.4
Cuba,PWRCRUD004,2044,0.4
Cuba,PWRCRUD004,2045,0.4
Cuba,PWRCRUD004,2046,0.4
Cuba,PWRCRUD004,2047,0.4
Cuba,PWRCRUD004,2048,0.4
Cuba,PWRCRUD004,2049,0.4
Cuba,PWRCRUD004,2050,0.4
Cuba,PWRCRUD004,2051,0.4
Cuba,PWRCRUD004,2052,0.4
Cuba,PWRCRUD004,2053,0.4
Cuba,PWRCRUD004,2054,0.4
Cuba,PWRCRUD004,2055,0.4
Cuba,PWRCRUD008,2028,0.4
Cuba,PWRCRUD008,2029,0.4
Cuba,PWRCRUD008,2030,0.4
Cuba,PWRCRUD008,2031,0.4
Cuba,PWRCRUD008,2032,0.4
Cuba,PWRCRUD008,2033,0.4
Cuba,PWRCRUD008,2034,0.4
Cuba,PWRCRUD008,2035,0.4
Cuba,PWRCRUD008,2036,0.4
Cuba,PWRCRUD008,2037,0.4
Cuba,PWRCRUD008,2038,0.4
Cuba,PWRCRUD008,2039,0.4
Cuba,PWRCRUD008,2040,0.4
Cuba,PWRCRUD008,2041,0.4
Cuba,PWRCRUD008,2042,0.4
Cuba,PWRCRUD008,2043,0.4
Cuba,PWRCRUD008,2044,0.4
Cuba,PWRCRUD008,2045,0.4
Cuba,PWRCRUD008,2046,0.4
Cuba,PWRCRUD008,2047,0.4
Cuba,PWRCRUD008,2048,0.4
Cuba,PWRCRUD008,2049,0.4
Cuba,PWRCRUD008,2050,0.4
Cuba,PWRCRUD008,2051,0.4
Cuba,PWRCRUD008,2052,0.4
Cuba,PWRCRUD008,2053,0.4
Cuba,PWRCRUD008,2054,0.4
Cuba,PWRCRUD008,2055,0.4
Cuba,PWRCRUD005,2028,0.4
Cuba,PWRCRUD005,2029,0.4
Cuba,PWRCRUD005,2030,0.4
Cuba,PWRCRUD005,2031,0.4
Cuba,PWRCRUD005,2032,0.4
Cuba,PWRCRUD005,2033,0.4
Cuba,PWRCRUD005,2034,0.4
Cuba,PWRCRUD005,2035,0.4
Cuba,PWRCRUD005,2036,0.4
Cuba,PWRCRUD005,2037,0.4
Cuba,PWRCRUD005,2038,0.4
Cuba,PWRCRUD005,2039,0.4
Cuba,PWRCRUD005,2040,0.4
Cuba,PWRCRUD005,2041,0.4
Cuba,PWRCRUD005,2042,0.4
Cuba,PWRCRUD005,2043,0.4
Cuba,PWRCRUD005,2044,0.4
Cuba,PWRCRUD005,2045,0.4
Cuba,PWRCRUD005,2046,0.4
Cuba,PWRCRUD005,2047,0.4
Cuba,PWRCRUD005,2048,0.4
Cuba,PWRCRUD005,2049,0.4
Cuba,PWRCRUD005,2050,0.4
Cuba,PWRCRUD005,2051,0.4
Cuba,PWRCRUD005,2052,0.4
Cuba,PWRCRUD005,2053,0.4
Cuba,PWRCRUD005,2054,0.4
Cuba,PWRCRUD005,2055,0.4
Cuba,PWRCRUD006,2028,0.4
Cuba,PWRCRUD006,2029,0.4
Cuba,PWRCRUD006,2030,0.4
Cuba,PWRCRUD006,2031,0.4
Cuba,PWRCRUD006,2032,0.4
Cuba,PWRCRUD006,2033,0.4
Cuba,PWRCRUD006,2034,0.4
Cuba,PWRCRUD006,2035,0.4
Cuba,PWRCRUD006,2036,0.4
Cuba,PWRCRUD006,2037,0.4
Cuba,PWRCRUD006,2038,0.4
Cuba,PWRCRUD006,2039,0.4
Cuba,PWRCRUD006,2040,0.4
Cuba,PWRCRUD006,2041,0.4
Cuba,PWRCRUD006,2042,0.4
Cuba,PWRCRUD006,2043,0.4
Cuba,PWRCRUD006,2044,0.4
Cuba,PWRCRUD006,2045,0.4
Cuba,PWRCRUD006,2046,0.4
Cuba,PWRCRUD006,2047,0.4
Cuba,PWRCRUD006,2048,0.4
Cuba,PWRCRUD006,2049,0.4
Cuba,PWRCRUD006,2050,0.4
Cuba,PWRCRUD006,2051,0.4
Cuba,PWRCRUD006,2052,0.4
Cuba,PWRCRUD006,2053,0.4
Cuba,PWRCRUD006,2054,0.4
Cuba,PWRCRUD006,2055,0.4
Cuba,PWRCRUD007,2028,0.4
Cuba,PWRCRUD007,2029,0.4
Cuba,PWRCRUD007,2030,0.4
Cuba,PWRCRUD007,2031,0.4
Cuba,PWRCRUD007,2032,0.4
Cuba,PWRCRUD007,2033,0.4
Cuba,PWRCRUD007,2034,0.4
Cuba,PWRCRUD007,2035,0.4
Cuba,PWRCRUD007,2036,0.4
Cuba,PWRCRUD007,2037,0.4
Cuba,PWRCRUD007,2038,0.4
Cuba,PWRCRUD007,2039,0.4
Cuba,PWRCRUD007,2040,0.4
Cuba,PWRCRUD007,2041,0.4
Cuba,PWRCRUD007,2042,0.4
Cuba,PWRCRUD007,2043,0.4
Cuba,PWRCRUD007,2044,0.4
Cuba,PWRCRUD007,2045,0.4
Cuba,PWRCRUD007,2046,0.4
Cuba,PWRCRUD007,2047,0.4
Cuba,PWRCRUD007,2048,0.4
Cuba,PWRCRUD007,2049,0.4
Cuba,PWRCRUD007,2050,0.4
Cuba,PWRCRUD007,2051,0.4
Cuba,PWRCRUD007,2052,0.4
Cuba,PWRCRUD007,2053,0.4
Cuba,PWRCRUD007,2054,0.4
Cuba,PWRCRUD007,2055,0.4
Cuba,PWRCRUD009,2028,0.4
Cuba,PWRCRUD009,2029,0.4
Cuba,PWRCRUD009,2030,0.4
Cuba,PWRCRUD009,2031,0.4
