REGION,TECHNOLOGY,YEAR,value
Cuba,PWRNG01,2019,0.33
Cuba,PWRNG01,2020,0.33
Cuba,PWRNG01,2021,0.33
Cuba,PWRNG01,2022,0.33
Cuba,PWRNG01,2023,0.33
Cuba,PWRNG01,2024,0.33
Cuba,PWRNG01,2025,0.33
Cuba,PWRNG01,2026,0.33
Cuba,PWRNG01,2027,0.33
Cuba,PWRNG01,2028,0.33
Cuba,PWRNG01,2029,0.33
Cuba,PWRNG01,2030,0.33
Cuba,PWRNG01,2031,0.33
Cuba,PWRNG01,2032,0.33
Cuba,PWRNG01,2033,0.33
Cuba,PWRNG01,2034,0.33
Cuba,PWRNG01,2035,0.33
Cuba,PWRNG01,2036,0.33
Cuba,PWRNG01,2037,0.33
Cuba,PWRNG01,2038,0.33
Cuba,PWRNG01,2039,0.33
Cuba,PWRNG01,2040,0.33
Cuba,PWRNG02,2019,0.15
Cuba,PWRNG02,2020,0.15
Cuba,PWRNG02,2021,0.15
Cuba,PWRNG02,2022,0.15
Cuba,PWRNG02,2023,0.15
Cuba,PWRNG02,2024,0.15
Cuba,PWRNG02,2025,0.15
Cuba,PWRNG02,2026,0.15
Cuba,PWRNG02,2027,0.15
Cuba,PWRNG02,2028,0.15
Cuba,PWRNG02,2029,0.15
Cuba,PWRNG02,2030,0.15
Cuba,PWRNG02,2031,0.15
Cuba,PWRNG02,2032,0.15
Cuba,PWRNG02,2033,0.15
Cuba,PWRNG02,2034,0.15
Cuba,PWRNG02,2035,0.15
Cuba,PWRNG02,2036,0.15
Cuba,PWRNG02,2037,0.15
Cuba,PWRNG02,2038,0.15
Cuba,PWRNG02,2039,0.15
Cuba,PWRNG02,2040,0.15
Cuba,PWRGHFO2,2019,0.144
Cuba,PWRGHFO2,2020,0.184
Cuba,PWRGHFO2,2021,0.3
Cuba,PWRGHFO2,2022,0.6
Cuba,PWRGHFO2,2023,0.87
Cuba,PWRGHFO2,2024,0.3
Cuba,PWRGHFO2,2025,0.07
Cuba,PWRBIO01,2019,0.06
Cuba,PWRBIO01,2020,0.06
Cuba,PWRBIO01,2021,0.06
Cuba,PWRBIO01,2022,0.06
Cuba,PWRBIO01,2023,0.06
Cuba,PWRBIO01,2024,0.06
Cuba,PWRBIO01,2025,0.06
Cuba,PWRBIO01,2026,0.06
Cuba,PWRBIO01,2027,0.06
Cuba,PWRBIO01,2028,0.06
Cuba,PWRBIO01,2029,0.06
Cuba,PWRBIO01,2030,0.06
Cuba,PWRBIO01,2031,0.06
Cuba,PWRBIO01,2032,0.06
Cuba,PWRBIO01,2033,0.06
Cuba,PWRBIO01,2034,0.06
Cuba,PWRBIO01,2035,0.06
Cuba,PWRBIO01,2036,0.06
Cuba,PWRBIO01,2037,0.06
Cuba,PWRBIO01,2038,0.06
Cuba,PWRBIO01,2039,0.06
Cuba,PWRBIO01,2040,0.06
Cuba,PWRBIO01,2041,0.06
Cuba,PWRBIO01,2042,0.06
Cuba,PWRBIO01,2043,0.06
Cuba,PWRBIO01,2044,0.06
Cuba,PWRBIO01,2045,0.06
Cuba,PWRBIO01,2046,0.06
Cuba,PWRBIO01,2047,0.06
Cuba,PWRBIO01,2048,0.06
Cuba,PWRBIO01,2049,0.06
Cuba,PWRBIO01,2050,0.06
Cuba,PWRBIO02,2019,0.4
Cuba,PWRBIO02,2020,0.4
Cuba,PWRBIO02,2021,0.4
Cuba,PWRBIO02,2022,0.4
Cuba,PWRBIO02,2023,0.4
Cuba,PWRBIO02,2024,0.4
Cuba,PWRBIO02,2025,0.4
Cuba,PWRBIO02,2026,0.4
Cuba,PWRBIO02,2027,0.4
Cuba,PWRBIO02,2028,0.4
Cuba,PWRBIO02,2029,0.4
Cuba,PWRBIO02,2030,0.4
Cuba,PWRWND001,2019,0.011
Cuba,PWRWND001,2020,0.011
Cuba,PWRWND001,2021,0.011
