REGION,STORAGE,YEAR,value
Cuba,Batt01,2026,41670.0
Cuba,Batt01,2027,41191.0
Cuba,Batt01,2028,40712.0
Cuba,Batt01,2029,40233.0
Cuba,Batt01,2030,39754.0
Cuba,Batt01,2031,39275.0
Cuba,Batt01,2032,38796.0
Cuba,Batt01,2033,38317.0
Cuba,Batt01,2034,37838.0
Cuba,Batt01,2035,37359.0
Cuba,Batt01,2036,36880.0
Cuba,Batt01,2037,36401.0
Cuba,Batt01,2038,35922.0
Cuba,Batt01,2039,35443.0
Cuba,Batt01,2040,34964.0
Cuba,Batt01,2041,34486.0
Cuba,Batt01,2042,34007.0
Cuba,Batt01,2043,33528.0
Cuba,Batt01,2044,33049.0
Cuba,Batt01,2045,32570.0
Cuba,Batt01,2046,32091.0
Cuba,Batt01,2047,31612.0
Cuba,Batt01,2048,31133.0
Cuba,Batt01,2049,30654.0
Cuba,Batt01,2050,30175.0
Cuba,Batt01,2051,29696.0
Cuba,Batt01,2052,29217.0
Cuba,Batt01,2053,28738.0
Cuba,Batt01,2054,28259.0
Cuba,Batt01,2055,27780.0
