REGION,TECHNOLOGY,YEAR,value
Cuba,IMPCRUDE,2019,26.0
Cuba,IMPCRUDE,2020,26.464
Cuba,IMPCRUDE,2021,22.364
Cuba,IMPCRUDE,2022,22.364
Cuba,IMPCRUDE,2023,22.364
Cuba,IMPCRUDE,2024,22.364
Cuba,IMPCRUDE,2025,30.0
Cuba,IMPCRUDE,2026,30.0
Cuba,IMPCRUDE,2027,30.0
Cuba,IMPCRUDE,2028,30.0
Cuba,IMPCRUDE,2029,30.0
Cuba,IMPCRUDE,2030,30.0
Cuba,IMPCRUDE,2031,30.0
Cuba,IMPCRUDE,2032,30.0
Cuba,IMPCRUDE,2033,30.0
Cuba,IMPCRUDE,2034,30.0
Cuba,IMPCRUDE,2035,30.0
Cuba,IMPCRUDE,2036,30.0
Cuba,IMPCRUDE,2037,30.0
Cuba,IMPCRUDE,2038,30.0
Cuba,IMPCRUDE,2039,30.0
Cuba,IMPCRUDE,2040,30.0
Cuba,IMPCRUDE,2041,30.0
Cuba,IMPCRUDE,2042,30.0
Cuba,IMPCRUDE,2043,30.0
Cuba,IMPCRUDE,2044,30.0
Cuba,IMPCRUDE,2045,30.0
Cuba,IMPCRUDE,2046,30.0
Cuba,IMPCRUDE,2047,30.0
Cuba,IMPCRUDE,2048,30.0
Cuba,IMPCRUDE,2049,30.0
Cuba,IMPCRUDE,2050,30.0
Cuba,IMPCRUDE,2051,30.0
Cuba,IMPCRUDE,2052,30.0
Cuba,IMPCRUDE,2053,30.0
Cuba,IMPCRUDE,2054,30.0
Cuba,IMPCRUDE,2055,30.0
Cuba,MINCRUDE,2019,87.0
Cuba,MINCRUDE,2020,91.0
Cuba,MINCRUDE,2021,85.4
Cuba,MINCRUDE,2022,87.3
Cuba,MINCRUDE,2023,68.5
Cuba,MINCRUDE,2024,84.0
Cuba,MINCRUDE,2025,91.0
Cuba,MINCRUDE,2026,91.0
Cuba,MINCRUDE,2027,91.0
Cuba,MINCRUDE,2028,91.0
Cuba,MINCRUDE,2029,91.0
Cuba,MINCRUDE,2030,91.0
Cuba,MINCRUDE,2031,91.0
Cuba,MINCRUDE,2032,91.0
Cuba,MINCRUDE,2033,91.0
Cuba,MINCRUDE,2034,91.0
Cuba,MINCRUDE,2035,91.0
Cuba,MINCRUDE,2036,91.0
Cuba,MINCRUDE,2037,91.0
Cuba,MINCRUDE,2038,91.0
Cuba,MINCRUDE,2039,91.0
Cuba,MINCRUDE,2040,91.0
Cuba,MINCRUDE,2041,91.0
Cuba,MINCRUDE,2042,91.0
Cuba,MINCRUDE,2043,91.0
Cuba,MINCRUDE,2044,91.0
Cuba,MINCRUDE,2045,91.0
Cuba,MINCRUDE,2046,91.0
Cuba,MINCRUDE,2047,91.0
Cuba,MINCRUDE,2048,91.0
Cuba,MINCRUDE,2049,91.0
Cuba,MINCRUDE,2050,91.0
Cuba,MINCRUDE,2051,91.0
Cuba,MINCRUDE,2052,91.0
Cuba,MINCRUDE,2053,91.0
Cuba,MINCRUDE,2054,91.0
Cuba,MINCRUDE,2055,91.0
Cuba,IMPHFO01,2019,0.0
Cuba,IMPHFO01,2020,0.0
Cuba,IMPHFO01,2021,0.0
Cuba,IMPHFO01,2022,0.0
Cuba,IMPHFO01,2023,0.0
Cuba,IMPHFO01,2024,0.0
Cuba,IMPHFO01,2025,0.0
Cuba,IMPHFO01,2026,0.0
Cuba,IMPHFO01,2027,0.0
Cuba,IMPHFO01,2028,0.0
Cuba,IMPHFO01,2029,0.0
Cuba,IMPHFO01,2030,0.0
Cuba,IMPHFO01,2031,0.0
Cuba,IMPHFO01,2032,0.0
Cuba,IMPHFO01,2033,0.0
Cuba,IMPHFO01,2034,0.0
Cuba,IMPHFO01,2035,0.0
Cuba,IMPHFO01,2036,0.0
Cuba,IMPHFO01,2037,0.0
Cuba,IMPHFO01,2038,0.0
Cuba,IMPHFO01,2039,0.0
Cuba,IMPHFO01,2040,0.0
Cuba,IMPHFO01,2041,0.0
Cuba,IMPHFO01,2042,0.0
Cuba,IMPHFO01,2043,0.0
Cuba,IMPHFO01,2044,0.0
Cuba,IMPHFO01,2045,0.0
Cuba,IMPHFO01,2046,0.0
Cuba,IMPHFO01,2047,0.0
Cuba,IMPHFO01,2048,0.0
Cuba,IMPHFO01,2049,0.0
Cuba,IMPHFO01,2050,0.0
Cuba,IMPHFO01,2051,0.0
Cuba,IMPHFO01,2052,0.0
Cuba,IMPHFO01,2053,0.0
Cuba,IMPHFO01,2054,0.0
Cuba,IMPHFO01,2055,0.0
Cuba,IMPLFO,2019,56.2
Cuba,IMPLFO,2020,48.6
Cuba,IMPLFO,2021,38.0
Cuba,IMPLFO,2022,15.0
Cuba,IMPLFO,2023,13.0
Cuba,IMPLFO,2024,10.0
Cuba,IMPLFO,2025,10.0
Cuba,IMPLFO,2026,10.0
Cuba,IMPLFO,2027,10.0
Cuba,IMPLFO,2028,20.0
Cuba,IMPLFO,2029,30.0
Cuba,IMPLFO,2030,40.0
Cuba,IMPLFO,2031,56.2
Cuba,IMPLFO,2032,56.2
Cuba,IMPLFO,2033,56.2
Cuba,IMPLFO,2034,56.2
Cuba,IMPLFO,2035,56.2
Cuba,IMPLFO,2036,56.2
Cuba,IMPLFO,2037,56.2
Cuba,IMPLFO,2038,56.2
Cuba,IMPLFO,2039,56.2
Cuba,IMPLFO,2040,56.2
Cuba,IMPLFO,2041,56.2
Cuba,IMPLFO,2042,56.2
Cuba,IMPLFO,2043,56.2
Cuba,IMPLFO,2044,56.2
Cuba,IMPLFO,2045,56.2
Cuba,IMPLFO,2046,56.2
Cuba,IMPLFO,2047,56.2
Cuba,IMPLFO,2048,56.2
Cuba,IMPLFO,2049,56.2
Cuba,IMPLFO,2050,56.2
Cuba,IMPLFO,2051,56.2
Cuba,IMPLFO,2052,56.2
Cuba,IMPLFO,2053,56.2
Cuba,IMPLFO,2054,56.2
Cuba,IMPLFO,2055,56.2
Cuba,MINDIESEL,2019,28.0
Cuba,MINDIESEL,2020,19.0
Cuba,MINDIESEL,2021,13.0
Cuba,MINDIESEL,2022,13.0
Cuba,MINDIESEL,2023,11.0
Cuba,MINDIESEL,2024,9.0
Cuba,MINDIESEL,2025,9.0
Cuba,MINDIESEL,2026,9.0
Cuba,MINDIESEL,2027,9.0
Cuba,MINDIESEL,2028,18.0
Cuba,MINDIESEL,2029,25.0
Cuba,MINDIESEL,2030,28.0
Cuba,MINDIESEL,2031,28.0
Cuba,MINDIESEL,2032,28.0
Cuba,MINDIESEL,2033,28.0
Cuba,MINDIESEL,2034,28.0
Cuba,MINDIESEL,2035,28.0
Cuba,MINDIESEL,2036,28.0
Cuba,MINDIESEL,2037,28.0
Cuba,MINDIESEL,2038,28.0
Cuba,MINDIESEL,2039,28.0
Cuba,MINDIESEL,2040,28.0
Cuba,MINDIESEL,2041,28.0
Cuba,MINDIESEL,2042,28.0
Cuba,MINDIESEL,2043,28.0
Cuba,MINDIESEL,2044,28.0
Cuba,MINDIESEL,2045,28.0
Cuba,MINDIESEL,2046,28.0
Cuba,MINDIESEL,2047,28.0
Cuba,MINDIESEL,2048,28.0
Cuba,MINDIESEL,2049,28.0
Cuba,MINDIESEL,2050,28.0
Cuba,MINDIESEL,2051,28.0
Cuba,MINDIESEL,2052,28.0
Cuba,MINDIESEL,2053,28.0
Cuba,MINDIESEL,2054,28.0
Cuba,MINDIESEL,2055,28.0
Cuba,IMPDIESEL,2019,0.0
Cuba,IMPDIESEL,2020,0.0
Cuba,IMPDIESEL,2021,0.0
Cuba,IMPDIESEL,2022,0.0
Cuba,IMPDIESEL,2023,0.0
Cuba,IMPDIESEL,2024,0.0
Cuba,IMPDIESEL,2025,0.0
Cuba,IMPDIESEL,2026,0.0
Cuba,IMPDIESEL,2027,0.0
Cuba,IMPDIESEL,2028,0.0
Cuba,IMPDIESEL,2029,0.0
Cuba,IMPDIESEL,2030,0.0
Cuba,IMPDIESEL,2031,0.0
Cuba,IMPDIESEL,2032,0.0
Cuba,IMPDIESEL,2033,0.0
Cuba,IMPDIESEL,2034,0.0
Cuba,IMPDIESEL,2035,0.0
Cuba,IMPDIESEL,2036,0.0
Cuba,IMPDIESEL,2037,0.0
Cuba,IMPDIESEL,2038,0.0
Cuba,IMPDIESEL,2039,0.0
Cuba,IMPDIESEL,2040,0.0
Cuba,IMPDIESEL,2041,0.0
Cuba,IMPDIESEL,2042,0.0
Cuba,IMPDIESEL,2043,0.0
Cuba,IMPDIESEL,2044,0.0
Cuba,IMPDIESEL,2045,0.0
Cuba,IMPDIESEL,2046,0.0
Cuba,IMPDIESEL,2047,0.0
Cuba,IMPDIESEL,2048,0.0
Cuba,IMPDIESEL,2049,0.0
Cuba,IMPDIESEL,2050,0.0
Cuba,IMPDIESEL,2051,0.0
Cuba,IMPDIESEL,2052,0.0
Cuba,IMPDIESEL,2053,0.0
Cuba,IMPDIESEL,2054,0.0
Cuba,IMPDIESEL,2055,0.0
Cuba,MINNG,2019,17.672
Cuba,MINNG,2020,17.672
Cuba,MINNG,2021,17.672
Cuba,MINNG,2022,17.672
Cuba,MINNG,2023,17.672
Cuba,MINNG,2024,17.672
Cuba,MINNG,2025,17.672
Cuba,MINNG,2026,17.672
Cuba,MINNG,2027,17.672
Cuba,MINNG,2028,17.672
Cuba,MINNG,2029,17.672
Cuba,MINNG,2030,17.672
Cuba,MINNG,2031,17.672
Cuba,MINNG,2032,17.672
Cuba,MINNG,2033,17.672
Cuba,MINNG,2034,17.672
Cuba,MINNG,2035,17.672
Cuba,MINNG,2036,17.672
Cuba,MINNG,2037,17.672
Cuba,MINNG,2038,17.672
Cuba,MINNG,2039,17.672
Cuba,MINNG,2040,17.672
Cuba,MINNG,2041,17.672
Cuba,MINNG,2042,17.672
Cuba,MINNG,2043,17.672
Cuba,MINNG,2044,17.672
Cuba,MINNG,2045,17.672
Cuba,MINNG,2046,17.672
Cuba,MINNG,2047,17.672
Cuba,MINNG,2048,17.672
Cuba,MINNG,2049,17.672
Cuba,MINNG,2050,17.672
Cuba,MINNG,2051,17.672
Cuba,MINNG,2052,17.672
Cuba,MINNG,2053,17.672
Cuba,MINNG,2054,17.672
Cuba,MINNG,2055,17.672
Cuba,PWRWND001,2019,54.0
Cuba,PWRWND001,2020,54.0
Cuba,PWRWND001,2021,54.0
Cuba,PWRWND001,2022,54.0
Cuba,PWRWND001,2023,54.0
Cuba,PWRWND001,2024,54.0
Cuba,PWRWND001,2025,54.0
Cuba,PWRWND001,2026,54.0
Cuba,PWRWND001,2027,54.0
Cuba,PWRWND001,2028,54.0
Cuba,PWRWND001,2029,54.0
Cuba,PWRWND001,2030,54.0
Cuba,PWRWND001,2031,54.0
Cuba,PWRWND001,2032,54.0
Cuba,PWRWND001,2033,54.0
Cuba,PWRWND001,2034,54.0
Cuba,PWRWND001,2035,54.0
