TIMESLICE,SEASON,value
111,1,1.0
112,1,1.0
113,1,1.0
114,1,1.0
115,1,1.0
116,1,1.0
117,1,1.0
118,1,1.0
121,1,1.0
122,1,1.0
123,1,1.0
124,1,1.0
125,1,1.0
126,1,1.0
127,1,1.0
128,1,1.0
211,2,1.0
212,2,1.0
213,2,1.0
214,2,1.0
215,2,1.0
216,2,1.0
217,2,1.0
218,2,1.0
221,2,1.0
222,2,1.0
223,2,1.0
224,2,1.0
225,2,1.0
226,2,1.0
227,2,1.0
228,2,1.0
311,3,1.0
312,3,1.0
313,3,1.0
314,3,1.0
315,3,1.0
316,3,1.0
317,3,1.0
318,3,1.0
321,3,1.0
322,3,1.0
323,3,1.0
324,3,1.0
325,3,1.0
326,3,1.0
327,3,1.0
328,3,1.0
411,4,1.0
412,4,1.0
413,4,1.0
414,4,1.0
415,4,1.0
416,4,1.0
417,4,1.0
418,4,1.0
421,4,1.0
422,4,1.0
423,4,1.0
424,4,1.0
425,4,1.0
426,4,1.0
427,4,1.0
428,4,1.0
