REGION,TECHNOLOGY,YEAR,value
Cuba,PWRCRUD001,2019,0.73
Cuba,PWRCRUD001,2020,0.73
Cuba,PWRCRUD001,2021,0.73
Cuba,PWRCRUD001,2022,0.73
Cuba,PWRCRUD001,2023,0.73
Cuba,PWRCRUD001,2024,0.73
Cuba,PWRCRUD001,2025,0.73
Cuba,PWRCRUD001,2026,0.73
Cuba,PWRCRUD001,2027,0.73
Cuba,PWRCRUD001,2028,0.73
Cuba,PWRCRUD001,2029,0.73
Cuba,PWRCRUD001,2030,0.73
Cuba,PWRCRUD001,2031,0.73
Cuba,PWRCRUD001,2032,0.73
Cuba,PWRCRUD001,2033,0.73
Cuba,PWRCRUD001,2034,0.73
Cuba,PWRCRUD001,2035,0.73
Cuba,PWRCRUD001,2036,0.73
Cuba,PWRCRUD001,2037,0.73
Cuba,PWRCRUD001,2038,0.73
Cuba,PWRCRUD001,2039,0.73
Cuba,PWRCRUD001,2040,0.73
Cuba,PWRCRUD001,2041,0.73
Cuba,PWRCRUD001,2042,0.73
Cuba,PWRCRUD001,2043,0.73
Cuba,PWRCRUD001,2044,0.73
Cuba,PWRCRUD001,2045,0.73
Cuba,PWRCRUD001,2046,0.73
Cuba,PWRCRUD001,2047,0.73
Cuba,PWRCRUD001,2048,0.73
Cuba,PWRCRUD001,2049,0.73
Cuba,PWRCRUD001,2050,0.73
Cuba,PWRCRUD002,2019,0.53
Cuba,PWRCRUD002,2020,0.53
Cuba,PWRCRUD002,2021,0.53
Cuba,PWRCRUD002,2022,0.53
Cuba,PWRCRUD002,2023,0.53
Cuba,PWRCRUD002,2024,0.53
Cuba,PWRCRUD002,2025,0.53
Cuba,PWRCRUD002,2026,0.53
Cuba,PWRCRUD002,2027,0.53
Cuba,PWRCRUD002,2028,0.53
Cuba,PWRCRUD002,2029,0.53
Cuba,PWRCRUD002,2030,0.53
Cuba,PWRCRUD002,2031,0.53
Cuba,PWRCRUD002,2032,0.53
Cuba,PWRCRUD002,2033,0.53
Cuba,PWRCRUD002,2034,0.53
Cuba,PWRCRUD002,2035,0.53
Cuba,PWRCRUD002,2036,0.53
Cuba,PWRCRUD002,2037,0.53
Cuba,PWRCRUD002,2038,0.53
Cuba,PWRCRUD002,2039,0.53
Cuba,PWRCRUD002,2040,0.53
Cuba,PWRCRUD002,2041,0.53
Cuba,PWRCRUD002,2042,0.53
Cuba,PWRCRUD002,2043,0.53
Cuba,PWRCRUD002,2044,0.53
Cuba,PWRCRUD002,2045,0.53
Cuba,PWRCRUD002,2046,0.53
Cuba,PWRCRUD002,2047,0.53
Cuba,PWRCRUD002,2048,0.53
Cuba,PWRCRUD002,2049,0.53
Cuba,PWRCRUD002,2050,0.53
Cuba,PWRCRUD003,2019,0.68
Cuba,PWRCRUD003,2020,0.68
Cuba,PWRCRUD003,2021,0.68
Cuba,PWRCRUD003,2022,0.68
Cuba,PWRCRUD003,2023,0.68
Cuba,PWRCRUD003,2024,0.68
Cuba,PWRCRUD003,2025,0.68
Cuba,PWRCRUD003,2026,0.68
Cuba,PWRCRUD003,2027,0.68
Cuba,PWRCRUD003,2028,0.68
Cuba,PWRCRUD003,2029,0.68
Cuba,PWRCRUD003,2030,0.68
Cuba,PWRCRUD003,2031,0.68
Cuba,PWRCRUD003,2032,0.68
Cuba,PWRCRUD003,2033,0.68
Cuba,PWRCRUD003,2034,0.68
Cuba,PWRCRUD003,2035,0.68
Cuba,PWRCRUD003,2036,0.68
Cuba,PWRCRUD003,2037,0.68
Cuba,PWRCRUD003,2038,0.68
Cuba,PWRCRUD003,2039,0.68
Cuba,PWRCRUD003,2040,0.68
Cuba,PWRCRUD003,2041,0.68
Cuba,PWRCRUD003,2042,0.68
Cuba,PWRCRUD003,2043,0.68
Cuba,PWRCRUD003,2044,0.68
Cuba,PWRCRUD003,2045,0.68
Cuba,PWRCRUD003,2046,0.68
Cuba,PWRCRUD003,2047,0.68
Cuba,PWRCRUD003,2048,0.68
Cuba,PWRCRUD003,2049,0.68
Cuba,PWRCRUD003,2050,0.68
Cuba,PWRCRUD004,2019,0.73
Cuba,PWRCRUD004,2020,0.73
Cuba,PWRCRUD004,2021,0.73
Cuba,PWRCRUD004,2022,0.73
Cuba,PWRCRUD004,2023,0.73
Cuba,PWRCRUD004,2024,0.73
Cuba,PWRCRUD004,2025,0.73
Cuba,PWRCRUD004,2026,0.73
Cuba,PWRCRUD004,2027,0.73
Cuba,PWRCRUD004,2028,0.73
Cuba,PWRCRUD004,2029,0.73
Cuba,PWRCRUD004,2030,0.73
Cuba,PWRCRUD004,2031,0.73
Cuba,PWRCRUD004,2032,0.73
Cuba,PWRCRUD004,2033,0.73
Cuba,PWRCRUD004,2034,0.73
Cuba,PWRCRUD004,2035,0.73
Cuba,PWRCRUD004,2036,0.73
Cuba,PWRCRUD004,2037,0.73
Cuba,PWRCRUD004,2038,0.73
Cuba,PWRCRUD004,2039,0.73
Cuba,PWRCRUD004,2040,0.73
Cuba,PWRCRUD004,2041,0.73
Cuba,PWRCRUD004,2042,0.73
Cuba,PWRCRUD004,2043,0.73
Cuba,PWRCRUD004,2044,0.73
Cuba,PWRCRUD004,2045,0.73
Cuba,PWRCRUD004,2046,0.73
Cuba,PWRCRUD004,2047,0.73
Cuba,PWRCRUD004,2048,0.73
