REGION,TECHNOLOGY,TIMESLICE,YEAR,value
Cuba,PWRWND001,111,2019,0.4439199111111112
Cuba,PWRWND001,111,2020,0.4439199111111112
Cuba,PWRWND001,111,2021,0.4439199111111112
Cuba,PWRWND001,111,2022,0.4439199111111112
Cuba,PWRWND001,111,2023,0.4439199111111112
Cuba,PWRWND001,111,2024,0.4439199111111112
Cuba,PWRWND001,111,2025,0.4439199111111112
Cuba,PWRWND001,111,2026,0.4439199111111112
Cuba,PWRWND001,111,2027,0.4439199111111112
Cuba,PWRWND001,111,2028,0.4439199111111112
Cuba,PWRWND001,111,2029,0.4439199111111112
Cuba,PWRWND001,111,2030,0.4439199111111112
Cuba,PWRWND001,111,2031,0.4439199111111112
Cuba,PWRWND001,111,2032,0.4439199111111112
Cuba,PWRWND001,111,2033,0.4439199111111112
Cuba,PWRWND001,111,2034,0.4439199111111112
Cuba,PWRWND001,111,2035,0.4439199111111112
Cuba,PWRWND001,111,2036,0.4439199111111112
Cuba,PWRWND001,111,2037,0.4439199111111112
Cuba,PWRWND001,111,2038,0.4439199111111112
Cuba,PWRWND001,111,2039,0.4439199111111112
Cuba,PWRWND001,111,2040,0.4439199111111112
Cuba,PWRWND001,111,2041,0.4439199111111112
Cuba,PWRWND001,111,2042,0.4439199111111112
Cuba,PWRWND001,111,2043,0.4439199111111112
Cuba,PWRWND001,111,2044,0.4439199111111112
Cuba,PWRWND001,111,2045,0.4439199111111112
Cuba,PWRWND001,111,2046,0.4439199111111112
Cuba,PWRWND001,111,2047,0.4439199111111112
Cuba,PWRWND001,111,2048,0.4439199111111112
Cuba,PWRWND001,111,2049,0.4439199111111112
Cuba,PWRWND001,111,2050,0.4439199111111112
Cuba,PWRWND001,112,2019,0.4102951111111112
Cuba,PWRWND001,112,2020,0.4102951111111112
Cuba,PWRWND001,112,2021,0.4102951111111112
Cuba,PWRWND001,112,2022,0.4102951111111112
Cuba,PWRWND001,112,2023,0.4102951111111112
Cuba,PWRWND001,112,2024,0.4102951111111112
Cuba,PWRWND001,112,2025,0.4102951111111112
Cuba,PWRWND001,112,2026,0.4102951111111112
Cuba,PWRWND001,112,2027,0.4102951111111112
Cuba,PWRWND001,112,2028,0.4102951111111112
Cuba,PWRWND001,112,2029,0.4102951111111112
Cuba,PWRWND001,112,2030,0.4102951111111112
Cuba,PWRWND001,112,2031,0.4102951111111112
Cuba,PWRWND001,112,2032,0.4102951111111112
Cuba,PWRWND001,112,2033,0.4102951111111112
Cuba,PWRWND001,112,2034,0.4102951111111112
Cuba,PWRWND001,112,2035,0.4102951111111112
Cuba,PWRWND001,112,2036,0.4102951111111112
Cuba,PWRWND001,112,2037,0.4102951111111112
Cuba,PWRWND001,112,2038,0.4102951111111112
Cuba,PWRWND001,112,2039,0.4102951111111112
Cuba,PWRWND001,112,2040,0.4102951111111112
Cuba,PWRWND001,112,2041,0.4102951111111112
Cuba,PWRWND001,112,2042,0.4102951111111112
Cuba,PWRWND001,112,2043,0.4102951111111112
Cuba,PWRWND001,112,2044,0.4102951111111112
Cuba,PWRWND001,112,2045,0.4102951111111112
Cuba,PWRWND001,112,2046,0.4102951111111112
Cuba,PWRWND001,112,2047,0.4102951111111112
Cuba,PWRWND001,112,2048,0.4102951111111112
Cuba,PWRWND001,112,2049,0.4102951111111112
Cuba,PWRWND001,112,2050,0.4102951111111112
Cuba,PWRWND001,113,2019,0.4090136111111111
Cuba,PWRWND001,113,2020,0.4090136111111111
Cuba,PWRWND001,113,2021,0.4090136111111111
Cuba,PWRWND001,113,2022,0.4090136111111111
Cuba,PWRWND001,113,2023,0.4090136111111111
Cuba,PWRWND001,113,2024,0.4090136111111111
Cuba,PWRWND001,113,2025,0.4090136111111111
Cuba,PWRWND001,113,2026,0.4090136111111111
Cuba,PWRWND001,113,2027,0.4090136111111111
Cuba,PWRWND001,113,2028,0.4090136111111111
Cuba,PWRWND001,113,2029,0.4090136111111111
Cuba,PWRWND001,113,2030,0.4090136111111111
Cuba,PWRWND001,113,2031,0.4090136111111111
Cuba,PWRWND001,113,2032,0.4090136111111111
Cuba,PWRWND001,113,2033,0.4090136111111111
Cuba,PWRWND001,113,2034,0.4090136111111111
Cuba,PWRWND001,113,2035,0.4090136111111111
Cuba,PWRWND001,113,2036,0.4090136111111111
Cuba,PWRWND001,113,2037,0.4090136111111111
Cuba,PWRWND001,113,2038,0.4090136111111111
Cuba,PWRWND001,113,2039,0.4090136111111111
Cuba,PWRWND001,113,2040,0.4090136111111111
Cuba,PWRWND001,113,2041,0.4090136111111111
Cuba,PWRWND001,113,2042,0.4090136111111111
Cuba,PWRWND001,113,2043,0.4090136111111111
Cuba,PWRWND001,113,2044,0.4090136111111111
Cuba,PWRWND001,113,2045,0.4090136111111111
Cuba,PWRWND001,113,2046,0.4090136111111111
Cuba,PWRWND001,113,2047,0.4090136111111111
Cuba,PWRWND001,113,2048,0.4090136111111111
