REGION,STORAGE,YEAR,value
Cuba,DAM,2019,2500.0
Cuba,DAM,2020,2500.0
Cuba,DAM,2021,2500.0
Cuba,DAM,2022,2500.0
Cuba,DAM,2023,2500.0
Cuba,DAM,2024,2500.0
Cuba,DAM,2025,2500.0
Cuba,DAM,2026,2500.0
Cuba,DAM,2027,2500.0
Cuba,DAM,2028,2500.0
Cuba,DAM,2029,2500.0
Cuba,DAM,2030,2500.0
Cuba,DAM,2031,2500.0
Cuba,DAM,2032,2500.0
Cuba,DAM,2033,2500.0
Cuba,DAM,2034,2500.0
Cuba,DAM,2035,2500.0
Cuba,DAM,2036,2500.0
Cuba,DAM,2037,2500.0
Cuba,DAM,2038,2500.0
Cuba,DAM,2039,2500.0
Cuba,DAM,2040,2500.0
Cuba,DAM,2041,2500.0
Cuba,DAM,2042,2500.0
Cuba,DAM,2043,2500.0
Cuba,DAM,2044,2500.0
Cuba,DAM,2045,2500.0
Cuba,DAM,2046,2500.0
Cuba,DAM,2047,2500.0
Cuba,DAM,2048,2500.0
Cuba,DAM,2049,2500.0
Cuba,DAM,2050,2500.0
