REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,value
Simple,CCP,Coal,1,2020,2.0
Simple,CCP,Coal,1,2021,2.0
Simple,CCP,Coal,1,2022,2.0
Simple,CCP,Coal,1,2023,2.0
Simple,CCP,Coal,1,2024,2.0
Simple,CCP,Coal,1,2025,2.0
Simple,CCP,Coal,1,2026,2.0
Simple,CCP,Coal,1,2027,2.0
Simple,CCP,Coal,1,2028,2.0
Simple,CCP,Coal,1,2029,2.0
Simple,CCP,Coal,1,2030,2.0
Simple,TBATT,EL_STORAGE,1,2020,1.0
Simple,TBATT,EL_STORAGE,1,2021,1.0
Simple,TBATT,EL_STORAGE,1,2022,1.0
Simple,TBATT,EL_STORAGE,1,2023,1.0
Simple,TBATT,EL_STORAGE,1,2024,1.0
Simple,TBATT,EL_STORAGE,1,2025,1.0
Simple,TBATT,EL_STORAGE,1,2026,1.0
Simple,TBATT,EL_STORAGE,1,2027,1.0
Simple,TBATT,EL_STORAGE,1,2028,1.0
Simple,TBATT,EL_STORAGE,1,2029,1.0
Simple,TBATT,EL_STORAGE,1,2030,1.0
