REGION,STORAGE,YEAR,value
Cuba,DAM,2019,0.05
Cuba,DAM,2020,0.05
Cuba,DAM,2021,0.05
Cuba,DAM,2022,0.05
Cuba,DAM,2023,0.05
Cuba,DAM,2024,0.05
Cuba,DAM,2025,0.05
Cuba,DAM,2026,0.05
Cuba,DAM,2027,0.05
Cuba,DAM,2028,0.05
Cuba,DAM,2029,0.05
Cuba,DAM,2030,0.05
Cuba,DAM,2031,0.05
Cuba,DAM,2032,0.05
Cuba,DAM,2033,0.05
Cuba,DAM,2034,0.05
Cuba,DAM,2035,0.05
Cuba,DAM,2036,0.05
Cuba,DAM,2037,0.05
Cuba,DAM,2038,0.05
Cuba,DAM,2039,0.05
Cuba,DAM,2040,0.05
Cuba,DAM,2041,0.05
Cuba,DAM,2042,0.05
Cuba,DAM,2043,0.05
Cuba,DAM,2044,0.05
Cuba,DAM,2045,0.05
Cuba,DAM,2046,0.05
Cuba,DAM,2047,0.05
Cuba,DAM,2048,0.05
Cuba,DAM,2049,0.05
Cuba,DAM,2050,0.05
Cuba,Batt01,2019,0.05
Cuba,Batt01,2020,0.05
Cuba,Batt01,2021,0.05
Cuba,Batt01,2022,0.05
Cuba,Batt01,2023,0.05
Cuba,Batt01,2024,0.05
Cuba,Batt01,2025,0.05
Cuba,Batt01,2026,0.05
Cuba,Batt01,2027,0.05
Cuba,Batt01,2028,0.05
Cuba,Batt01,2029,0.05
Cuba,Batt01,2030,0.05
Cuba,Batt01,2031,0.05
Cuba,Batt01,2032,0.05
Cuba,Batt01,2033,0.05
Cuba,Batt01,2034,0.05
Cuba,Batt01,2035,0.05
Cuba,Batt01,2036,0.05
Cuba,Batt01,2037,0.05
Cuba,Batt01,2038,0.05
Cuba,Batt01,2039,0.05
Cuba,Batt01,2040,0.05
Cuba,Batt01,2041,0.05
Cuba,Batt01,2042,0.05
Cuba,Batt01,2043,0.05
Cuba,Batt01,2044,0.05
Cuba,Batt01,2045,0.05
Cuba,Batt01,2046,0.05
Cuba,Batt01,2047,0.05
Cuba,Batt01,2048,0.05
Cuba,Batt01,2049,0.05
Cuba,Batt01,2050,0.05
Cuba,Batt02,2019,0.05
Cuba,Batt02,2020,0.05
Cuba,Batt02,2021,0.05
Cuba,Batt02,2022,0.05
Cuba,Batt02,2023,0.05
Cuba,Batt02,2024,0.05
Cuba,Batt02,2025,0.05
Cuba,Batt02,2026,0.05
Cuba,Batt02,2027,0.05
Cuba,Batt02,2028,0.05
Cuba,Batt02,2029,0.05
Cuba,Batt02,2030,0.05
Cuba,Batt02,2031,0.05
Cuba,Batt02,2032,0.05
Cuba,Batt02,2033,0.05
Cuba,Batt02,2034,0.05
Cuba,Batt02,2035,0.05
Cuba,Batt02,2036,0.05
Cuba,Batt02,2037,0.05
Cuba,Batt02,2038,0.05
Cuba,Batt02,2039,0.05
Cuba,Batt02,2040,0.05
Cuba,Batt02,2041,0.05
Cuba,Batt02,2042,0.05
Cuba,Batt02,2043,0.05
Cuba,Batt02,2044,0.05
Cuba,Batt02,2045,0.05
Cuba,Batt02,2046,0.05
Cuba,Batt02,2047,0.05
Cuba,Batt02,2048,0.05
Cuba,Batt02,2049,0.05
Cuba,Batt02,2050,0.05
