REGION,FUEL,YEAR,value
Cuba,RESELEC,2019,72.6
Cuba,RESELEC,2020,66.9564
Cuba,RESELEC,2021,71.1036
Cuba,RESELEC,2022,69.48
Cuba,RESELEC,2023,69.4543572
Cuba,RESELEC,2024,72.2235168
Cuba,RESELEC,2025,73.8795744
Cuba,RESELEC,2026,74.69224971839999
Cuba,RESELEC,2027,75.51386446530239
Cuba,RESELEC,2028,76.34451697442071
Cuba,RESELEC,2029,77.18430666113933
Cuba,RESELEC,2030,78.03333403441185
Cuba,RESELEC,2031,78.89170070879037
Cuba,RESELEC,2032,79.75950941658705
Cuba,RESELEC,2033,80.6368640201695
Cuba,RESELEC,2034,81.52386952439136
Cuba,RESELEC,2035,82.42063208915965
Cuba,RESELEC,2036,83.3272590421404
Cuba,RESELEC,2037,84.24385889160394
Cuba,RESELEC,2038,85.17054133941157
Cuba,RESELEC,2039,86.1074172941451
Cuba,RESELEC,2040,87.05459888438068
Cuba,RESELEC,2041,88.01219947210886
Cuba,RESELEC,2042,88.98033366630204
Cuba,RESELEC,2043,89.95911733663135
Cuba,RESELEC,2044,90.94866762733429
Cuba,RESELEC,2045,91.94910297123495
Cuba,RESELEC,2046,92.96054310391852
Cuba,RESELEC,2047,93.98310907806162
Cuba,RESELEC,2048,95.01692327792028
Cuba,RESELEC,2049,96.0621094339774
Cuba,RESELEC,2050,97.11879263775114
