REGION,TECHNOLOGY,YEAR,value
Cuba,MINCRUDE,2019,160.0
Cuba,MINCRUDE,2020,160.0
Cuba,MINCRUDE,2021,160.0
Cuba,MINCRUDE,2022,160.0
Cuba,MINCRUDE,2023,160.0
Cuba,MINCRUDE,2024,160.0
Cuba,MINCRUDE,2025,160.0
Cuba,MINCRUDE,2026,160.0
Cuba,MINCRUDE,2027,160.0
Cuba,MINCRUDE,2028,160.0
Cuba,MINCRUDE,2029,160.0
Cuba,MINCRUDE,2030,160.0
Cuba,MINCRUDE,2031,160.0
Cuba,MINCRUDE,2032,160.0
Cuba,MINCRUDE,2033,160.0
Cuba,MINCRUDE,2034,160.0
Cuba,MINCRUDE,2035,160.0
Cuba,MINCRUDE,2036,160.0
Cuba,MINCRUDE,2037,160.0
Cuba,MINCRUDE,2038,160.0
Cuba,MINCRUDE,2039,160.0
Cuba,MINCRUDE,2040,160.0
Cuba,MINCRUDE,2041,160.0
Cuba,MINCRUDE,2042,160.0
Cuba,MINCRUDE,2043,160.0
Cuba,MINCRUDE,2044,160.0
Cuba,MINCRUDE,2045,160.0
Cuba,MINCRUDE,2046,160.0
Cuba,MINCRUDE,2047,160.0
Cuba,MINCRUDE,2048,160.0
Cuba,MINCRUDE,2049,160.0
Cuba,MINCRUDE,2050,17.672
Cuba,IMPLFO,2019,28.0
Cuba,IMPLFO,2020,28.0
Cuba,IMPLFO,2021,28.0
Cuba,IMPLFO,2022,28.0
Cuba,IMPLFO,2023,28.0
Cuba,IMPLFO,2024,28.0
Cuba,IMPLFO,2025,28.0
Cuba,IMPLFO,2026,28.0
Cuba,IMPLFO,2027,28.0
Cuba,IMPLFO,2028,28.0
Cuba,IMPLFO,2029,28.0
Cuba,IMPLFO,2030,28.0
Cuba,IMPLFO,2031,28.0
Cuba,IMPLFO,2032,28.0
Cuba,IMPLFO,2033,28.0
Cuba,IMPLFO,2034,28.0
Cuba,IMPLFO,2035,28.0
Cuba,IMPLFO,2036,28.0
Cuba,IMPLFO,2037,28.0
Cuba,IMPLFO,2038,28.0
Cuba,IMPLFO,2039,28.0
Cuba,IMPLFO,2040,28.0
Cuba,IMPLFO,2041,28.0
Cuba,IMPLFO,2042,28.0
Cuba,IMPLFO,2043,28.0
Cuba,IMPLFO,2044,28.0
Cuba,IMPLFO,2045,28.0
Cuba,IMPLFO,2046,28.0
Cuba,IMPLFO,2047,28.0
Cuba,IMPLFO,2048,28.0
Cuba,IMPLFO,2049,28.0
Cuba,IMPNG,2019,17.672
Cuba,IMPNG,2020,17.672
Cuba,IMPNG,2021,17.672
Cuba,IMPNG,2022,17.672
Cuba,IMPNG,2023,17.672
Cuba,IMPNG,2024,17.672
Cuba,IMPNG,2025,17.672
Cuba,IMPNG,2026,17.672
Cuba,IMPNG,2027,17.672
Cuba,IMPNG,2028,17.672
Cuba,IMPNG,2029,17.672
Cuba,IMPNG,2030,17.672
Cuba,IMPNG,2031,17.672
Cuba,IMPNG,2032,17.672
Cuba,IMPNG,2033,17.672
Cuba,IMPNG,2034,17.672
Cuba,IMPNG,2035,17.672
Cuba,IMPNG,2036,17.672
Cuba,IMPNG,2037,17.672
Cuba,IMPNG,2038,17.672
Cuba,IMPNG,2039,17.672
Cuba,IMPNG,2040,17.672
Cuba,IMPNG,2041,17.672
Cuba,IMPNG,2042,17.672
Cuba,IMPNG,2043,17.672
Cuba,IMPNG,2044,17.672
Cuba,IMPNG,2045,17.672
Cuba,IMPNG,2046,17.672
Cuba,IMPNG,2047,17.672
Cuba,IMPNG,2048,17.672
Cuba,IMPNG,2049,17.672
Cuba,PWRCRUD003,2050,8.0
Cuba,PWRCRUD008,2021,8.0
Cuba,PWRCRUD008,2022,8.0
Cuba,PWRCRUD008,2023,8.0
Cuba,PWRCRUD008,2024,8.0
Cuba,PWRCRUD008,2025,8.0
Cuba,PWRCRUD008,2026,8.0
Cuba,PWRCRUD008,2027,8.0
Cuba,PWRCRUD008,2028,8.0
Cuba,PWRCRUD008,2029,8.0
Cuba,PWRCRUD008,2030,8.0
Cuba,PWRCRUD008,2031,8.0
Cuba,PWRCRUD008,2032,8.0
Cuba,PWRCRUD008,2033,8.0
Cuba,PWRCRUD008,2034,8.0
Cuba,PWRCRUD008,2035,8.0
Cuba,PWRCRUD008,2036,8.0
Cuba,PWRCRUD008,2037,8.0
Cuba,PWRCRUD008,2038,8.0
Cuba,PWRCRUD008,2039,8.0
Cuba,PWRCRUD008,2040,8.0
Cuba,PWRCRUD008,2041,8.0
Cuba,PWRCRUD008,2042,8.0
Cuba,PWRCRUD008,2043,8.0
Cuba,PWRCRUD008,2044,8.0
Cuba,PWRCRUD008,2045,8.0
Cuba,PWRCRUD008,2046,8.0
Cuba,PWRCRUD008,2047,8.0
Cuba,PWRCRUD008,2048,8.0
Cuba,PWRCRUD008,2049,8.0
