REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,value
Cuba,IMPCRUDE,1,2019,13.14
Cuba,IMPCRUDE,1,2020,13.14
Cuba,IMPCRUDE,1,2021,13.14
Cuba,IMPCRUDE,1,2022,13.14
Cuba,IMPCRUDE,1,2023,13.14
Cuba,IMPCRUDE,1,2024,13.14
Cuba,IMPCRUDE,1,2025,13.14
Cuba,IMPCRUDE,1,2026,13.14
Cuba,IMPCRUDE,1,2027,13.14
Cuba,IMPCRUDE,1,2028,13.14
Cuba,IMPCRUDE,1,2029,13.14
Cuba,IMPCRUDE,1,2030,13.14
Cuba,IMPCRUDE,1,2031,13.14
Cuba,IMPCRUDE,1,2032,13.14
Cuba,IMPCRUDE,1,2033,13.14
Cuba,IMPCRUDE,1,2034,13.14
Cuba,IMPCRUDE,1,2035,13.14
Cuba,IMPCRUDE,1,2036,13.14
Cuba,IMPCRUDE,1,2037,13.14
Cuba,IMPCRUDE,1,2038,13.14
Cuba,IMPCRUDE,1,2039,13.14
Cuba,IMPCRUDE,1,2040,13.14
Cuba,IMPCRUDE,1,2041,13.14
Cuba,IMPCRUDE,1,2042,13.14
Cuba,IMPCRUDE,1,2043,13.14
Cuba,IMPCRUDE,1,2044,13.14
Cuba,IMPCRUDE,1,2045,13.14
Cuba,IMPCRUDE,1,2046,13.14
Cuba,IMPCRUDE,1,2047,13.14
Cuba,IMPCRUDE,1,2048,13.14
Cuba,IMPCRUDE,1,2049,13.14
Cuba,IMPCRUDE,1,2050,13.14
Cuba,IMPCRUDE,2,2019,999999.0
Cuba,IMPCRUDE,2,2020,999999.0
Cuba,IMPCRUDE,2,2021,999999.0
Cuba,IMPCRUDE,2,2022,999999.0
Cuba,IMPCRUDE,2,2023,999999.0
Cuba,IMPCRUDE,2,2024,999999.0
Cuba,IMPCRUDE,2,2025,999999.0
Cuba,IMPCRUDE,2,2026,999999.0
Cuba,IMPCRUDE,2,2027,999999.0
Cuba,IMPCRUDE,2,2028,999999.0
Cuba,IMPCRUDE,2,2029,999999.0
Cuba,IMPCRUDE,2,2030,999999.0
Cuba,IMPCRUDE,2,2031,999999.0
Cuba,IMPCRUDE,2,2032,999999.0
Cuba,IMPCRUDE,2,2033,999999.0
Cuba,IMPCRUDE,2,2034,999999.0
Cuba,IMPCRUDE,2,2035,999999.0
Cuba,IMPCRUDE,2,2036,999999.0
Cuba,IMPCRUDE,2,2037,999999.0
Cuba,IMPCRUDE,2,2038,999999.0
Cuba,IMPCRUDE,2,2039,999999.0
Cuba,IMPCRUDE,2,2040,999999.0
Cuba,IMPCRUDE,2,2041,999999.0
Cuba,IMPCRUDE,2,2042,999999.0
Cuba,IMPCRUDE,2,2043,999999.0
Cuba,IMPCRUDE,2,2044,999999.0
Cuba,IMPCRUDE,2,2045,999999.0
Cuba,IMPCRUDE,2,2046,999999.0
Cuba,IMPCRUDE,2,2047,999999.0
Cuba,IMPCRUDE,2,2048,999999.0
Cuba,IMPCRUDE,2,2049,999999.0
Cuba,IMPCRUDE,2,2050,999999.0
Cuba,MINCRUDE,1,2019,8.25
Cuba,MINCRUDE,1,2020,8.25
Cuba,MINCRUDE,1,2021,8.25
Cuba,MINCRUDE,1,2022,8.25
Cuba,MINCRUDE,1,2023,8.25
Cuba,MINCRUDE,1,2024,8.25
Cuba,MINCRUDE,1,2025,8.25
Cuba,MINCRUDE,1,2026,8.25
Cuba,MINCRUDE,1,2027,8.25
Cuba,MINCRUDE,1,2028,8.25
Cuba,MINCRUDE,1,2029,8.25
Cuba,MINCRUDE,1,2030,8.25
Cuba,MINCRUDE,1,2031,8.25
Cuba,MINCRUDE,1,2032,8.25
Cuba,MINCRUDE,1,2033,8.25
Cuba,MINCRUDE,1,2034,8.25
Cuba,MINCRUDE,1,2035,8.25
Cuba,MINCRUDE,1,2036,8.25
Cuba,MINCRUDE,1,2037,8.25
Cuba,MINCRUDE,1,2038,8.25
Cuba,MINCRUDE,1,2039,8.25
Cuba,MINCRUDE,1,2040,8.25
Cuba,MINCRUDE,1,2041,8.25
Cuba,MINCRUDE,1,2042,8.25
Cuba,MINCRUDE,1,2043,8.25
Cuba,MINCRUDE,1,2044,8.25
Cuba,MINCRUDE,1,2045,8.25
Cuba,MINCRUDE,1,2046,8.25
Cuba,MINCRUDE,1,2047,8.25
Cuba,MINCRUDE,1,2048,8.25
Cuba,MINCRUDE,1,2049,8.25
Cuba,MINCRUDE,1,2050,8.25
Cuba,MINCRUDE,2,2019,999999.0
Cuba,MINCRUDE,2,2020,999999.0
Cuba,MINCRUDE,2,2021,999999.0
Cuba,MINCRUDE,2,2022,999999.0
Cuba,MINCRUDE,2,2023,999999.0
Cuba,MINCRUDE,2,2024,999999.0
Cuba,MINCRUDE,2,2025,999999.0
Cuba,MINCRUDE,2,2026,999999.0
Cuba,MINCRUDE,2,2027,999999.0
Cuba,MINCRUDE,2,2028,999999.0
Cuba,MINCRUDE,2,2029,999999.0
Cuba,MINCRUDE,2,2030,999999.0
Cuba,MINCRUDE,2,2031,999999.0
Cuba,MINCRUDE,2,2032,999999.0
Cuba,MINCRUDE,2,2033,999999.0
Cuba,MINCRUDE,2,2034,999999.0
Cuba,MINCRUDE,2,2035,999999.0
Cuba,MINCRUDE,2,2036,999999.0
Cuba,MINCRUDE,2,2037,999999.0
Cuba,MINCRUDE,2,2038,999999.0
Cuba,MINCRUDE,2,2039,999999.0
Cuba,MINCRUDE,2,2040,999999.0
Cuba,MINCRUDE,2,2041,999999.0
Cuba,MINCRUDE,2,2042,999999.0
Cuba,MINCRUDE,2,2043,999999.0
Cuba,MINCRUDE,2,2044,999999.0
Cuba,MINCRUDE,2,2045,999999.0
Cuba,MINCRUDE,2,2046,999999.0
Cuba,MINCRUDE,2,2047,999999.0
Cuba,MINCRUDE,2,2048,999999.0
Cuba,MINCRUDE,2,2049,999999.0
Cuba,MINCRUDE,2,2050,999999.0
Cuba,IMPHFO01,1,2019,8.355999999999995
Cuba,IMPHFO01,1,2020,8.54000000000002
Cuba,IMPHFO01,1,2021,8.72399999999999
Cuba,IMPHFO01,1,2022,8.908000000000015
Cuba,IMPHFO01,1,2023,9.091999999999985
Cuba,IMPHFO01,1,2024,9.27600000000001
Cuba,IMPHFO01,1,2025,9.45999999999998
Cuba,IMPHFO01,1,2026,9.644000000000005
Cuba,IMPHFO01,1,2027,9.828000000000031
Cuba,IMPHFO01,1,2028,10.012
Cuba,IMPHFO01,1,2029,10.196000000000026
Cuba,IMPHFO01,1,2030,10.379999999999995
Cuba,IMPHFO01,1,2031,10.564000000000021
Cuba,IMPHFO01,1,2032,10.74799999999999
Cuba,IMPHFO01,1,2033,10.932000000000016
Cuba,IMPHFO01,1,2034,11.115999999999985
Cuba,IMPHFO01,1,2035,11.300000000000011
Cuba,IMPHFO01,1,2036,11.48399999999998
Cuba,IMPHFO01,1,2037,11.668000000000006
Cuba,IMPHFO01,1,2038,11.852000000000032
Cuba,IMPHFO01,1,2039,12.036000000000001
Cuba,IMPHFO01,1,2040,12.220000000000027
Cuba,IMPHFO01,1,2041,12.403999999999996
Cuba,IMPHFO01,1,2042,12.588000000000022
Cuba,IMPHFO01,1,2043,12.771999999999991
Cuba,IMPHFO01,1,2044,12.956000000000017
Cuba,IMPHFO01,1,2045,13.139999999999986
Cuba,IMPHFO01,1,2046,13.324000000000012
Cuba,IMPHFO01,1,2047,13.507999999999981
Cuba,IMPHFO01,1,2048,13.692000000000007
Cuba,IMPHFO01,1,2049,13.876000000000033
Cuba,IMPHFO01,1,2050,14.060000000000002
Cuba,IMPHFO01,2,2019,999999.0
Cuba,IMPHFO01,2,2020,999999.0
Cuba,IMPHFO01,2,2021,999999.0
Cuba,IMPHFO01,2,2022,999999.0
Cuba,IMPHFO01,2,2023,999999.0
Cuba,IMPHFO01,2,2024,999999.0
Cuba,IMPHFO01,2,2025,999999.0
Cuba,IMPHFO01,2,2026,999999.0
Cuba,IMPHFO01,2,2027,999999.0
Cuba,IMPHFO01,2,2028,999999.0
Cuba,IMPHFO01,2,2029,999999.0
Cuba,IMPHFO01,2,2030,999999.0
Cuba,IMPHFO01,2,2031,999999.0
Cuba,IMPHFO01,2,2032,999999.0
Cuba,IMPHFO01,2,2033,999999.0
Cuba,IMPHFO01,2,2034,999999.0
Cuba,IMPHFO01,2,2035,999999.0
Cuba,IMPHFO01,2,2036,999999.0
Cuba,IMPHFO01,2,2037,999999.0
Cuba,IMPHFO01,2,2038,999999.0
Cuba,IMPHFO01,2,2039,999999.0
Cuba,IMPHFO01,2,2040,999999.0
Cuba,IMPHFO01,2,2041,999999.0
Cuba,IMPHFO01,2,2042,999999.0
Cuba,IMPHFO01,2,2043,999999.0
Cuba,IMPHFO01,2,2044,999999.0
Cuba,IMPHFO01,2,2045,999999.0
Cuba,IMPHFO01,2,2046,999999.0
Cuba,IMPHFO01,2,2047,999999.0
Cuba,IMPHFO01,2,2048,999999.0
Cuba,IMPHFO01,2,2049,999999.0
Cuba,IMPHFO01,2,2050,999999.0
Cuba,IMPLFO,1,2019,15.06814636988565
Cuba,IMPLFO,1,2020,15.03270416101441
Cuba,IMPLFO,1,2021,15.0453620753251
Cuba,IMPLFO,1,2022,15.10327782807872
Cuba,IMPLFO,1,2023,15.20360913919285
Cuba,IMPLFO,1,2024,15.34351371740922
Cuba,IMPLFO,1,2025,15.5201492854394
Cuba,IMPLFO,1,2026,15.73067355109379
Cuba,IMPLFO,1,2027,15.97224423428997
Cuba,IMPLFO,1,2028,16.24201904656366
Cuba,IMPLFO,1,2029,16.53715570224449
Cuba,IMPLFO,1,2030,16.85481192497537
Cuba,IMPLFO,1,2031,17.19214541791007
Cuba,IMPLFO,1,2032,17.54631390376016
Cuba,IMPLFO,1,2033,17.91447509406134
Cuba,IMPLFO,1,2034,18.29378670593724
Cuba,IMPLFO,1,2035,18.68140645464882
Cuba,IMPLFO,1,2036,19.07449205359444
Cuba,IMPLFO,1,2037,19.47020121803507
Cuba,IMPLFO,1,2038,19.8656916632317
Cuba,IMPLFO,1,2039,20.25812110537663
Cuba,IMPLFO,1,2040,20.64464725693688
Cuba,IMPLFO,1,2041,21.02242783689871
Cuba,IMPLFO,1,2042,21.38862055772915
Cuba,IMPLFO,1,2043,21.74038313282654
Cuba,IMPLFO,1,2044,22.07487328024581
Cuba,IMPLFO,1,2045,22.38924871338531
Cuba,IMPLFO,1,2046,22.68066714936867
Cuba,IMPLFO,1,2047,22.94628629973158
Cuba,IMPLFO,1,2048,23.18326388252899
Cuba,IMPLFO,1,2049,23.38875761022791
Cuba,IMPLFO,1,2050,23.55992519995198
Cuba,IMPLFO,2,2019,999999.0
Cuba,IMPLFO,2,2020,999999.0
Cuba,IMPLFO,2,2021,999999.0
Cuba,IMPLFO,2,2022,999999.0
Cuba,IMPLFO,2,2023,999999.0
Cuba,IMPLFO,2,2024,999999.0
Cuba,IMPLFO,2,2025,999999.0
Cuba,IMPLFO,2,2026,999999.0
Cuba,IMPLFO,2,2027,999999.0
Cuba,IMPLFO,2,2028,999999.0
Cuba,IMPLFO,2,2029,999999.0
Cuba,IMPLFO,2,2030,999999.0
Cuba,IMPLFO,2,2031,999999.0
Cuba,IMPLFO,2,2032,999999.0
Cuba,IMPLFO,2,2033,999999.0
Cuba,IMPLFO,2,2034,999999.0
Cuba,IMPLFO,2,2035,999999.0
Cuba,IMPLFO,2,2036,999999.0
Cuba,IMPLFO,2,2037,999999.0
Cuba,IMPLFO,2,2038,999999.0
Cuba,IMPLFO,2,2039,999999.0
Cuba,IMPLFO,2,2040,999999.0
Cuba,IMPLFO,2,2041,999999.0
Cuba,IMPLFO,2,2042,999999.0
Cuba,IMPLFO,2,2043,999999.0
Cuba,IMPLFO,2,2044,999999.0
Cuba,IMPLFO,2,2045,999999.0
Cuba,IMPLFO,2,2046,999999.0
Cuba,IMPLFO,2,2047,999999.0
Cuba,IMPLFO,2,2048,999999.0
Cuba,IMPLFO,2,2049,999999.0
Cuba,IMPLFO,2,2050,999999.0
Cuba,MINDIESEL,1,2019,40.0
Cuba,MINDIESEL,1,2020,40.0
Cuba,MINDIESEL,1,2021,40.0
Cuba,MINDIESEL,1,2022,40.0
Cuba,MINDIESEL,1,2023,40.0
Cuba,MINDIESEL,1,2024,40.0
Cuba,MINDIESEL,1,2025,40.0
Cuba,MINDIESEL,1,2026,40.0
Cuba,MINDIESEL,1,2027,40.0
Cuba,MINDIESEL,1,2028,40.0
Cuba,MINDIESEL,1,2029,40.0
Cuba,MINDIESEL,1,2030,40.0
Cuba,MINDIESEL,1,2031,40.0
Cuba,MINDIESEL,1,2032,40.0
Cuba,MINDIESEL,1,2033,40.0
Cuba,MINDIESEL,1,2034,40.0
Cuba,MINDIESEL,1,2035,40.0
Cuba,MINDIESEL,1,2036,40.0
Cuba,MINDIESEL,1,2037,40.0
Cuba,MINDIESEL,1,2038,40.0
Cuba,MINDIESEL,1,2039,40.0
Cuba,MINDIESEL,1,2040,40.0
Cuba,MINDIESEL,1,2041,40.0
Cuba,MINDIESEL,1,2042,40.0
Cuba,MINDIESEL,1,2043,40.0
Cuba,MINDIESEL,1,2044,40.0
Cuba,MINDIESEL,1,2045,40.0
Cuba,MINDIESEL,1,2046,40.0
Cuba,MINDIESEL,1,2047,40.0
Cuba,MINDIESEL,1,2048,40.0
Cuba,MINDIESEL,1,2049,40.0
Cuba,MINDIESEL,1,2050,40.0
Cuba,MINDIESEL,2,2019,999999.0
Cuba,MINDIESEL,2,2020,999999.0
Cuba,MINDIESEL,2,2021,999999.0
Cuba,MINDIESEL,2,2022,999999.0
Cuba,MINDIESEL,2,2023,999999.0
Cuba,MINDIESEL,2,2024,999999.0
Cuba,MINDIESEL,2,2025,999999.0
Cuba,MINDIESEL,2,2026,999999.0
Cuba,MINDIESEL,2,2027,999999.0
Cuba,MINDIESEL,2,2028,999999.0
Cuba,MINDIESEL,2,2029,999999.0
Cuba,MINDIESEL,2,2030,999999.0
Cuba,MINDIESEL,2,2031,999999.0
Cuba,MINDIESEL,2,2032,999999.0
Cuba,MINDIESEL,2,2033,999999.0
Cuba,MINDIESEL,2,2034,999999.0
Cuba,MINDIESEL,2,2035,999999.0
Cuba,MINDIESEL,2,2036,999999.0
Cuba,MINDIESEL,2,2037,999999.0
Cuba,MINDIESEL,2,2038,999999.0
Cuba,MINDIESEL,2,2039,999999.0
Cuba,MINDIESEL,2,2040,999999.0
Cuba,MINDIESEL,2,2041,999999.0
Cuba,MINDIESEL,2,2042,999999.0
Cuba,MINDIESEL,2,2043,999999.0
Cuba,MINDIESEL,2,2044,999999.0
Cuba,MINDIESEL,2,2045,999999.0
Cuba,MINDIESEL,2,2046,999999.0
Cuba,MINDIESEL,2,2047,999999.0
Cuba,MINDIESEL,2,2048,999999.0
Cuba,MINDIESEL,2,2049,999999.0
Cuba,MINDIESEL,2,2050,999999.0
Cuba,IMPDIESEL,1,2019,44.0
Cuba,IMPDIESEL,1,2020,44.0
Cuba,IMPDIESEL,1,2021,44.0
Cuba,IMPDIESEL,1,2022,44.0
Cuba,IMPDIESEL,1,2023,44.0
Cuba,IMPDIESEL,1,2024,44.0
Cuba,IMPDIESEL,1,2025,44.0
Cuba,IMPDIESEL,1,2026,44.0
Cuba,IMPDIESEL,1,2027,44.0
Cuba,IMPDIESEL,1,2028,44.0
Cuba,IMPDIESEL,1,2029,44.0
Cuba,IMPDIESEL,1,2030,44.0
Cuba,IMPDIESEL,1,2031,44.0
Cuba,IMPDIESEL,1,2032,44.0
Cuba,IMPDIESEL,1,2033,44.0
Cuba,IMPDIESEL,1,2034,44.0
Cuba,IMPDIESEL,1,2035,44.0
Cuba,IMPDIESEL,1,2036,44.0
Cuba,IMPDIESEL,1,2037,44.0
Cuba,IMPDIESEL,1,2038,44.0
Cuba,IMPDIESEL,1,2039,44.0
Cuba,IMPDIESEL,1,2040,44.0
Cuba,IMPDIESEL,1,2041,44.0
Cuba,IMPDIESEL,1,2042,44.0
Cuba,IMPDIESEL,1,2043,44.0
Cuba,IMPDIESEL,1,2044,44.0
Cuba,IMPDIESEL,1,2045,44.0
Cuba,IMPDIESEL,1,2046,44.0
Cuba,IMPDIESEL,1,2047,44.0
Cuba,IMPDIESEL,1,2048,44.0
Cuba,IMPDIESEL,1,2049,44.0
Cuba,IMPDIESEL,1,2050,44.0
Cuba,IMPDIESEL,2,2019,999999.0
Cuba,IMPDIESEL,2,2020,999999.0
Cuba,IMPDIESEL,2,2021,999999.0
Cuba,IMPDIESEL,2,2022,999999.0
Cuba,IMPDIESEL,2,2023,999999.0
Cuba,IMPDIESEL,2,2024,999999.0
Cuba,IMPDIESEL,2,2025,999999.0
Cuba,IMPDIESEL,2,2026,999999.0
Cuba,IMPDIESEL,2,2027,999999.0
Cuba,IMPDIESEL,2,2028,999999.0
Cuba,IMPDIESEL,2,2029,999999.0
Cuba,IMPDIESEL,2,2030,999999.0
Cuba,IMPDIESEL,2,2031,999999.0
Cuba,IMPDIESEL,2,2032,999999.0
Cuba,IMPDIESEL,2,2033,999999.0
Cuba,IMPDIESEL,2,2034,999999.0
Cuba,IMPDIESEL,2,2035,999999.0
Cuba,IMPDIESEL,2,2036,999999.0
Cuba,IMPDIESEL,2,2037,999999.0
Cuba,IMPDIESEL,2,2038,999999.0
Cuba,IMPDIESEL,2,2039,999999.0
Cuba,IMPDIESEL,2,2040,999999.0
Cuba,IMPDIESEL,2,2041,999999.0
Cuba,IMPDIESEL,2,2042,999999.0
Cuba,IMPDIESEL,2,2043,999999.0
Cuba,IMPDIESEL,2,2044,999999.0
Cuba,IMPDIESEL,2,2045,999999.0
Cuba,IMPDIESEL,2,2046,999999.0
Cuba,IMPDIESEL,2,2047,999999.0
Cuba,IMPDIESEL,2,2048,999999.0
Cuba,IMPDIESEL,2,2049,999999.0
Cuba,IMPDIESEL,2,2050,999999.0
Cuba,IMPNG,1,2019,4.471215640232003
Cuba,IMPNG,1,2020,4.64909049376638
Cuba,IMPNG,1,2021,4.827038174120389
Cuba,IMPNG,1,2022,5.005056674878688
Cuba,IMPNG,1,2023,5.183143989625933
Cuba,IMPNG,1,2024,5.36129811194769
Cuba,IMPNG,1,2025,5.539517035434073
Cuba,IMPNG,1,2026,5.717798753665193
Cuba,IMPNG,1,2027,5.896141260227523
Cuba,IMPNG,1,2028,6.07454254870845
Cuba,IMPNG,1,2029,6.253000612691721
Cuba,IMPNG,1,2030,6.431513445763812
Cuba,IMPNG,1,2031,6.610079041506651
Cuba,IMPNG,1,2032,6.788695393512171
Cuba,IMPNG,1,2033,6.96736049536139
Cuba,IMPNG,1,2034,7.146072340640785
Cuba,IMPNG,1,2035,7.324828922935922
Cuba,IMPNG,1,2036,7.503628235832366
Cuba,IMPNG,1,2037,7.682468272914775
Cuba,IMPNG,1,2038,7.861347027765987
Cuba,IMPNG,1,2039,8.040262493977025
Cuba,IMPNG,1,2040,8.219212665130726
Cuba,IMPNG,1,2041,8.398195534813567
Cuba,IMPNG,1,2042,8.577209096610204
Cuba,IMPNG,1,2043,8.756251344104385
Cuba,IMPNG,1,2044,8.935320270883494
Cuba,IMPNG,1,2045,9.11441387053219
Cuba,IMPNG,1,2046,9.293530136636946
Cuba,IMPNG,1,2047,9.47266706278333
Cuba,IMPNG,1,2048,9.65182264255509
Cuba,IMPNG,1,2049,9.830994869540518
Cuba,IMPNG,1,2050,10.01018173732155
Cuba,IMPNG,2,2019,999999.0
Cuba,IMPNG,2,2020,999999.0
Cuba,IMPNG,2,2021,999999.0
Cuba,IMPNG,2,2022,999999.0
Cuba,IMPNG,2,2023,999999.0
Cuba,IMPNG,2,2024,999999.0
Cuba,IMPNG,2,2025,999999.0
Cuba,IMPNG,2,2026,999999.0
Cuba,IMPNG,2,2027,999999.0
Cuba,IMPNG,2,2028,999999.0
Cuba,IMPNG,2,2029,999999.0
Cuba,IMPNG,2,2030,999999.0
Cuba,IMPNG,2,2031,999999.0
Cuba,IMPNG,2,2032,999999.0
Cuba,IMPNG,2,2033,999999.0
Cuba,IMPNG,2,2034,999999.0
Cuba,IMPNG,2,2035,999999.0
Cuba,IMPNG,2,2036,999999.0
Cuba,IMPNG,2,2037,999999.0
Cuba,IMPNG,2,2038,999999.0
Cuba,IMPNG,2,2039,999999.0
Cuba,IMPNG,2,2040,999999.0
Cuba,IMPNG,2,2041,999999.0
Cuba,IMPNG,2,2042,999999.0
